Episode,Total Reward,Steps,Falls,Rollbacks
0,-126.0,126,0,0
1,-384.0,400,0,16
2,-483.0,400,1,16
3,-158.0,159,0,1
4,-138.0,138,0,0
5,-272.0,272,0,0
6,-270.0,270,0,0
7,-255.0,159,1,3
8,-182.0,182,0,0
9,-114.0,114,0,0
10,-285.0,186,1,0
11,-100.0,100,0,0
12,-194.0,195,0,1
13,-164.0,164,0,0
14,-63.0,63,0,0
15,-179.0,180,0,1
16,-171.0,172,0,1
17,-152.0,152,0,0
18,-488.0,400,1,11
19,-235.0,235,0,0
20,-497.0,400,1,2
21,-496.0,400,1,3
22,-154.0,154,0,0
23,-499.0,400,1,0
24,-398.0,400,0,2
25,-498.0,400,1,1
26,-697.0,400,3,0
27,-498.0,400,1,1
28,-697.0,400,3,0
29,-598.0,400,2,0
30,-139.0,139,0,0
31,-794.0,400,4,2
32,-497.0,400,1,2
33,-400.0,400,0,0
34,-499.0,400,1,0
35,-697.0,400,3,0
36,-697.0,400,3,0
37,-598.0,400,2,0
38,-697.0,400,3,0
39,-400.0,400,0,0
40,-795.0,400,4,1
41,-128.0,128,0,0
42,-368.0,270,1,1
43,-537.0,339,2,0
44,-105.0,105,0,0
45,-300.0,201,1,0
46,-50.0,50,0,0
47,-132.0,132,0,0
48,-49.0,49,0,0
49,-446.0,149,3,0
50,-231.0,132,1,0
51,-197.0,98,1,0
52,-166.0,67,1,0
53,-181.0,82,1,0
54,-93.0,93,0,0
55,-88.0,88,0,0
56,-92.0,92,0,0
57,-58.0,58,0,0
58,-188.0,89,1,0
59,-85.0,85,0,0
60,-66.0,66,0,0
61,-51.0,51,0,0
62,-217.0,118,1,0
63,-46.0,46,0,0
64,-61.0,61,0,0
65,-187.0,88,1,0
66,-86.0,86,0,0
67,-37.0,37,0,0
68,-61.0,61,0,0
69,-40.0,40,0,0
70,-56.0,56,0,0
71,-44.0,44,0,0
72,-33.0,33,0,0
73,-205.0,106,1,0
74,-38.0,38,0,0
75,-48.0,48,0,0
76,-32.0,32,0,0
77,-87.0,87,0,0
78,-34.0,34,0,0
79,-145.0,46,1,0
80,-25.0,25,0,0
81,-41.0,41,0,0
82,-145.0,46,1,0
83,-31.0,31,0,0
84,-55.0,55,0,0
85,-20.0,20,0,0
86,-62.0,62,0,0
87,-49.0,49,0,0
88,-36.0,36,0,0
89,-41.0,41,0,0
90,-41.0,41,0,0
91,-42.0,42,0,0
92,-30.0,30,0,0
