Episode,Total Reward,Steps,Falls
0,-81.0,81,0
1,-1489.0,400,11
2,-895.0,400,5
3,-437.0,239,2
4,-45.0,45,0
5,-104.0,104,0
6,-107.0,107,0
7,-229.0,229,0
8,-68.0,68,0
9,-247.0,148,1
10,-247.0,148,1
11,-427.0,229,2
12,-318.0,120,2
13,-189.0,90,1
14,-99.0,99,0
15,-118.0,118,0
16,-58.0,58,0
17,-98.0,98,0
18,-520.0,223,3
19,-71.0,71,0
20,-66.0,66,0
21,-41.0,41,0
22,-201.0,102,1
23,-44.0,44,0
24,-247.0,148,1
25,-188.0,89,1
26,-52.0,52,0
27,-92.0,92,0
28,-111.0,111,0
29,-63.0,63,0
30,-31.0,31,0
31,-86.0,86,0
32,-27.0,27,0
33,-85.0,85,0
34,-27.0,27,0
35,-48.0,48,0
36,-54.0,54,0
37,-76.0,76,0
38,-109.0,109,0
39,-43.0,43,0
40,-46.0,46,0
41,-172.0,73,1
42,-194.0,95,1
43,-167.0,68,1
44,-60.0,60,0
45,-31.0,31,0
46,-83.0,83,0
47,-266.0,68,2
48,-46.0,46,0
49,-62.0,62,0
50,-241.0,142,1
51,-31.0,31,0
52,-36.0,36,0
53,-172.0,73,1
54,-77.0,77,0
55,-137.0,38,1
56,-136.0,37,1
57,-51.0,51,0
58,-53.0,53,0
59,-37.0,37,0
60,-40.0,40,0
61,-41.0,41,0
62,-43.0,43,0
63,-67.0,67,0
64,-29.0,29,0
65,-44.0,44,0
66,-29.0,29,0
67,-51.0,51,0
68,-37.0,37,0
69,-84.0,84,0
70,-32.0,32,0
71,-38.0,38,0
72,-180.0,81,1
73,-27.0,27,0
74,-30.0,30,0
75,-43.0,43,0
76,-58.0,58,0
77,-137.0,38,1
78,-31.0,31,0
79,-29.0,29,0
80,-40.0,40,0
81,-33.0,33,0
82,-60.0,60,0
83,-42.0,42,0
84,-37.0,37,0
85,-37.0,37,0
86,-32.0,32,0
87,-35.0,35,0
88,-37.0,37,0
89,-39.0,39,0
90,-150.0,51,1
91,-24.0,24,0
92,-198.0,99,1
93,-31.0,31,0
94,-48.0,48,0
95,-21.0,21,0
96,-33.0,33,0
97,-37.0,37,0
98,-41.0,41,0
99,-33.0,33,0
100,-31.0,31,0
101,-140.0,41,1
102,-23.0,23,0
103,-51.0,51,0
104,-123.0,24,1
105,-29.0,29,0
106,-44.0,44,0
107,-137.0,38,1
108,-30.0,30,0
109,-125.0,26,1
110,-29.0,29,0
111,-39.0,39,0
112,-143.0,44,1
113,-123.0,24,1
114,-38.0,38,0
115,-17.0,17,0
116,-51.0,51,0
117,-35.0,35,0
118,-26.0,26,0
119,-47.0,47,0
120,-26.0,26,0
121,-19.0,19,0
122,-28.0,28,0
123,-30.0,30,0
124,-140.0,41,1
125,-29.0,29,0
126,-35.0,35,0
127,-25.0,25,0
128,-25.0,25,0
129,-31.0,31,0
130,-53.0,53,0
131,-29.0,29,0
132,-35.0,35,0
133,-21.0,21,0
134,-121.0,22,1
135,-27.0,27,0
136,-33.0,33,0
137,-25.0,25,0
138,-30.0,30,0
139,-23.0,23,0
140,-24.0,24,0
141,-32.0,32,0
142,-21.0,21,0
143,-26.0,26,0
144,-23.0,23,0
145,-27.0,27,0
146,-39.0,39,0
147,-21.0,21,0
148,-27.0,27,0
149,-21.0,21,0
150,-35.0,35,0
151,-23.0,23,0
152,-18.0,18,0
153,-39.0,39,0
154,-36.0,36,0
155,-24.0,24,0
156,-24.0,24,0
157,-33.0,33,0
158,-27.0,27,0
159,-21.0,21,0
160,-31.0,31,0
161,-25.0,25,0
162,-27.0,27,0
163,-15.0,15,0
164,-21.0,21,0
165,-24.0,24,0
166,-29.0,29,0
167,-27.0,27,0
168,-27.0,27,0
169,-22.0,22,0
170,-23.0,23,0
171,-25.0,25,0
172,-31.0,31,0
173,-122.0,23,1
174,-26.0,26,0
175,-25.0,25,0
176,-15.0,15,0
177,-29.0,29,0
178,-25.0,25,0
179,-28.0,28,0
180,-32.0,32,0
181,-127.0,28,1
182,-31.0,31,0
183,-25.0,25,0
184,-19.0,19,0
185,-15.0,15,0
186,-27.0,27,0
187,-23.0,23,0
188,-17.0,17,0
189,-25.0,25,0
190,-27.0,27,0
191,-18.0,18,0
192,-25.0,25,0
193,-25.0,25,0
194,-25.0,25,0
195,-28.0,28,0
196,-17.0,17,0
197,-19.0,19,0
198,-23.0,23,0
199,-45.0,45,0
200,-21.0,21,0
201,-15.0,15,0
202,-25.0,25,0
203,-25.0,25,0
204,-26.0,26,0
205,-17.0,17,0
206,-18.0,18,0
207,-23.0,23,0
208,-15.0,15,0
209,-136.0,37,1
210,-126.0,27,1
211,-34.0,34,0
212,-22.0,22,0
213,-24.0,24,0
214,-17.0,17,0
215,-23.0,23,0
216,-19.0,19,0
217,-29.0,29,0
218,-17.0,17,0
219,-15.0,15,0
220,-17.0,17,0
221,-31.0,31,0
222,-20.0,20,0
223,-20.0,20,0
224,-22.0,22,0
225,-21.0,21,0
226,-23.0,23,0
227,-18.0,18,0
228,-21.0,21,0
229,-15.0,15,0
230,-17.0,17,0
231,-29.0,29,0
232,-21.0,21,0
233,-15.0,15,0
234,-23.0,23,0
235,-21.0,21,0
236,-17.0,17,0
237,-19.0,19,0
238,-15.0,15,0
239,-119.0,20,1
240,-19.0,19,0
241,-19.0,19,0
242,-25.0,25,0
243,-31.0,31,0
244,-15.0,15,0
245,-15.0,15,0
246,-22.0,22,0
247,-21.0,21,0
248,-18.0,18,0
249,-17.0,17,0
250,-23.0,23,0
251,-29.0,29,0
252,-23.0,23,0
253,-17.0,17,0
254,-15.0,15,0
255,-21.0,21,0
256,-21.0,21,0
257,-18.0,18,0
258,-17.0,17,0
259,-27.0,27,0
260,-17.0,17,0
261,-23.0,23,0
262,-19.0,19,0
263,-17.0,17,0
264,-17.0,17,0
265,-15.0,15,0
266,-121.0,22,1
267,-15.0,15,0
268,-15.0,15,0
269,-15.0,15,0
270,-16.0,16,0
271,-15.0,15,0
272,-22.0,22,0
273,-17.0,17,0
274,-23.0,23,0
275,-15.0,15,0
276,-17.0,17,0
277,-19.0,19,0
278,-21.0,21,0
279,-19.0,19,0
280,-15.0,15,0
281,-18.0,18,0
282,-15.0,15,0
283,-16.0,16,0
284,-19.0,19,0
285,-15.0,15,0
286,-17.0,17,0
287,-127.0,28,1
288,-15.0,15,0
289,-17.0,17,0
290,-19.0,19,0
291,-17.0,17,0
292,-19.0,19,0
293,-16.0,16,0
294,-15.0,15,0
295,-22.0,22,0
296,-21.0,21,0
297,-15.0,15,0
298,-16.0,16,0
299,-22.0,22,0
300,-20.0,20,0
301,-25.0,25,0
302,-21.0,21,0
303,-117.0,18,1
304,-15.0,15,0
305,-17.0,17,0
306,-15.0,15,0
307,-125.0,26,1
308,-15.0,15,0
309,-21.0,21,0
310,-19.0,19,0
311,-25.0,25,0
312,-22.0,22,0
313,-17.0,17,0
314,-17.0,17,0
315,-18.0,18,0
316,-21.0,21,0
317,-22.0,22,0
318,-19.0,19,0
319,-17.0,17,0
320,-15.0,15,0
321,-15.0,15,0
322,-15.0,15,0
323,-17.0,17,0
324,-23.0,23,0
325,-15.0,15,0
326,-21.0,21,0
327,-24.0,24,0
328,-15.0,15,0
329,-15.0,15,0
330,-127.0,28,1
331,-15.0,15,0
332,-19.0,19,0
333,-19.0,19,0
334,-21.0,21,0
335,-17.0,17,0
336,-15.0,15,0
337,-19.0,19,0
338,-15.0,15,0
339,-17.0,17,0
340,-23.0,23,0
341,-23.0,23,0
342,-17.0,17,0
343,-19.0,19,0
344,-17.0,17,0
345,-17.0,17,0
346,-124.0,25,1
347,-17.0,17,0
348,-16.0,16,0
349,-18.0,18,0
350,-19.0,19,0
351,-20.0,20,0
352,-20.0,20,0
353,-15.0,15,0
354,-15.0,15,0
355,-17.0,17,0
356,-15.0,15,0
357,-117.0,18,1
358,-15.0,15,0
359,-17.0,17,0
360,-15.0,15,0
361,-15.0,15,0
362,-19.0,19,0
363,-19.0,19,0
364,-15.0,15,0
365,-17.0,17,0
366,-19.0,19,0
367,-19.0,19,0
368,-15.0,15,0
369,-17.0,17,0
370,-15.0,15,0
371,-15.0,15,0
372,-17.0,17,0
373,-19.0,19,0
374,-17.0,17,0
375,-15.0,15,0
376,-15.0,15,0
377,-15.0,15,0
378,-17.0,17,0
379,-18.0,18,0
380,-19.0,19,0
381,-19.0,19,0
382,-15.0,15,0
383,-17.0,17,0
384,-15.0,15,0
385,-15.0,15,0
386,-15.0,15,0
387,-17.0,17,0
388,-22.0,22,0
389,-139.0,40,1
390,-16.0,16,0
391,-19.0,19,0
392,-21.0,21,0
393,-19.0,19,0
394,-116.0,17,1
395,-15.0,15,0
396,-15.0,15,0
397,-19.0,19,0
398,-17.0,17,0
399,-15.0,15,0
400,-17.0,17,0
401,-19.0,19,0
402,-15.0,15,0
403,-15.0,15,0
404,-15.0,15,0
405,-16.0,16,0
406,-17.0,17,0
407,-17.0,17,0
408,-15.0,15,0
409,-15.0,15,0
410,-25.0,25,0
411,-17.0,17,0
412,-17.0,17,0
413,-15.0,15,0
414,-17.0,17,0
415,-17.0,17,0
416,-20.0,20,0
417,-18.0,18,0
418,-15.0,15,0
419,-17.0,17,0
420,-15.0,15,0
421,-26.0,26,0
422,-15.0,15,0
423,-17.0,17,0
424,-17.0,17,0
425,-15.0,15,0
426,-19.0,19,0
427,-20.0,20,0
428,-17.0,17,0
429,-15.0,15,0
430,-19.0,19,0
431,-24.0,24,0
432,-15.0,15,0
433,-17.0,17,0
434,-17.0,17,0
435,-131.0,32,1
436,-117.0,18,1
437,-15.0,15,0
438,-15.0,15,0
439,-17.0,17,0
440,-19.0,19,0
441,-16.0,16,0
442,-17.0,17,0
443,-15.0,15,0
444,-21.0,21,0
445,-15.0,15,0
446,-16.0,16,0
447,-15.0,15,0
448,-15.0,15,0
449,-15.0,15,0
450,-17.0,17,0
451,-17.0,17,0
452,-117.0,18,1
453,-20.0,20,0
454,-21.0,21,0
455,-17.0,17,0
456,-18.0,18,0
457,-15.0,15,0
458,-17.0,17,0
459,-22.0,22,0
460,-15.0,15,0
461,-18.0,18,0
462,-20.0,20,0
463,-15.0,15,0
464,-17.0,17,0
465,-20.0,20,0
466,-15.0,15,0
467,-15.0,15,0
468,-15.0,15,0
469,-15.0,15,0
470,-17.0,17,0
471,-15.0,15,0
472,-20.0,20,0
473,-15.0,15,0
474,-19.0,19,0
475,-15.0,15,0
476,-19.0,19,0
477,-15.0,15,0
478,-19.0,19,0
479,-17.0,17,0
480,-15.0,15,0
