Episode,TotalReward,Steps,Falls,Rollbacks
0,-127.0,127,0,0
1,-120.0,120,0,0
2,-162.0,165,0,3
3,-84.0,84,0,0
4,-196.0,200,0,4
5,-233.0,239,0,6
6,-162.0,162,0,0
7,-89.0,89,0,0
8,-166.0,168,0,2
9,-276.0,282,0,6
10,-385.0,400,0,15
11,-129.0,129,0,0
12,-96.0,96,0,0
13,-64.0,64,0,0
14,-118.0,118,0,0
15,-96.0,96,0,0
16,-101.0,101,0,0
17,-380.0,400,0,20
18,-385.0,400,0,15
19,-168.0,168,0,0
20,-95.0,95,0,0
21,-67.0,67,0,0
22,-72.0,72,0,0
23,-51.0,51,0,0
24,-84.0,84,0,0
25,-97.0,97,0,0
26,-201.0,203,0,2
27,-385.0,400,0,15
28,-81.0,82,0,1
29,-122.0,122,0,0
30,-89.0,89,0,0
31,-119.0,119,0,0
32,-99.0,99,0,0
33,-89.0,89,0,0
34,-104.0,104,0,0
35,-84.0,84,0,0
36,-246.0,253,0,7
37,-73.0,73,0,0
38,-124.0,124,0,0
39,-127.0,127,0,0
40,-90.0,91,0,1
41,-166.0,168,0,2
42,-94.0,94,0,0
43,-114.0,114,0,0
44,-116.0,117,0,1
45,-179.0,181,0,2
46,-121.0,123,0,2
47,-163.0,166,0,3
48,-82.0,82,0,0
49,-386.0,400,0,14
50,-106.0,107,0,1
51,-387.0,400,0,13
52,-115.0,115,0,0
53,-135.0,135,0,0
54,-310.0,322,0,12
55,-134.0,134,0,0
56,-386.0,400,0,14
57,-108.0,108,0,0
58,-51.0,51,0,0
59,-106.0,106,0,0
60,-112.0,112,0,0
61,-125.0,125,0,0
62,-204.0,209,0,5
63,-170.0,172,0,2
64,-349.0,361,0,12
65,-127.0,127,0,0
66,-98.0,98,0,0
67,-56.0,56,0,0
68,-125.0,125,0,0
69,-197.0,203,0,6
70,-306.0,315,0,9
71,-141.0,141,0,0
72,-94.0,94,0,0
73,-45.0,45,0,0
74,-86.0,86,0,0
75,-114.0,114,0,0
76,-96.0,96,0,0
77,-159.0,159,0,0
78,-189.0,191,0,2
79,-105.0,105,0,0
80,-70.0,70,0,0
81,-127.0,127,0,0
82,-65.0,65,0,0
83,-117.0,119,0,2
84,-54.0,54,0,0
85,-72.0,72,0,0
86,-72.0,72,0,0
87,-116.0,116,0,0
88,-311.0,320,0,9
89,-161.0,161,0,0
90,-76.0,76,0,0
91,-113.0,113,0,0
92,-191.0,194,0,3
93,-118.0,118,0,0
94,-68.0,68,0,0
95,-128.0,128,0,0
96,-387.0,400,0,13
97,-82.0,82,0,0
98,-113.0,113,0,0
99,-115.0,115,0,0
100,-145.0,145,0,0
101,-151.0,151,0,0
102,-131.0,131,0,0
103,-134.0,134,0,0
104,-89.0,89,0,0
105,-130.0,130,0,0
106,-116.0,116,0,0
107,-294.0,304,0,10
108,-259.0,265,0,6
109,-74.0,74,0,0
110,-152.0,152,0,0
111,-137.0,137,0,0
112,-137.0,138,0,1
113,-340.0,353,0,13
114,-95.0,96,0,1
115,-135.0,135,0,0
116,-111.0,111,0,0
117,-79.0,79,0,0
118,-103.0,103,0,0
119,-389.0,400,0,11
120,-104.0,104,0,0
121,-139.0,142,0,3
122,-101.0,101,0,0
123,-249.0,255,0,6
124,-109.0,109,0,0
125,-93.0,93,0,0
126,-198.0,200,0,2
127,-100.0,100,0,0
128,-112.0,112,0,0
129,-211.0,213,0,2
130,-380.0,400,0,20
131,-71.0,71,0,0
132,-100.0,100,0,0
133,-113.0,114,0,1
134,-389.0,400,0,11
135,-78.0,79,0,1
136,-319.0,329,0,10
137,-124.0,124,0,0
138,-117.0,118,0,1
139,-91.0,91,0,0
140,-385.0,400,0,15
141,-177.0,182,0,5
142,-84.0,84,0,0
143,-120.0,120,0,0
144,-60.0,60,0,0
145,-148.0,152,0,4
146,-130.0,130,0,0
147,-125.0,125,0,0
148,-162.0,165,0,3
149,-111.0,111,0,0
150,-103.0,103,0,0
151,-202.0,207,0,5
152,-132.0,132,0,0
153,-95.0,95,0,0
154,-113.0,113,0,0
155,-146.0,146,0,0
156,-94.0,94,0,0
157,-386.0,400,0,14
158,-124.0,126,0,2
159,-123.0,123,0,0
160,-166.0,168,0,2
161,-92.0,92,0,0
162,-153.0,153,0,0
163,-70.0,70,0,0
164,-122.0,122,0,0
165,-84.0,84,0,0
166,-94.0,94,0,0
167,-61.0,61,0,0
168,-158.0,158,0,0
169,-113.0,113,0,0
170,-50.0,50,0,0
171,-167.0,171,0,4
172,-106.0,106,0,0
173,-125.0,127,0,2
174,-104.0,104,0,0
175,-90.0,91,0,1
176,-126.0,126,0,0
177,-118.0,118,0,0
178,-110.0,110,0,0
179,-105.0,105,0,0
180,-70.0,70,0,0
181,-102.0,102,0,0
182,-109.0,109,0,0
183,-66.0,66,0,0
184,-99.0,99,0,0
185,-383.0,400,0,17
186,-355.0,368,0,13
187,-180.0,180,0,0
188,-110.0,110,0,0
189,-183.0,183,0,0
190,-384.0,400,0,16
191,-131.0,131,0,0
192,-85.0,85,0,0
193,-384.0,400,0,16
194,-104.0,104,0,0
195,-103.0,103,0,0
196,-319.0,333,0,14
197,-384.0,400,0,16
198,-101.0,101,0,0
199,-94.0,94,0,0
200,-66.0,66,0,0
201,-477.0,400,1,22
202,-128.0,128,0,0
203,-59.0,59,0,0
204,-85.0,85,0,0
205,-143.0,145,0,2
206,-86.0,86,0,0
207,-97.0,97,0,0
208,-382.0,400,0,18
209,-385.0,400,0,15
210,-130.0,130,0,0
211,-226.0,229,0,3
212,-107.0,110,0,3
213,-187.0,188,0,1
214,-109.0,109,0,0
215,-218.0,222,0,4
216,-187.0,191,0,4
217,-46.0,46,0,0
218,-388.0,400,0,12
219,-49.0,49,0,0
220,-379.0,400,0,21
221,-46.0,46,0,0
222,-86.0,86,0,0
223,-117.0,117,0,0
224,-186.0,188,0,2
225,-72.0,72,0,0
226,-136.0,136,0,0
227,-371.0,386,0,15
228,-103.0,103,0,0
229,-53.0,53,0,0
230,-133.0,133,0,0
231,-160.0,162,0,2
232,-128.0,128,0,0
233,-175.0,175,0,0
234,-385.0,400,0,15
235,-82.0,82,0,0
236,-85.0,85,0,0
237,-91.0,91,0,0
238,-87.0,87,0,0
239,-95.0,95,0,0
240,-382.0,400,0,18
241,-116.0,117,0,1
242,-91.0,91,0,0
243,-123.0,123,0,0
244,-126.0,126,0,0
245,-198.0,201,0,3
246,-77.0,77,0,0
247,-75.0,75,0,0
248,-95.0,96,0,1
249,-82.0,82,0,0
250,-136.0,136,0,0
251,-209.0,214,0,5
252,-101.0,101,0,0
253,-221.0,224,0,3
254,-125.0,125,0,0
255,-57.0,57,0,0
256,-121.0,121,0,0
257,-102.0,103,0,1
258,-61.0,61,0,0
259,-159.0,161,0,2
260,-59.0,59,0,0
261,-89.0,89,0,0
262,-122.0,123,0,1
263,-102.0,102,0,0
264,-384.0,400,0,16
265,-162.0,165,0,3
266,-145.0,145,0,0
267,-380.0,400,0,20
268,-206.0,210,0,4
269,-116.0,116,0,0
270,-127.0,127,0,0
271,-119.0,120,0,1
272,-123.0,123,0,0
273,-104.0,104,0,0
274,-139.0,139,0,0
275,-195.0,201,0,6
276,-58.0,58,0,0
277,-122.0,122,0,0
278,-237.0,240,0,3
279,-70.0,70,0,0
280,-86.0,86,0,0
281,-116.0,116,0,0
282,-141.0,141,0,0
283,-50.0,50,0,0
284,-177.0,179,0,2
285,-79.0,79,0,0
286,-94.0,94,0,0
287,-138.0,138,0,0
288,-117.0,117,0,0
289,-191.0,195,0,4
290,-152.0,152,0,0
291,-88.0,88,0,0
292,-65.0,65,0,0
293,-113.0,113,0,0
294,-156.0,157,0,1
295,-88.0,88,0,0
296,-192.0,195,0,3
297,-82.0,82,0,0
298,-146.0,148,0,2
299,-83.0,83,0,0
300,-112.0,112,0,0
301,-87.0,87,0,0
302,-105.0,105,0,0
303,-86.0,86,0,0
304,-139.0,139,0,0
305,-143.0,143,0,0
306,-141.0,141,0,0
307,-89.0,89,0,0
308,-356.0,365,0,9
309,-103.0,103,0,0
310,-154.0,155,0,1
311,-122.0,122,0,0
312,-131.0,131,0,0
313,-91.0,91,0,0
314,-67.0,67,0,0
315,-128.0,128,0,0
316,-384.0,400,0,16
317,-192.0,195,0,3
318,-384.0,400,0,16
319,-169.0,169,0,0
320,-40.0,40,0,0
321,-147.0,150,0,3
322,-103.0,103,0,0
323,-386.0,400,0,14
324,-112.0,112,0,0
325,-274.0,282,0,8
326,-79.0,79,0,0
327,-111.0,111,0,0
328,-205.0,208,0,3
329,-88.0,88,0,0
330,-66.0,66,0,0
331,-142.0,142,0,0
332,-228.0,237,0,9
333,-82.0,82,0,0
334,-78.0,78,0,0
335,-103.0,103,0,0
336,-386.0,400,0,14
337,-202.0,204,0,2
338,-110.0,111,0,1
339,-67.0,67,0,0
340,-69.0,69,0,0
341,-153.0,157,0,4
342,-178.0,180,0,2
343,-170.0,172,0,2
344,-41.0,41,0,0
345,-384.0,400,0,16
346,-571.0,287,3,13
347,-131.0,134,0,3
348,-134.0,134,0,0
349,-110.0,110,0,0
350,-136.0,136,0,0
351,-96.0,96,0,0
352,-115.0,115,0,0
353,-108.0,108,0,0
354,-114.0,115,0,1
355,-170.0,174,0,4
356,-187.0,191,0,4
357,-302.0,316,0,14
358,-132.0,132,0,0
359,-384.0,400,0,16
360,-202.0,206,0,4
361,-237.0,245,0,8
362,-258.0,267,0,9
363,-104.0,104,0,0
364,-225.0,229,0,4
365,-140.0,141,0,1
366,-202.0,205,0,3
367,-77.0,77,0,0
368,-186.0,188,0,2
369,-262.0,267,0,5
370,-294.0,302,0,8
371,-126.0,126,0,0
372,-136.0,136,0,0
373,-97.0,97,0,0
374,-385.0,400,0,15
375,-156.0,156,0,0
376,-102.0,102,0,0
377,-112.0,112,0,0
378,-80.0,80,0,0
379,-116.0,116,0,0
380,-114.0,114,0,0
381,-387.0,400,0,13
382,-135.0,135,0,0
383,-45.0,45,0,0
384,-99.0,99,0,0
385,-72.0,72,0,0
386,-100.0,100,0,0
387,-259.0,264,0,5
388,-71.0,71,0,0
389,-307.0,319,0,12
390,-168.0,170,0,2
391,-111.0,111,0,0
