Episode,Total Reward,Steps,Falls
0,-69.0,69,0,True
1,-175.0,175,0,True
2,-863.0,269,6,True
3,-103.0,103,0,True
4,-138.0,138,0,True
5,-1916.0,530,14,True
6,-118.0,118,0,True
7,-47.0,47,0,True
8,-95.0,95,0,True
9,-81.0,81,0,True
10,-222.0,123,1,True
11,-126.0,126,0,True
12,-333.0,135,2,True
13,-147.0,147,0,True
14,-139.0,139,0,True
15,-63.0,63,0,True
16,-157.0,157,0,True
17,-112.0,112,0,True
18,-90.0,90,0,True
19,-89.0,89,0,True
20,-169.0,169,0,True
21,-889.0,295,6,True
22,-67.0,67,0,True
23,-407.0,209,2,True
24,-2185.0,700,15,False
25,-102.0,102,0,True
26,-347.0,149,2,True
27,-89.0,89,0,True
28,-79.0,79,0,True
29,-356.0,158,2,True
30,-1680.0,492,12,True
31,-484.0,187,3,True
32,-103.0,103,0,True
33,-78.0,78,0,True
34,-105.0,105,0,True
35,-369.0,171,2,True
36,-1756.0,568,12,True
37,-358.0,160,2,True
38,-574.0,178,4,True
39,-1201.0,310,9,True
40,-1065.0,273,8,True
41,-151.0,151,0,True
42,-98.0,98,0,True
43,-119.0,119,0,True
44,-92.0,92,0,True
45,-1971.0,684,13,True
46,-176.0,176,0,True
47,-389.0,191,2,True
48,-109.0,109,0,True
49,-340.0,142,2,True
50,-106.0,106,0,True
51,-120.0,120,0,True
52,-844.0,250,6,True
53,-109.0,109,0,True
54,-87.0,87,0,True
55,-110.0,110,0,True
56,-78.0,78,0,True
57,-499.0,202,3,True
58,-360.0,162,2,True
59,-345.0,147,2,True
60,-193.0,94,1,True
61,-2086.0,700,14,False
62,-108.0,108,0,True
63,-85.0,85,0,True
64,-144.0,144,0,True
65,-102.0,102,0,True
66,-91.0,91,0,True
67,-1346.0,455,9,True
68,-159.0,159,0,True
69,-439.0,142,3,True
70,-114.0,114,0,True
71,-134.0,134,0,True
72,-846.0,252,6,True
73,-71.0,71,0,True
74,-337.0,139,2,True
75,-42.0,42,0,True
76,-1760.0,572,12,True
77,-157.0,157,0,True
78,-103.0,103,0,True
79,-100.0,100,0,True
80,-133.0,133,0,True
81,-642.0,246,4,True
82,-125.0,125,0,True
83,-60.0,60,0,True
84,-159.0,159,0,True
85,-95.0,95,0,True
86,-1882.0,694,12,True
87,-613.0,217,4,True
88,-95.0,95,0,True
89,-50.0,50,0,True
90,-187.0,88,1,True
91,-115.0,115,0,True
92,-127.0,127,0,True
93,-62.0,62,0,True
94,-122.0,122,0,True
95,-2185.0,700,15,False
96,-55.0,55,0,True
97,-111.0,111,0,True
98,-1943.0,656,13,True
99,-100.0,100,0,True
100,-109.0,109,0,True
101,-78.0,78,0,True
102,-87.0,87,0,True
103,-94.0,94,0,True
104,-361.0,163,2,True
105,-115.0,115,0,True
106,-81.0,81,0,True
107,-1663.0,574,11,True
108,-134.0,134,0,True
109,-130.0,130,0,True
110,-501.0,204,3,True
111,-2086.0,700,14,False
112,-71.0,71,0,True
113,-362.0,164,2,True
114,-115.0,115,0,True
115,-563.0,167,4,True
116,-723.0,228,5,True
117,-106.0,106,0,True
118,-111.0,111,0,True
119,-1946.0,659,13,True
120,-113.0,113,0,True
121,-361.0,163,2,True
122,-110.0,110,0,True
123,-766.0,271,5,True
124,-1728.0,639,11,True
125,-122.0,122,0,True
126,-258.0,159,1,True
127,-352.0,154,2,True
128,-83.0,83,0,True
129,-138.0,138,0,True
130,-77.0,77,0,True
131,-392.0,194,2,True
132,-91.0,91,0,True
133,-1977.0,690,13,True
134,-86.0,86,0,True
135,-1151.0,359,8,True
136,-102.0,102,0,True
137,-507.0,210,3,True
138,-370.0,172,2,True
139,-64.0,64,0,True
140,-110.0,110,0,True
141,-1481.0,491,10,True
142,-94.0,94,0,True
143,-110.0,110,0,True
144,-112.0,112,0,True
145,-1435.0,445,10,True
146,-151.0,151,0,True
147,-599.0,203,4,True
148,-1416.0,426,10,True
149,-128.0,128,0,True
150,-394.0,196,2,True
151,-604.0,208,4,True
152,-368.0,170,2,True
153,-356.0,158,2,True
154,-105.0,105,0,True
