Episode,Total Reward,Steps,Falls,Rollbacks
0,-49.0,50,0,1,True
1,-63.0,64,0,1,True
2,-491.0,533,0,42,True
3,-77.0,79,0,2,True
4,-52.0,54,0,2,True
5,-107.0,107,0,0,True
6,-106.0,107,0,1,True
7,-95.0,95,0,0,True
8,-79.0,80,0,1,True
9,-89.0,90,0,1,True
10,-100.0,102,0,2,True
11,-52.0,53,0,1,True
12,-61.0,62,0,1,True
13,-122.0,122,0,0,True
14,-62.0,63,0,1,True
15,-86.0,87,0,1,True
16,-574.0,613,0,39,True
17,-177.0,189,0,12,True
18,-39.0,40,0,1,True
19,-80.0,81,0,1,True
20,-343.0,370,0,27,True
21,-402.0,425,0,23,True
22,-434.0,464,0,30,True
23,-61.0,62,0,1,True
24,-131.0,131,0,0,True
25,-135.0,136,0,1,True
26,-126.0,126,0,0,True
27,-80.0,82,0,2,True
28,-87.0,88,0,1,True
29,-47.0,49,0,2,True
30,-202.0,216,0,14,True
31,-82.0,82,0,0,True
32,-93.0,94,0,1,True
33,-379.0,396,0,17,True
34,-88.0,93,0,5,True
35,-90.0,92,0,2,True
36,-108.0,109,0,1,True
37,-97.0,98,0,1,True
38,-111.0,113,0,2,True
39,-129.0,131,0,2,True
40,-93.0,97,0,4,True
41,-44.0,45,0,1,True
42,-137.0,139,0,2,True
43,-80.0,81,0,1,True
44,-88.0,92,0,4,True
45,-195.0,210,0,15,True
46,-82.0,83,0,1,True
47,-176.0,189,0,13,True
48,-122.0,124,0,2,True
49,-120.0,120,0,0,True
50,-177.0,182,0,5,True
51,-129.0,130,0,1,True
52,-44.0,44,0,0,True
53,-189.0,197,0,8,True
54,-106.0,106,0,0,True
55,-80.0,81,0,1,True
56,-120.0,120,0,0,True
57,-59.0,59,0,0,True
58,-85.0,86,0,1,True
59,-86.0,87,0,1,True
60,-82.0,84,0,2,True
61,-648.0,700,0,52,False
62,-64.0,65,0,1,True
63,-97.0,106,0,9,True
64,-54.0,54,0,0,True
65,-91.0,91,0,0,True
66,-148.0,148,0,0,True
67,-94.0,94,0,0,True
68,-99.0,100,0,1,True
69,-643.0,700,0,57,False
70,-108.0,109,0,1,True
71,-92.0,92,0,0,True
72,-123.0,123,0,0,True
73,-46.0,47,0,1,True
74,-105.0,105,0,0,True
75,-653.0,700,0,47,False
76,-226.0,233,0,7,True
77,-615.0,655,0,40,True
78,-61.0,61,0,0,True
79,-126.0,127,0,1,True
80,-44.0,45,0,1,True
81,-93.0,93,0,0,True
82,-97.0,98,0,1,True
83,-116.0,121,0,5,True
84,-96.0,96,0,0,True
85,-573.0,622,0,49,True
86,-69.0,71,0,2,True
87,-99.0,105,0,6,True
88,-139.0,141,0,2,True
89,-368.0,396,0,28,True
90,-64.0,64,0,0,True
91,-74.0,77,0,3,True
92,-85.0,88,0,3,True
93,-78.0,79,0,1,True
94,-108.0,114,0,6,True
95,-145.0,155,0,10,True
96,-89.0,90,0,1,True
97,-502.0,430,1,27,True
98,-96.0,97,0,1,True
99,-116.0,117,0,1,True
100,-45.0,46,0,1,True
101,-101.0,101,0,0,True
102,-104.0,109,0,5,True
103,-128.0,134,0,6,True
104,-105.0,105,0,0,True
105,-70.0,72,0,2,True
106,-87.0,87,0,0,True
107,-126.0,129,0,3,True
108,-93.0,93,0,0,True
109,-92.0,93,0,1,True
110,-148.0,148,0,0,True
111,-103.0,103,0,0,True
112,-648.0,700,0,52,False
113,-51.0,52,0,1,True
114,-121.0,121,0,0,True
115,-66.0,68,0,2,True
116,-57.0,57,0,0,True
117,-76.0,76,0,0,True
118,-79.0,79,0,0,True
119,-107.0,107,0,0,True
120,-122.0,122,0,0,True
121,-183.0,184,0,1,True
122,-58.0,59,0,1,True
123,-412.0,443,0,31,True
124,-86.0,87,0,1,True
125,-47.0,50,0,3,True
126,-646.0,700,0,54,False
127,-181.0,188,0,7,True
128,-84.0,84,0,0,True
129,-83.0,83,0,0,True
130,-78.0,78,0,0,True
131,-89.0,90,0,1,True
132,-96.0,96,0,0,True
133,-647.0,700,0,53,False
134,-164.0,175,0,11,True
135,-242.0,254,0,12,True
136,-84.0,84,0,0,True
137,-147.0,156,0,9,True
138,-80.0,81,0,1,True
139,-90.0,90,0,0,True
140,-100.0,100,0,0,True
141,-51.0,51,0,0,True
142,-139.0,144,0,5,True
143,-191.0,195,0,4,True
144,-106.0,108,0,2,True
145,-46.0,48,0,2,True
146,-137.0,138,0,1,True
147,-147.0,155,0,8,True
148,-127.0,127,0,0,True
149,-76.0,76,0,0,True
150,-161.0,173,0,12,True
151,-46.0,47,0,1,True
152,-88.0,88,0,0,True
153,-91.0,91,0,0,True
154,-250.0,260,0,10,True
155,-309.0,332,0,23,True
156,-159.0,168,0,9,True
157,-92.0,92,0,0,True
158,-108.0,117,0,9,True
159,-84.0,85,0,1,True
160,-122.0,122,0,0,True
161,-33.0,33,0,0,True
162,-127.0,128,0,1,True
163,-73.0,74,0,1,True
164,-132.0,132,0,0,True
165,-45.0,46,0,1,True
166,-69.0,70,0,1,True
167,-72.0,72,0,0,True
168,-85.0,87,0,2,True
169,-186.0,188,0,2,True
170,-92.0,93,0,1,True
171,-61.0,62,0,1,True
172,-81.0,82,0,1,True
173,-91.0,91,0,0,True
174,-138.0,142,0,4,True
175,-65.0,66,0,1,True
176,-504.0,534,0,30,True
177,-104.0,109,0,5,True
178,-78.0,81,0,3,True
179,-63.0,66,0,3,True
180,-103.0,108,0,5,True
181,-95.0,96,0,1,True
182,-79.0,79,0,0,True
183,-324.0,349,0,25,True
184,-70.0,74,0,4,True
185,-215.0,232,0,17,True
186,-108.0,109,0,1,True
187,-47.0,48,0,1,True
188,-94.0,94,0,0,True
189,-55.0,58,0,3,True
190,-76.0,80,0,4,True
191,-64.0,67,0,3,True
192,-639.0,700,0,61,False
193,-657.0,700,0,43,False
194,-669.0,700,0,31,False
195,-245.0,267,0,22,True
196,-131.0,131,0,0,True
197,-68.0,68,0,0,True
198,-46.0,47,0,1,True
199,-99.0,100,0,1,True
200,-74.0,75,0,1,True
201,-69.0,74,0,5,True
202,-118.0,118,0,0,True
203,-656.0,700,0,44,False
204,-91.0,91,0,0,True
205,-86.0,87,0,1,True
206,-633.0,700,0,67,False
207,-104.0,105,0,1,True
208,-657.0,700,0,43,False
209,-210.0,220,0,10,True
210,-102.0,103,0,1,True
211,-46.0,49,0,3,True
212,-95.0,97,0,2,True
213,-284.0,300,0,16,True
214,-60.0,62,0,2,True
215,-62.0,63,0,1,True
216,-108.0,108,0,0,True
217,-73.0,74,0,1,True
218,-91.0,92,0,1,True
219,-189.0,196,0,7,True
220,-601.0,651,0,50,True
221,-219.0,228,0,9,True
222,-83.0,83,0,0,True
223,-124.0,125,0,1,True
224,-121.0,121,0,0,True
225,-57.0,58,0,1,True
226,-76.0,77,0,1,True
227,-144.0,144,0,0,True
