Episode,Total Reward,Steps,Falls
0,-121.0,121,0,True
1,-159.0,159,0,True
2,-145.0,145,0,True
3,-1987.0,700,13,False
4,-237.0,138,1,True
5,-128.0,128,0,True
6,-142.0,142,0,True
7,-99.0,99,0,True
8,-77.0,77,0,True
9,-104.0,104,0,True
10,-136.0,136,0,True
11,-125.0,125,0,True
12,-1805.0,617,12,True
13,-97.0,97,0,True
14,-60.0,60,0,True
15,-121.0,121,0,True
16,-76.0,76,0,True
17,-135.0,135,0,True
18,-501.0,204,3,True
19,-571.0,175,4,True
20,-116.0,116,0,True
21,-244.0,145,1,True
22,-99.0,99,0,True
23,-129.0,129,0,True
24,-2166.0,681,15,True
25,-122.0,122,0,True
26,-606.0,210,4,True
27,-2086.0,700,14,False
28,-67.0,67,0,True
29,-90.0,90,0,True
30,-408.0,210,2,True
31,-113.0,113,0,True
32,-112.0,112,0,True
33,-1375.0,484,9,True
34,-81.0,81,0,True
35,-1676.0,587,11,True
36,-93.0,93,0,True
37,-191.0,92,1,True
38,-144.0,144,0,True
39,-1216.0,424,8,True
40,-92.0,92,0,True
41,-143.0,143,0,True
42,-76.0,76,0,True
43,-2482.0,700,18,False
44,-159.0,159,0,True
45,-156.0,156,0,True
46,-1304.0,512,8,True
47,-109.0,109,0,True
48,-1987.0,700,13,False
49,-224.0,125,1,True
50,-723.0,228,5,True
51,-383.0,185,2,True
52,-160.0,160,0,True
53,-1831.0,544,13,True
54,-129.0,129,0,True
55,-82.0,82,0,True
56,-2185.0,700,15,False
57,-350.0,152,2,True
58,-331.0,133,2,True
59,-1153.0,361,8,True
60,-127.0,127,0,True
61,-91.0,91,0,True
62,-141.0,141,0,True
63,-72.0,72,0,True
64,-103.0,103,0,True
65,-107.0,107,0,True
66,-98.0,98,0,True
67,-378.0,180,2,True
68,-1987.0,700,13,True
69,-110.0,110,0,True
70,-2185.0,700,15,False
71,-1987.0,700,13,False
72,-104.0,104,0,True
73,-2086.0,700,14,False
74,-1868.0,680,12,True
75,-627.0,231,4,True
76,-1715.0,626,11,True
77,-166.0,166,0,True
78,-1377.0,486,9,True
79,-63.0,63,0,True
80,-193.0,94,1,True
81,-184.0,184,0,True
82,-109.0,109,0,True
83,-584.0,188,4,True
84,-637.0,241,4,True
85,-704.0,209,5,True
86,-85.0,85,0,True
87,-383.0,185,2,True
88,-179.0,179,0,True
89,-982.0,289,7,True
90,-1449.0,459,10,True
91,-760.0,166,6,True
92,-135.0,135,0,True
93,-141.0,141,0,True
94,-103.0,103,0,True
95,-159.0,159,0,True
96,-1888.0,700,12,False
97,-134.0,134,0,True
98,-59.0,59,0,True
99,-221.0,122,1,True
100,-96.0,96,0,True
101,-88.0,88,0,True
102,-70.0,70,0,True
103,-146.0,47,1,True
104,-67.0,67,0,True
105,-1749.0,561,12,True
106,-125.0,125,0,True
107,-70.0,70,0,True
108,-100.0,100,0,True
109,-1987.0,700,13,False
110,-111.0,111,0,True
111,-738.0,243,5,True
112,-343.0,145,2,True
113,-49.0,49,0,True
114,-152.0,152,0,True
115,-170.0,170,0,True
116,-258.0,159,1,True
117,-166.0,166,0,True
118,-108.0,108,0,True
119,-122.0,122,0,True
120,-105.0,105,0,True
121,-101.0,101,0,True
122,-98.0,98,0,True
123,-142.0,142,0,True
124,-501.0,204,3,True
125,-108.0,108,0,True
126,-150.0,150,0,True
127,-139.0,139,0,True
128,-69.0,69,0,True
129,-341.0,143,2,True
130,-876.0,282,6,True
131,-1854.0,666,12,True
132,-95.0,95,0,True
133,-122.0,122,0,True
134,-95.0,95,0,True
135,-61.0,61,0,True
136,-52.0,52,0,True
137,-67.0,67,0,True
138,-112.0,112,0,True
139,-92.0,92,0,True
140,-181.0,181,0,True
141,-106.0,106,0,True
142,-52.0,52,0,True
143,-352.0,154,2,True
144,-112.0,112,0,True
145,-115.0,115,0,True
146,-118.0,118,0,True
147,-95.0,95,0,True
148,-107.0,107,0,True
149,-574.0,178,4,True
150,-81.0,81,0,True
151,-134.0,134,0,True
152,-348.0,150,2,True
153,-205.0,106,1,True
154,-169.0,169,0,True
155,-62.0,62,0,True
156,-84.0,84,0,True
157,-118.0,118,0,True
158,-879.0,285,6,True
159,-187.0,88,1,True
160,-361.0,163,2,True
161,-611.0,215,4,True
162,-1987.0,700,13,False
163,-334.0,136,2,True
164,-127.0,127,0,True
165,-57.0,57,0,True
166,-78.0,78,0,True
167,-291.0,93,2,True
168,-105.0,105,0,True
169,-372.0,174,2,True
170,-89.0,89,0,True
171,-137.0,137,0,True
172,-152.0,152,0,True
173,-2581.0,700,19,False
174,-90.0,90,0,True
175,-157.0,58,1,True
176,-184.0,184,0,True
177,-110.0,110,0,True
178,-2086.0,700,14,False
179,-77.0,77,0,True
180,-107.0,107,0,True
181,-369.0,171,2,True
182,-107.0,107,0,True
183,-457.0,160,3,True
184,-352.0,154,2,True
185,-70.0,70,0,True
186,-139.0,139,0,True
187,-50.0,50,0,True
188,-133.0,133,0,True
189,-493.0,196,3,True
190,-105.0,105,0,True
191,-122.0,122,0,True
192,-113.0,113,0,True
193,-95.0,95,0,True
194,-137.0,137,0,True
195,-106.0,106,0,True
196,-132.0,132,0,True
197,-168.0,168,0,True
198,-77.0,77,0,True
199,-87.0,87,0,True
200,-323.0,125,2,True
201,-55.0,55,0,True
202,-71.0,71,0,True
203,-231.0,132,1,True
204,-112.0,112,0,True
205,-122.0,122,0,True
206,-81.0,81,0,True
207,-2284.0,700,16,False
208,-78.0,78,0,True
209,-48.0,48,0,True
210,-88.0,88,0,True
211,-396.0,198,2,True
212,-126.0,126,0,True
213,-1789.0,700,11,False
214,-130.0,130,0,True
215,-771.0,276,5,True
216,-1450.0,460,10,True
217,-76.0,76,0,True
218,-117.0,117,0,True
219,-113.0,113,0,True
220,-95.0,95,0,True
221,-107.0,107,0,True
222,-112.0,112,0,True
223,-88.0,88,0,True
224,-137.0,137,0,True
225,-99.0,99,0,True
226,-367.0,169,2,True
227,-79.0,79,0,True
228,-128.0,128,0,True
229,-363.0,165,2,True
230,-139.0,139,0,True
231,-96.0,96,0,True
232,-241.0,142,1,True
233,-83.0,83,0,True
234,-253.0,154,1,True
235,-78.0,78,0,True
236,-129.0,129,0,True
237,-78.0,78,0,True
238,-134.0,134,0,True
239,-88.0,88,0,True
240,-125.0,125,0,True
241,-81.0,81,0,True
242,-90.0,90,0,True
243,-2383.0,700,17,False
244,-53.0,53,0,True
245,-148.0,148,0,True
246,-2581.0,700,19,False
247,-143.0,143,0,True
248,-138.0,138,0,True
249,-376.0,178,2,True
250,-1162.0,370,8,True
251,-97.0,97,0,True
252,-636.0,141,5,True
253,-1987.0,700,13,False
254,-512.0,215,3,True
255,-104.0,104,0,True
256,-144.0,144,0,True
257,-100.0,100,0,True
258,-134.0,134,0,True
259,-152.0,152,0,True
260,-1852.0,664,12,True
261,-41.0,41,0,True
262,-264.0,165,1,True
263,-1025.0,332,7,True
264,-130.0,130,0,True
265,-108.0,108,0,True
266,-2077.0,691,14,True
267,-141.0,141,0,True
268,-397.0,199,2,True
269,-622.0,226,4,True
270,-107.0,107,0,True
271,-84.0,84,0,True
272,-212.0,113,1,True
273,-118.0,118,0,True
274,-38.0,38,0,True
275,-133.0,133,0,True
276,-106.0,106,0,True
277,-115.0,115,0,True
278,-98.0,98,0,True
279,-2078.0,593,15,True
280,-42.0,42,0,True
281,-86.0,86,0,True
282,-138.0,138,0,True
283,-1052.0,359,7,True
284,-88.0,88,0,True
285,-47.0,47,0,True
286,-120.0,120,0,True
287,-1242.0,450,8,True
288,-57.0,57,0,True
289,-52.0,52,0,True
290,-2383.0,700,17,False
291,-120.0,120,0,True
292,-82.0,82,0,True
293,-121.0,121,0,True
294,-91.0,91,0,True
295,-100.0,100,0,True
296,-2086.0,700,14,False
297,-621.0,225,4,True
298,-90.0,90,0,True
299,-61.0,61,0,True
300,-110.0,110,0,True
301,-91.0,91,0,True
302,-77.0,77,0,True
303,-105.0,105,0,True
304,-51.0,51,0,True
305,-1471.0,481,10,True
306,-2086.0,700,14,False
307,-521.0,224,3,True
308,-46.0,46,0,True
309,-85.0,85,0,True
310,-1036.0,343,7,True
311,-152.0,152,0,True
312,-85.0,85,0,True
313,-116.0,116,0,True
314,-106.0,106,0,True
315,-135.0,135,0,True
316,-109.0,109,0,True
317,-1884.0,597,13,True
318,-105.0,105,0,True
319,-90.0,90,0,True
320,-63.0,63,0,True
321,-568.0,172,4,True
322,-336.0,138,2,True
323,-2086.0,700,14,False
324,-135.0,135,0,True
325,-104.0,104,0,True
326,-152.0,152,0,True
327,-106.0,106,0,True
328,-103.0,103,0,True
329,-83.0,83,0,True
330,-361.0,163,2,True
331,-2086.0,700,14,False
332,-154.0,154,0,True
333,-58.0,58,0,True
334,-126.0,126,0,True
335,-1980.0,693,13,True
336,-1888.0,700,12,False
337,-2329.0,547,18,True
338,-489.0,192,3,True
339,-72.0,72,0,True
340,-387.0,189,2,True
341,-447.0,150,3,True
342,-63.0,63,0,True
343,-132.0,132,0,True
344,-356.0,158,2,True
345,-68.0,68,0,True
346,-93.0,93,0,True
347,-160.0,160,0,True
348,-93.0,93,0,True
349,-197.0,98,1,True
350,-55.0,55,0,True
351,-245.0,146,1,True
352,-1599.0,510,11,True
353,-98.0,98,0,True
354,-91.0,91,0,True
355,-735.0,240,5,True
356,-1784.0,596,12,True
357,-110.0,110,0,True
358,-135.0,135,0,True
359,-112.0,112,0,True
360,-87.0,87,0,True
361,-1339.0,448,9,True
362,-151.0,151,0,True
363,-349.0,151,2,True
364,-72.0,72,0,True
365,-117.0,117,0,True
366,-1888.0,700,12,False
367,-367.0,169,2,True
368,-165.0,165,0,True
369,-89.0,89,0,True
370,-154.0,154,0,True
371,-125.0,125,0,True
372,-54.0,54,0,True
373,-2581.0,700,19,False
374,-404.0,206,2,True
375,-95.0,95,0,True
376,-82.0,82,0,True
377,-71.0,71,0,True
378,-590.0,194,4,True
379,-151.0,151,0,True
380,-238.0,139,1,True
381,-156.0,156,0,True
382,-147.0,147,0,True
383,-131.0,131,0,True
384,-397.0,199,2,True
385,-138.0,138,0,True
386,-2284.0,700,16,False
387,-51.0,51,0,True
388,-1789.0,700,11,False
389,-127.0,127,0,True
390,-174.0,174,0,True
391,-1359.0,468,9,True
392,-172.0,172,0,True
393,-39.0,39,0,True
394,-86.0,86,0,True
395,-134.0,134,0,True
396,-472.0,175,3,True
397,-504.0,207,3,True
398,-153.0,153,0,True
399,-127.0,127,0,True
400,-111.0,111,0,True
401,-157.0,157,0,True
402,-261.0,162,1,True
403,-173.0,74,1,True
404,-82.0,82,0,True
405,-130.0,130,0,True
406,-2284.0,700,16,False
407,-53.0,53,0,True
408,-1987.0,700,13,False
409,-107.0,107,0,True
410,-103.0,103,0,True
411,-64.0,64,0,True
412,-127.0,127,0,True
413,-167.0,167,0,True
414,-135.0,135,0,True
415,-386.0,188,2,True
416,-115.0,115,0,True
417,-2185.0,700,15,False
418,-126.0,126,0,True
419,-392.0,194,2,True
420,-1877.0,590,13,True
421,-747.0,252,5,True
422,-1888.0,700,12,False
423,-154.0,154,0,True
424,-2284.0,700,16,False
425,-89.0,89,0,True
426,-311.0,113,2,True
427,-120.0,120,0,True
428,-155.0,155,0,True
429,-115.0,115,0,True
430,-190.0,91,1,True
431,-136.0,136,0,True
432,-118.0,118,0,True
433,-82.0,82,0,True
434,-124.0,124,0,True
435,-94.0,94,0,True
436,-292.0,193,1,True
437,-58.0,58,0,True
438,-121.0,121,0,True
439,-109.0,109,0,True
440,-2086.0,700,14,False
441,-102.0,102,0,True
442,-91.0,91,0,True
443,-129.0,129,0,True
444,-631.0,235,4,True
445,-111.0,111,0,True
446,-411.0,213,2,True
447,-93.0,93,0,True
448,-1880.0,593,13,True
449,-235.0,136,1,True
450,-463.0,166,3,True
451,-76.0,76,0,True
452,-1832.0,545,13,True
453,-113.0,113,0,True
454,-94.0,94,0,True
455,-360.0,162,2,True
456,-130.0,130,0,True
457,-89.0,89,0,True
458,-70.0,70,0,True
459,-88.0,88,0,True
460,-88.0,88,0,True
461,-116.0,116,0,True
462,-85.0,85,0,True
463,-78.0,78,0,True
464,-141.0,141,0,True
465,-56.0,56,0,True
466,-102.0,102,0,True
467,-118.0,118,0,True
468,-149.0,149,0,True
469,-151.0,151,0,True
470,-140.0,140,0,True
471,-1146.0,354,8,True
472,-144.0,144,0,True
473,-1997.0,611,14,True
474,-1305.0,414,9,True
475,-90.0,90,0,True
476,-143.0,143,0,True
477,-126.0,126,0,True
478,-237.0,138,1,True
479,-174.0,174,0,True
480,-949.0,256,7,True
481,-67.0,67,0,True
482,-390.0,192,2,True
483,-374.0,176,2,True
484,-1888.0,700,12,False
485,-129.0,129,0,True
486,-61.0,61,0,True
487,-79.0,79,0,True
488,-118.0,118,0,True
489,-131.0,131,0,True
490,-1739.0,650,11,True
491,-68.0,68,0,True
492,-118.0,118,0,True
493,-145.0,145,0,True
494,-2372.0,689,17,True
495,-84.0,84,0,True
496,-340.0,142,2,True
497,-51.0,51,0,True
498,-567.0,171,4,True
499,-587.0,191,4,True
500,-109.0,109,0,True
501,-398.0,200,2,True
502,-123.0,123,0,True
503,-110.0,110,0,True
504,-83.0,83,0,True
505,-125.0,125,0,True
506,-76.0,76,0,True
507,-106.0,106,0,True
508,-177.0,177,0,True
509,-1018.0,226,8,True
510,-101.0,101,0,True
511,-1574.0,584,10,True
512,-386.0,188,2,True
513,-83.0,83,0,True
514,-67.0,67,0,True
515,-55.0,55,0,True
516,-97.0,97,0,True
517,-574.0,178,4,True
518,-66.0,66,0,True
519,-1888.0,700,12,False
520,-139.0,139,0,True
521,-325.0,127,2,True
522,-117.0,117,0,True
523,-79.0,79,0,True
524,-107.0,107,0,True
525,-142.0,142,0,True
526,-96.0,96,0,True
527,-141.0,141,0,True
528,-1984.0,598,14,True
529,-120.0,120,0,True
530,-51.0,51,0,True
531,-1657.0,568,11,True
532,-80.0,80,0,True
533,-95.0,95,0,True
534,-391.0,193,2,True
535,-113.0,113,0,True
536,-1789.0,700,11,False
537,-121.0,121,0,True
538,-1407.0,417,10,True
539,-1569.0,579,10,True
540,-50.0,50,0,True
541,-1754.0,665,11,True
542,-376.0,178,2,True
543,-1613.0,524,11,True
544,-163.0,163,0,True
545,-1104.0,411,7,True
546,-726.0,231,5,True
547,-101.0,101,0,True
548,-134.0,134,0,True
549,-1875.0,588,13,True
550,-101.0,101,0,True
551,-123.0,123,0,True
552,-336.0,138,2,True
553,-84.0,84,0,True
554,-364.0,166,2,True
555,-529.0,232,3,True
556,-101.0,101,0,True
557,-113.0,113,0,True
558,-88.0,88,0,True
559,-104.0,104,0,True
560,-2185.0,700,15,False
561,-373.0,175,2,True
562,-117.0,117,0,True
563,-2284.0,700,16,False
564,-87.0,87,0,True
565,-1885.0,499,14,True
566,-99.0,99,0,True
567,-80.0,80,0,True
568,-1415.0,524,9,True
569,-70.0,70,0,True
570,-112.0,112,0,True
571,-104.0,104,0,True
572,-93.0,93,0,True
573,-1888.0,700,12,False
574,-57.0,57,0,True
575,-346.0,148,2,True
576,-202.0,103,1,True
577,-137.0,137,0,True
578,-184.0,85,1,True
579,-92.0,92,0,True
580,-89.0,89,0,True
581,-46.0,46,0,True
582,-490.0,193,3,True
583,-757.0,262,5,True
584,-93.0,93,0,True
585,-88.0,88,0,True
586,-54.0,54,0,True
587,-94.0,94,0,True
588,-46.0,46,0,True
589,-351.0,153,2,True
590,-121.0,121,0,True
591,-85.0,85,0,True
592,-101.0,101,0,True
593,-60.0,60,0,True
594,-134.0,134,0,True
