Episode,Total Reward,Steps,Falls
0,-70.0,70,0,True
1,-109.0,110,0,True
2,-95.0,95,0,True
3,-213.0,221,0,True
4,-32.0,32,0,True
5,-131.0,131,0,True
6,-64.0,67,0,True
7,-126.0,126,0,True
8,-49.0,50,0,True
9,-95.0,95,0,True
10,-96.0,96,0,True
11,-135.0,137,0,True
12,-97.0,97,0,True
13,-89.0,89,0,True
14,-91.0,97,0,True
15,-125.0,126,0,True
16,-57.0,58,0,True
17,-49.0,51,0,True
18,-294.0,314,0,True
19,-118.0,120,0,True
20,-345.0,374,0,True
21,-101.0,101,0,True
22,-115.0,118,0,True
23,-78.0,81,0,True
24,-53.0,55,0,True
25,-97.0,97,0,True
26,-65.0,66,0,True
27,-65.0,72,0,True
28,-142.0,155,0,True
29,-442.0,481,0,True
30,-92.0,92,0,True
31,-92.0,93,0,True
32,-102.0,102,0,True
33,-85.0,86,0,True
34,-116.0,118,0,True
35,-118.0,120,0,True
36,-118.0,126,0,True
37,-132.0,134,0,True
38,-655.0,700,0,False
39,-68.0,69,0,True
40,-146.0,146,0,True
41,-244.0,255,0,True
42,-48.0,49,0,True
43,-89.0,89,0,True
44,-70.0,72,0,True
45,-653.0,700,0,False
46,-357.0,373,0,True
47,-653.0,700,0,False
48,-45.0,46,0,True
49,-504.0,539,0,True
50,-111.0,111,0,True
51,-43.0,44,0,True
52,-128.0,129,0,True
53,-108.0,108,0,True
54,-57.0,59,0,True
55,-124.0,125,0,True
56,-481.0,519,0,True
57,-131.0,131,0,True
58,-140.0,140,0,True
59,-83.0,86,0,True
60,-147.0,149,0,True
61,-66.0,68,0,True
62,-73.0,73,0,True
63,-92.0,93,0,True
64,-125.0,130,0,True
65,-142.0,143,0,True
66,-74.0,76,0,True
67,-97.0,99,0,True
68,-152.0,154,0,True
69,-119.0,122,0,True
70,-114.0,115,0,True
71,-88.0,94,0,True
72,-93.0,93,0,True
73,-635.0,674,0,True
74,-103.0,106,0,True
75,-65.0,66,0,True
76,-89.0,90,0,True
77,-87.0,90,0,True
78,-407.0,454,0,True
79,-129.0,134,0,True
80,-202.0,215,0,True
81,-102.0,102,0,True
82,-96.0,96,0,True
83,-39.0,40,0,True
84,-85.0,90,0,True
85,-55.0,56,0,True
86,-429.0,455,0,True
87,-112.0,113,0,True
88,-58.0,59,0,True
89,-53.0,54,0,True
90,-75.0,75,0,True
91,-120.0,120,0,True
92,-79.0,82,0,True
93,-87.0,94,0,True
94,-108.0,110,0,True
95,-86.0,91,0,True
96,-42.0,43,0,True
97,-107.0,109,0,True
98,-93.0,94,0,True
99,-62.0,63,0,True
100,-129.0,132,0,True
101,-67.0,76,0,True
102,-77.0,80,0,True
103,-118.0,118,0,True
104,-152.0,157,0,True
105,-67.0,72,0,True
106,-77.0,78,0,True
107,-85.0,87,0,True
108,-163.0,166,0,True
109,-86.0,92,0,True
110,-110.0,111,0,True
111,-80.0,82,0,True
112,-56.0,58,0,True
113,-67.0,67,0,True
114,-244.0,257,0,True
115,-57.0,59,0,True
116,-642.0,700,0,False
117,-88.0,89,0,True
118,-118.0,118,0,True
119,-43.0,44,0,True
120,-69.0,72,0,True
121,-98.0,101,0,True
122,-60.0,60,0,True
123,-172.0,172,0,True
124,-52.0,53,0,True
125,-447.0,481,0,True
126,-110.0,111,0,True
127,-66.0,67,0,True
128,-68.0,70,0,True
129,-102.0,102,0,True
130,-67.0,68,0,True
131,-91.0,92,0,True
132,-67.0,68,0,True
133,-52.0,54,0,True
134,-57.0,57,0,True
135,-135.0,140,0,True
136,-88.0,88,0,True
137,-106.0,107,0,True
138,-156.0,169,0,True
139,-662.0,700,0,False
140,-116.0,119,0,True
141,-69.0,69,0,True
142,-73.0,73,0,True
143,-87.0,88,0,True
144,-94.0,96,0,True
145,-315.0,343,0,True
146,-81.0,82,0,True
147,-97.0,97,0,True
148,-44.0,45,0,True
149,-161.0,166,0,True
150,-77.0,77,0,True
151,-91.0,92,0,True
152,-71.0,75,0,True
153,-54.0,55,0,True
154,-44.0,45,0,True
155,-49.0,50,0,True
156,-106.0,106,0,True
157,-105.0,109,0,True
158,-72.0,74,0,True
159,-85.0,88,0,True
160,-86.0,87,0,True
161,-169.0,175,0,True
162,-627.0,667,0,True
163,-63.0,63,0,True
164,-41.0,42,0,True
165,-249.0,269,0,True
166,-74.0,77,0,True
167,-48.0,54,0,True
168,-159.0,164,0,True
169,-74.0,74,0,True
170,-393.0,420,0,True
171,-601.0,642,0,True
172,-654.0,698,0,True
173,-86.0,87,0,True
174,-56.0,56,0,True
175,-201.0,224,0,True
176,-528.0,570,0,True
177,-92.0,101,0,True
178,-60.0,62,0,True
179,-129.0,130,0,True
180,-663.0,700,0,False
181,-325.0,348,0,True
182,-79.0,81,0,True
183,-79.0,86,0,True
184,-170.0,183,0,True
185,-199.0,207,0,True
186,-89.0,89,0,True
187,-100.0,101,0,True
188,-105.0,107,0,True
189,-102.0,103,0,True
190,-115.0,116,0,True
191,-76.0,77,0,True
192,-651.0,700,0,False
193,-132.0,137,0,True
194,-643.0,700,0,False
195,-75.0,80,0,True
196,-142.0,143,0,True
197,-158.0,171,0,True
198,-521.0,551,0,True
199,-153.0,153,0,True
200,-179.0,193,0,True
201,-127.0,127,0,True
202,-662.0,700,0,False
203,-661.0,700,0,False
204,-81.0,82,0,True
205,-81.0,83,0,True
206,-68.0,69,0,True
207,-209.0,221,0,True
208,-70.0,72,0,True
209,-75.0,76,0,True
210,-101.0,101,0,True
211,-130.0,130,0,True
212,-89.0,92,0,True
213,-123.0,125,0,True
214,-121.0,121,0,True
215,-94.0,94,0,True
216,-189.0,205,0,True
217,-94.0,94,0,True
218,-90.0,90,0,True
219,-649.0,700,0,False
220,-117.0,121,0,True
221,-71.0,76,0,True
222,-76.0,77,0,True
223,-170.0,178,0,True
224,-50.0,51,0,True
225,-153.0,162,0,True
226,-97.0,97,0,True
227,-654.0,700,0,False
228,-90.0,94,0,True
229,-90.0,91,0,True
230,-120.0,120,0,True
231,-179.0,194,0,True
232,-61.0,61,0,True
233,-645.0,700,0,False
234,-215.0,232,0,True
235,-84.0,84,0,True
236,-172.0,182,0,True
237,-139.0,139,0,True
238,-103.0,104,0,True
239,-48.0,49,0,True
240,-65.0,66,0,True
241,-83.0,85,0,True
242,-95.0,95,0,True
243,-115.0,117,0,True
244,-102.0,103,0,True
245,-61.0,62,0,True
246,-95.0,95,0,True
247,-577.0,600,0,True
248,-119.0,119,0,True
249,-660.0,700,0,False
250,-51.0,52,0,True
251,-77.0,77,0,True
252,-95.0,95,0,True
253,-46.0,46,0,True
254,-113.0,114,0,True
255,-140.0,147,0,True
256,-84.0,84,0,True
257,-62.0,63,0,True
258,-83.0,85,0,True
259,-93.0,94,0,True
260,-54.0,55,0,True
261,-79.0,81,0,True
262,-123.0,126,0,True
263,-74.0,74,0,True
264,-99.0,99,0,True
265,-79.0,83,0,True
266,-63.0,63,0,True
267,-100.0,101,0,True
268,-637.0,700,0,False
269,-80.0,80,0,True
270,-588.0,626,0,True
271,-61.0,66,0,True
272,-105.0,105,0,True
