Episode,Total Reward,Steps,Falls,Rollbacks
0,-1030.0,337,7,0,True
1,-75.0,75,0,0,True
2,-93.0,93,0,0,True
3,-191.0,92,1,0,True
4,-80.0,80,0,0,True
5,-105.0,105,0,0,True
6,-669.0,273,4,0,True
7,-71.0,71,0,0,True
8,-113.0,113,0,0,True
9,-101.0,101,0,0,True
10,-485.0,188,3,0,True
11,-124.0,124,0,0,True
12,-144.0,144,0,0,True
13,-936.0,342,6,0,True
14,-141.0,141,0,0,True
15,-173.0,173,0,0,True
16,-95.0,95,0,0,True
17,-64.0,64,0,0,True
18,-380.0,182,2,0,True
19,-139.0,139,0,0,True
20,-80.0,80,0,0,True
21,-86.0,86,0,0,True
22,-126.0,126,0,0,True
23,-102.0,102,0,0,True
24,-99.0,99,0,0,True
25,-286.0,187,1,0,True
26,-166.0,166,0,0,True
27,-84.0,84,0,0,True
28,-736.0,241,5,0,True
29,-109.0,109,0,0,True
30,-127.0,127,0,0,True
31,-66.0,66,0,0,True
32,-2383.0,700,17,0,False
33,-105.0,105,0,0,True
34,-83.0,83,0,0,True
35,-2284.0,700,16,0,False
36,-1556.0,566,10,0,True
37,-112.0,112,0,0,True
38,-127.0,127,0,0,True
39,-67.0,67,0,0,True
40,-141.0,141,0,0,True
41,-183.0,84,1,0,True
42,-1690.0,700,10,0,True
43,-164.0,164,0,0,True
44,-66.0,66,0,0,True
45,-1504.0,514,10,0,True
46,-2185.0,700,15,0,False
47,-120.0,120,0,0,True
48,-143.0,143,0,0,True
49,-1987.0,700,13,0,False
50,-625.0,229,4,0,True
51,-73.0,73,0,0,True
52,-71.0,71,0,0,True
53,-98.0,98,0,0,True
54,-157.0,157,0,0,True
55,-125.0,125,0,0,True
56,-371.0,173,2,0,True
57,-104.0,104,0,0,True
58,-336.0,138,2,0,True
59,-142.0,142,0,0,True
60,-123.0,123,0,0,True
61,-83.0,83,0,0,True
62,-95.0,95,0,0,True
63,-120.0,120,0,0,True
64,-401.0,203,2,0,True
65,-153.0,153,0,0,True
66,-124.0,124,0,0,True
67,-95.0,95,0,0,True
68,-1619.0,629,10,0,True
69,-125.0,125,0,0,True
70,-170.0,170,0,0,True
71,-56.0,56,0,0,True
72,-2185.0,700,15,0,False
73,-131.0,131,0,0,True
74,-99.0,99,0,0,True
75,-1286.0,395,9,0,True
76,-167.0,167,0,0,True
77,-85.0,85,0,0,True
78,-162.0,162,0,0,True
79,-137.0,137,0,0,True
80,-106.0,106,0,0,True
81,-1808.0,521,13,0,True
82,-85.0,85,0,0,True
83,-166.0,166,0,0,True
84,-1960.0,673,13,0,True
85,-101.0,101,0,0,True
86,-148.0,148,0,0,True
87,-111.0,111,0,0,True
88,-149.0,149,0,0,True
89,-121.0,121,0,0,True
90,-145.0,145,0,0,True
91,-167.0,167,0,0,True
92,-136.0,136,0,0,True
93,-100.0,100,0,0,True
94,-1987.0,700,13,0,False
