Episode,Total Reward,Steps,Falls,Rollbacks
0,-73.0,73,0,0,True
1,-55.0,55,0,0,True
2,-74.0,74,0,0,True
3,-89.0,89,0,0,True
4,-101.0,101,0,0,True
5,-116.0,117,0,1,True
6,-126.0,126,0,0,True
7,-284.0,291,0,7,True
8,-127.0,128,0,1,True
9,-130.0,130,0,0,True
10,-215.0,221,0,6,True
11,-682.0,700,0,18,False
12,-102.0,102,0,0,True
13,-82.0,82,0,0,True
14,-159.0,161,0,2,True
15,-146.0,148,0,2,True
16,-111.0,111,0,0,True
17,-109.0,109,0,0,True
18,-121.0,121,0,0,True
19,-79.0,79,0,0,True
20,-235.0,239,0,4,True
21,-158.0,158,0,0,True
22,-143.0,144,0,1,True
23,-272.0,280,0,8,True
24,-113.0,113,0,0,True
25,-138.0,138,0,0,True
26,-102.0,102,0,0,True
27,-498.0,509,0,11,True
28,-136.0,137,0,1,True
29,-178.0,181,0,3,True
30,-679.0,700,0,21,False
31,-455.0,465,0,10,True
32,-106.0,106,0,0,True
33,-71.0,71,0,0,True
34,-114.0,115,0,1,True
35,-91.0,91,0,0,True
36,-79.0,79,0,0,True
37,-106.0,107,0,1,True
38,-89.0,89,0,0,True
39,-145.0,147,0,2,True
40,-179.0,183,0,4,True
41,-60.0,60,0,0,True
42,-69.0,69,0,0,True
43,-104.0,104,0,0,True
44,-64.0,64,0,0,True
45,-166.0,166,0,0,True
46,-150.0,150,0,0,True
47,-143.0,143,0,0,True
48,-523.0,538,0,15,True
49,-41.0,41,0,0,True
50,-141.0,141,0,0,True
51,-348.0,356,0,8,True
52,-198.0,201,0,3,True
53,-104.0,104,0,0,True
54,-127.0,127,0,0,True
55,-133.0,136,0,3,True
56,-134.0,134,0,0,True
57,-102.0,102,0,0,True
58,-120.0,120,0,0,True
59,-679.0,700,0,21,False
60,-112.0,113,0,1,True
61,-97.0,97,0,0,True
62,-105.0,105,0,0,True
63,-107.0,107,0,0,True
64,-164.0,164,0,0,True
65,-214.0,218,0,4,True
66,-514.0,532,0,18,True
67,-86.0,86,0,0,True
68,-204.0,208,0,4,True
69,-141.0,141,0,0,True
70,-534.0,546,0,12,True
71,-184.0,184,0,0,True
72,-123.0,123,0,0,True
73,-198.0,201,0,3,True
74,-420.0,429,0,9,True
75,-79.0,79,0,0,True
76,-142.0,142,0,0,True
77,-50.0,50,0,0,True
78,-73.0,73,0,0,True
79,-137.0,137,0,0,True
80,-152.0,152,0,0,True
81,-74.0,74,0,0,True
82,-198.0,198,0,0,True
83,-95.0,95,0,0,True
84,-46.0,46,0,0,True
85,-114.0,114,0,0,True
86,-113.0,113,0,0,True
87,-343.0,353,0,10,True
88,-130.0,131,0,1,True
89,-79.0,79,0,0,True
90,-360.0,368,0,8,True
91,-113.0,113,0,0,True
92,-79.0,79,0,0,True
93,-134.0,134,0,0,True
94,-147.0,147,0,0,True
95,-113.0,113,0,0,True
96,-100.0,101,0,1,True
97,-222.0,226,0,4,True
98,-227.0,232,0,5,True
99,-480.0,492,0,12,True
100,-138.0,138,0,0,True
101,-76.0,76,0,0,True
102,-96.0,96,0,0,True
103,-123.0,123,0,0,True
104,-111.0,111,0,0,True
105,-122.0,123,0,1,True
106,-681.0,696,0,15,True
107,-142.0,142,0,0,True
108,-107.0,107,0,0,True
109,-75.0,75,0,0,True
110,-207.0,213,0,6,True
111,-138.0,141,0,3,True
112,-110.0,110,0,0,True
113,-1176.0,700,5,19,False
114,-335.0,346,0,11,True
115,-130.0,130,0,0,True
116,-678.0,700,0,22,False
117,-681.0,700,0,19,False
118,-72.0,72,0,0,True
119,-183.0,188,0,5,True
120,-127.0,127,0,0,True
121,-480.0,493,0,13,True
122,-487.0,503,0,16,True
123,-109.0,109,0,0,True
124,-200.0,202,0,2,True
125,-67.0,67,0,0,True
126,-90.0,90,0,0,True
127,-154.0,156,0,2,True
128,-680.0,700,0,20,False
129,-102.0,102,0,0,True
130,-128.0,128,0,0,True
131,-119.0,119,0,0,True
132,-251.0,256,0,5,True
133,-151.0,151,0,0,True
134,-684.0,700,0,16,False
135,-685.0,700,0,15,False
136,-75.0,75,0,0,True
137,-127.0,127,0,0,True
138,-60.0,60,0,0,True
139,-131.0,132,0,1,True
140,-167.0,167,0,0,True
141,-105.0,105,0,0,True
142,-136.0,136,0,0,True
143,-114.0,114,0,0,True
144,-88.0,88,0,0,True
145,-103.0,103,0,0,True
146,-683.0,700,0,17,False
147,-128.0,130,0,2,True
148,-99.0,99,0,0,True
149,-658.0,672,0,14,True
150,-186.0,188,0,2,True
151,-97.0,97,0,0,True
152,-73.0,73,0,0,True
153,-168.0,172,0,4,True
154,-202.0,204,0,2,True
155,-79.0,79,0,0,True
156,-194.0,197,0,3,True
157,-157.0,157,0,0,True
158,-124.0,124,0,0,True
159,-92.0,92,0,0,True
160,-131.0,131,0,0,True
161,-121.0,121,0,0,True
162,-127.0,128,0,1,True
163,-130.0,130,0,0,True
164,-95.0,95,0,0,True
165,-646.0,660,0,14,True
166,-685.0,700,0,15,False
167,-353.0,361,0,8,True
168,-43.0,43,0,0,True
169,-134.0,134,0,0,True
170,-267.0,274,0,7,True
171,-682.0,700,0,18,False
172,-248.0,254,0,6,True
173,-506.0,521,0,15,True
174,-140.0,140,0,0,True
175,-98.0,98,0,0,True
176,-100.0,101,0,1,True
177,-112.0,112,0,0,True
178,-132.0,132,0,0,True
179,-111.0,111,0,0,True
180,-173.0,175,0,2,True
181,-119.0,119,0,0,True
182,-590.0,605,0,15,True
183,-97.0,97,0,0,True
184,-92.0,92,0,0,True
185,-129.0,130,0,1,True
186,-127.0,127,0,0,True
187,-107.0,107,0,0,True
188,-69.0,69,0,0,True
189,-166.0,166,0,0,True
190,-240.0,247,0,7,True
191,-83.0,83,0,0,True
192,-120.0,120,0,0,True
193,-104.0,104,0,0,True
194,-96.0,96,0,0,True
195,-72.0,72,0,0,True
196,-92.0,92,0,0,True
197,-147.0,147,0,0,True
198,-597.0,611,0,14,True
199,-96.0,96,0,0,True
200,-69.0,69,0,0,True
201,-142.0,142,0,0,True
202,-135.0,135,0,0,True
203,-182.0,186,0,4,True
204,-496.0,507,0,11,True
205,-201.0,203,0,2,True
206,-95.0,95,0,0,True
207,-50.0,50,0,0,True
208,-100.0,100,0,0,True
209,-94.0,96,0,2,True
210,-149.0,149,0,0,True
211,-71.0,71,0,0,True
212,-133.0,134,0,1,True
213,-136.0,137,0,1,True
214,-124.0,126,0,2,True
215,-78.0,78,0,0,True
216,-94.0,94,0,0,True
217,-167.0,170,0,3,True
218,-96.0,96,0,0,True
219,-97.0,97,0,0,True
220,-134.0,134,0,0,True
221,-134.0,134,0,0,True
222,-88.0,88,0,0,True
223,-131.0,131,0,0,True
224,-580.0,591,0,11,True
225,-91.0,91,0,0,True
226,-147.0,147,0,0,True
227,-116.0,116,0,0,True
228,-91.0,91,0,0,True
229,-118.0,118,0,0,True
230,-125.0,125,0,0,True
231,-65.0,66,0,1,True
232,-120.0,120,0,0,True
233,-95.0,95,0,0,True
234,-60.0,60,0,0,True
235,-418.0,428,0,10,True
236,-47.0,47,0,0,True
237,-684.0,700,0,16,False
238,-144.0,144,0,0,True
239,-137.0,137,0,0,True
240,-168.0,173,0,5,True
241,-123.0,123,0,0,True
242,-115.0,115,0,0,True
243,-108.0,108,0,0,True
244,-92.0,92,0,0,True
245,-156.0,156,0,0,True
246,-77.0,77,0,0,True
247,-94.0,94,0,0,True
248,-154.0,157,0,3,True
249,-107.0,107,0,0,True
250,-98.0,99,0,1,True
251,-105.0,105,0,0,True
252,-114.0,114,0,0,True
253,-643.0,660,0,17,True
254,-507.0,519,0,12,True
255,-67.0,67,0,0,True
256,-64.0,64,0,0,True
257,-133.0,133,0,0,True
258,-485.0,498,0,13,True
259,-180.0,183,0,3,True
260,-224.0,229,0,5,True
261,-685.0,700,0,15,False
262,-111.0,111,0,0,True
263,-349.0,358,0,9,True
264,-127.0,128,0,1,True
265,-60.0,60,0,0,True
266,-92.0,92,0,0,True
267,-199.0,201,0,2,True
268,-112.0,112,0,0,True
269,-139.0,139,0,0,True
270,-85.0,85,0,0,True
271,-201.0,206,0,5,True
272,-120.0,120,0,0,True
273,-162.0,166,0,4,True
274,-95.0,95,0,0,True
275,-118.0,119,0,1,True
276,-93.0,93,0,0,True
277,-84.0,84,0,0,True
278,-125.0,126,0,1,True
279,-106.0,106,0,0,True
280,-104.0,104,0,0,True
281,-652.0,669,0,17,True
282,-98.0,99,0,1,True
283,-111.0,111,0,0,True
284,-168.0,173,0,5,True
285,-115.0,115,0,0,True
286,-199.0,202,0,3,True
287,-78.0,78,0,0,True
288,-115.0,115,0,0,True
289,-152.0,153,0,1,True
290,-99.0,100,0,1,True
291,-110.0,110,0,0,True
292,-70.0,70,0,0,True
293,-113.0,113,0,0,True
294,-277.0,287,0,10,True
295,-139.0,140,0,1,True
296,-83.0,83,0,0,True
297,-75.0,75,0,0,True
298,-181.0,184,0,3,True
299,-146.0,148,0,2,True
300,-251.0,256,0,5,True
301,-142.0,142,0,0,True
302,-69.0,69,0,0,True
303,-75.0,75,0,0,True
304,-143.0,143,0,0,True
305,-68.0,68,0,0,True
306,-51.0,51,0,0,True
307,-591.0,609,0,18,True
308,-511.0,522,0,11,True
309,-109.0,109,0,0,True
310,-416.0,428,0,12,True
311,-159.0,159,0,0,True
312,-214.0,216,0,2,True
313,-114.0,114,0,0,True
314,-156.0,158,0,2,True
315,-130.0,130,0,0,True
