Episode,Total Reward,Steps,Falls
0,-122.0,122,0,True
1,-119.0,119,0,True
2,-125.0,126,0,True
3,-92.0,92,0,True
4,-91.0,91,0,True
5,-56.0,56,0,True
6,-119.0,119,0,True
7,-82.0,82,0,True
8,-179.0,182,0,True
9,-155.0,155,0,True
10,-76.0,76,0,True
11,-103.0,103,0,True
12,-88.0,88,0,True
13,-139.0,139,0,True
14,-49.0,49,0,True
15,-173.0,173,0,True
16,-118.0,120,0,True
17,-144.0,144,0,True
18,-154.0,156,0,True
19,-237.0,245,0,True
20,-68.0,68,0,True
21,-143.0,146,0,True
22,-59.0,59,0,True
23,-121.0,123,0,True
24,-131.0,131,0,True
25,-174.0,174,0,True
26,-95.0,95,0,True
27,-680.0,700,0,False
28,-111.0,112,0,True
29,-136.0,136,0,True
30,-149.0,149,0,True
31,-275.0,282,0,True
32,-104.0,104,0,True
33,-185.0,185,0,True
34,-51.0,51,0,True
35,-108.0,108,0,True
36,-146.0,146,0,True
37,-103.0,103,0,True
38,-115.0,115,0,True
39,-102.0,102,0,True
40,-679.0,700,0,False
41,-113.0,113,0,True
42,-98.0,98,0,True
43,-428.0,436,0,True
44,-91.0,91,0,True
45,-160.0,160,0,True
46,-59.0,59,0,True
47,-71.0,71,0,True
48,-93.0,93,0,True
49,-341.0,350,0,True
50,-114.0,114,0,True
51,-195.0,198,0,True
52,-80.0,80,0,True
53,-178.0,178,0,True
54,-130.0,130,0,True
55,-97.0,97,0,True
56,-114.0,114,0,True
57,-417.0,427,0,True
58,-124.0,124,0,True
59,-84.0,84,0,True
60,-86.0,86,0,True
61,-141.0,141,0,True
62,-552.0,568,0,True
63,-681.0,700,0,False
64,-157.0,158,0,True
65,-65.0,65,0,True
66,-111.0,111,0,True
67,-199.0,203,0,True
68,-680.0,700,0,False
69,-121.0,121,0,True
70,-143.0,144,0,True
71,-89.0,89,0,True
72,-169.0,169,0,True
73,-146.0,146,0,True
74,-115.0,115,0,True
75,-98.0,98,0,True
76,-94.0,94,0,True
77,-687.0,700,0,False
78,-146.0,146,0,True
79,-177.0,181,0,True
80,-125.0,126,0,True
81,-123.0,123,0,True
82,-136.0,136,0,True
83,-186.0,186,0,True
84,-35.0,35,0,True
85,-78.0,78,0,True
86,-465.0,476,0,True
87,-181.0,187,0,True
88,-442.0,453,0,True
89,-65.0,65,0,True
90,-132.0,132,0,True
91,-131.0,131,0,True
92,-87.0,87,0,True
93,-162.0,163,0,True
94,-185.0,188,0,True
95,-206.0,209,0,True
96,-53.0,53,0,True
97,-86.0,86,0,True
98,-202.0,205,0,True
99,-228.0,232,0,True
100,-110.0,110,0,True
101,-141.0,141,0,True
102,-665.0,681,0,True
103,-662.0,675,0,True
104,-83.0,83,0,True
105,-142.0,145,0,True
106,-178.0,180,0,True
107,-62.0,62,0,True
108,-213.0,216,0,True
109,-65.0,65,0,True
110,-110.0,110,0,True
111,-779.0,700,1,False
112,-138.0,138,0,True
113,-658.0,675,0,True
114,-67.0,67,0,True
115,-129.0,130,0,True
116,-215.0,217,0,True
117,-190.0,192,0,True
118,-108.0,108,0,True
119,-51.0,51,0,True
120,-72.0,72,0,True
121,-123.0,123,0,True
122,-162.0,164,0,True
123,-100.0,100,0,True
124,-82.0,82,0,True
125,-680.0,700,0,False
126,-107.0,107,0,True
127,-171.0,171,0,True
128,-252.0,258,0,True
129,-107.0,107,0,True
130,-507.0,521,0,True
131,-115.0,115,0,True
132,-119.0,119,0,True
133,-684.0,700,0,False
134,-110.0,110,0,True
135,-95.0,95,0,True
136,-39.0,39,0,True
137,-150.0,152,0,True
138,-680.0,700,0,False
139,-172.0,176,0,True
140,-102.0,103,0,True
141,-139.0,139,0,True
142,-140.0,140,0,True
143,-84.0,84,0,True
144,-88.0,88,0,True
145,-686.0,700,0,False
146,-119.0,120,0,True
147,-75.0,75,0,True
148,-59.0,59,0,True
149,-67.0,67,0,True
150,-195.0,201,0,True
151,-543.0,557,0,True
152,-65.0,65,0,True
153,-112.0,112,0,True
154,-78.0,78,0,True
155,-90.0,90,0,True
156,-99.0,99,0,True
157,-145.0,145,0,True
158,-63.0,63,0,True
159,-72.0,72,0,True
160,-74.0,74,0,True
161,-226.0,230,0,True
162,-120.0,120,0,True
163,-121.0,122,0,True
164,-73.0,73,0,True
165,-132.0,132,0,True
166,-166.0,169,0,True
167,-141.0,144,0,True
168,-175.0,177,0,True
169,-90.0,91,0,True
170,-261.0,268,0,True
171,-305.0,311,0,True
172,-163.0,165,0,True
173,-157.0,157,0,True
174,-91.0,91,0,True
175,-73.0,73,0,True
176,-96.0,96,0,True
177,-255.0,262,0,True
178,-200.0,203,0,True
179,-207.0,209,0,True
180,-476.0,488,0,True
181,-594.0,605,0,True
182,-140.0,140,0,True
183,-65.0,65,0,True
184,-686.0,700,0,False
185,-193.0,198,0,True
186,-63.0,63,0,True
187,-102.0,102,0,True
188,-176.0,180,0,True
189,-98.0,98,0,True
190,-131.0,131,0,True
191,-114.0,117,0,True
192,-93.0,93,0,True
193,-90.0,90,0,True
194,-77.0,77,0,True
195,-85.0,85,0,True
196,-323.0,334,0,True
197,-120.0,120,0,True
198,-102.0,102,0,True
199,-144.0,144,0,True
200,-77.0,77,0,True
201,-168.0,168,0,True
202,-46.0,46,0,True
203,-175.0,178,0,True
204,-106.0,106,0,True
205,-101.0,101,0,True
206,-62.0,62,0,True
207,-47.0,47,0,True
208,-138.0,138,0,True
209,-146.0,148,0,True
210,-57.0,57,0,True
211,-79.0,80,0,True
212,-681.0,700,0,False
213,-56.0,56,0,True
214,-95.0,95,0,True
215,-116.0,116,0,True
216,-53.0,53,0,True
217,-101.0,101,0,True
218,-84.0,84,0,True
219,-140.0,140,0,True
220,-682.0,700,0,False
221,-235.0,239,0,True
222,-243.0,250,0,True
223,-170.0,174,0,True
224,-84.0,84,0,True
225,-85.0,85,0,True
226,-139.0,144,0,True
227,-102.0,102,0,True
228,-135.0,136,0,True
229,-134.0,134,0,True
230,-87.0,87,0,True
231,-115.0,115,0,True
232,-684.0,700,0,False
233,-39.0,39,0,True
234,-186.0,189,0,True
235,-538.0,553,0,True
236,-90.0,90,0,True
237,-266.0,272,0,True
238,-119.0,119,0,True
239,-114.0,114,0,True
240,-123.0,123,0,True
241,-107.0,107,0,True
242,-123.0,123,0,True
243,-182.0,184,0,True
244,-117.0,117,0,True
245,-263.0,271,0,True
246,-122.0,123,0,True
247,-110.0,110,0,True
248,-165.0,169,0,True
249,-84.0,85,0,True
250,-127.0,127,0,True
251,-85.0,85,0,True
252,-66.0,66,0,True
253,-111.0,111,0,True
254,-155.0,159,0,True
255,-136.0,136,0,True
256,-110.0,110,0,True
257,-156.0,158,0,True
258,-51.0,51,0,True
259,-157.0,157,0,True
260,-163.0,163,0,True
261,-70.0,70,0,True
262,-84.0,84,0,True
263,-112.0,112,0,True
264,-163.0,163,0,True
265,-69.0,69,0,True
266,-172.0,172,0,True
267,-188.0,188,0,True
268,-130.0,130,0,True
269,-39.0,39,0,True
270,-146.0,146,0,True
271,-87.0,87,0,True
272,-64.0,64,0,True
273,-131.0,131,0,True
274,-68.0,68,0,True
275,-87.0,87,0,True
276,-109.0,109,0,True
277,-220.0,223,0,True
278,-305.0,313,0,True
279,-99.0,99,0,True
280,-93.0,94,0,True
281,-168.0,170,0,True
282,-181.0,182,0,True
283,-127.0,127,0,True
284,-196.0,199,0,True
285,-121.0,121,0,True
286,-89.0,89,0,True
287,-98.0,98,0,True
288,-119.0,120,0,True
289,-117.0,117,0,True
290,-95.0,95,0,True
291,-128.0,130,0,True
292,-91.0,91,0,True
293,-67.0,67,0,True
294,-117.0,117,0,True
295,-74.0,74,0,True
296,-82.0,82,0,True
297,-100.0,101,0,True
298,-180.0,183,0,True
299,-98.0,98,0,True
300,-125.0,125,0,True
301,-102.0,103,0,True
302,-672.0,686,0,True
303,-107.0,107,0,True
304,-94.0,94,0,True
305,-153.0,154,0,True
306,-75.0,75,0,True
307,-65.0,65,0,True
308,-680.0,700,0,False
309,-558.0,571,0,True
310,-128.0,128,0,True
311,-161.0,161,0,True
312,-150.0,154,0,True
313,-155.0,156,0,True
314,-121.0,121,0,True
315,-93.0,93,0,True
316,-65.0,65,0,True
317,-90.0,90,0,True
318,-252.0,257,0,True
319,-106.0,106,0,True
320,-166.0,166,0,True
321,-76.0,76,0,True
322,-684.0,700,0,False
323,-71.0,71,0,True
324,-682.0,700,0,False
325,-63.0,63,0,True
326,-134.0,135,0,True
327,-285.0,291,0,True
328,-89.0,89,0,True
329,-84.0,86,0,True
330,-101.0,101,0,True
331,-680.0,700,0,False
332,-85.0,86,0,True
333,-93.0,93,0,True
334,-66.0,66,0,True
335,-132.0,132,0,True
336,-109.0,109,0,True
337,-219.0,225,0,True
338,-73.0,73,0,True
339,-109.0,109,0,True
340,-131.0,131,0,True
341,-82.0,82,0,True
342,-161.0,163,0,True
343,-176.0,176,0,True
344,-105.0,106,0,True
345,-40.0,40,0,True
346,-122.0,122,0,True
347,-121.0,121,0,True
348,-59.0,59,0,True
349,-458.0,467,0,True
350,-323.0,332,0,True
351,-97.0,97,0,True
352,-291.0,299,0,True
353,-74.0,74,0,True
354,-683.0,700,0,False
355,-112.0,115,0,True
356,-678.0,700,0,False
357,-173.0,173,0,True
358,-127.0,128,0,True
359,-124.0,124,0,True
360,-148.0,149,0,True
361,-146.0,147,0,True
362,-107.0,107,0,True
363,-285.0,295,0,True
364,-43.0,43,0,True
365,-117.0,117,0,True
366,-111.0,111,0,True
367,-98.0,98,0,True
368,-161.0,162,0,True
369,-95.0,95,0,True
370,-65.0,65,0,True
371,-418.0,426,0,True
372,-139.0,141,0,True
373,-152.0,152,0,True
374,-232.0,238,0,True
375,-71.0,71,0,True
376,-93.0,93,0,True
377,-159.0,160,0,True
378,-74.0,74,0,True
379,-600.0,616,0,True
380,-68.0,68,0,True
381,-292.0,298,0,True
382,-126.0,126,0,True
383,-179.0,183,0,True
384,-152.0,152,0,True
385,-171.0,173,0,True
386,-93.0,93,0,True
387,-682.0,700,0,False
388,-205.0,212,0,True
389,-149.0,151,0,True
390,-391.0,401,0,True
391,-393.0,402,0,True
392,-125.0,125,0,True
393,-186.0,191,0,True
394,-481.0,494,0,True
395,-93.0,93,0,True
396,-95.0,95,0,True
397,-68.0,68,0,True
398,-204.0,207,0,True
399,-202.0,205,0,True
400,-114.0,115,0,True
401,-79.0,79,0,True
402,-86.0,86,0,True
403,-61.0,61,0,True
404,-145.0,147,0,True
405,-90.0,90,0,True
406,-134.0,135,0,True
407,-173.0,174,0,True
408,-106.0,106,0,True
409,-108.0,108,0,True
410,-56.0,56,0,True
411,-152.0,154,0,True
412,-162.0,162,0,True
413,-429.0,438,0,True
414,-64.0,64,0,True
415,-170.0,171,0,True
416,-123.0,124,0,True
417,-139.0,142,0,True
418,-85.0,85,0,True
419,-103.0,103,0,True
420,-79.0,80,0,True
421,-56.0,56,0,True
422,-88.0,88,0,True
423,-629.0,645,0,True
424,-133.0,133,0,True
425,-157.0,157,0,True
426,-64.0,64,0,True
427,-68.0,68,0,True
428,-324.0,333,0,True
429,-89.0,89,0,True
430,-96.0,96,0,True
431,-101.0,101,0,True
432,-128.0,129,0,True
433,-73.0,73,0,True
434,-150.0,150,0,True
435,-144.0,144,0,True
436,-114.0,114,0,True
437,-165.0,169,0,True
438,-120.0,121,0,True
439,-82.0,82,0,True
440,-135.0,135,0,True
441,-416.0,429,0,True
442,-111.0,111,0,True
443,-123.0,124,0,True
444,-45.0,46,0,True
445,-91.0,91,0,True
446,-81.0,81,0,True
447,-82.0,82,0,True
448,-98.0,98,0,True
449,-165.0,165,0,True
450,-139.0,139,0,True
451,-168.0,173,0,True
452,-89.0,89,0,True
453,-63.0,63,0,True
454,-112.0,112,0,True
455,-174.0,180,0,True
456,-98.0,98,0,True
457,-113.0,114,0,True
458,-161.0,161,0,True
459,-170.0,174,0,True
460,-315.0,323,0,True
461,-70.0,70,0,True
462,-174.0,174,0,True
463,-672.0,688,0,True
464,-134.0,134,0,True
465,-120.0,120,0,True
466,-128.0,128,0,True
467,-149.0,151,0,True
468,-115.0,116,0,True
469,-106.0,106,0,True
470,-123.0,124,0,True
471,-157.0,161,0,True
472,-145.0,147,0,True
473,-365.0,373,0,True
474,-91.0,91,0,True
475,-523.0,538,0,True
476,-120.0,120,0,True
477,-181.0,184,0,True
478,-182.0,182,0,True
479,-115.0,115,0,True
480,-191.0,193,0,True
481,-153.0,157,0,True
482,-152.0,156,0,True
483,-231.0,237,0,True
484,-87.0,87,0,True
485,-202.0,206,0,True
486,-68.0,68,0,True
487,-681.0,700,0,False
488,-522.0,533,0,True
489,-94.0,94,0,True
490,-171.0,175,0,True
491,-61.0,61,0,True
492,-65.0,65,0,True
493,-126.0,126,0,True
494,-128.0,128,0,True
495,-539.0,551,0,True
496,-101.0,101,0,True
497,-76.0,76,0,True
498,-161.0,163,0,True
499,-146.0,146,0,True
500,-146.0,146,0,True
501,-108.0,108,0,True
502,-207.0,212,0,True
503,-128.0,128,0,True
504,-113.0,113,0,True
505,-124.0,124,0,True
506,-94.0,94,0,True
507,-102.0,102,0,True
508,-249.0,255,0,True
509,-99.0,100,0,True
510,-86.0,86,0,True
511,-59.0,59,0,True
512,-275.0,283,0,True
513,-105.0,105,0,True
514,-592.0,603,0,True
