Episode,Total Reward,Steps,Falls,Rollbacks
0,-47.0,47,0,0,True
1,-153.0,153,0,0,True
2,-618.0,222,4,0,True
3,-1888.0,700,12,0,False
4,-200.0,101,1,0,True
5,-105.0,105,0,0,True
6,-48.0,48,0,0,True
7,-124.0,124,0,0,True
8,-99.0,99,0,0,True
9,-116.0,116,0,0,True
10,-125.0,125,0,0,True
11,-443.0,146,3,0,True
12,-2185.0,700,15,0,False
13,-60.0,60,0,0,True
14,-112.0,112,0,0,True
15,-87.0,87,0,0,True
16,-2284.0,700,16,0,False
17,-142.0,142,0,0,True
18,-339.0,141,2,0,True
19,-77.0,77,0,0,True
20,-2086.0,700,14,0,False
21,-67.0,67,0,0,True
22,-44.0,44,0,0,True
23,-1987.0,700,13,0,False
24,-136.0,136,0,0,True
25,-61.0,61,0,0,True
26,-1178.0,386,8,0,True
27,-102.0,102,0,0,True
28,-1507.0,517,10,0,True
29,-172.0,172,0,0,True
30,-363.0,165,2,0,True
31,-70.0,70,0,0,True
32,-148.0,148,0,0,True
33,-344.0,146,2,0,True
34,-2284.0,700,16,0,False
35,-488.0,191,3,0,True
36,-108.0,108,0,0,True
37,-104.0,104,0,0,True
38,-1002.0,309,7,0,True
39,-68.0,68,0,0,True
40,-128.0,128,0,0,True
41,-637.0,241,4,0,True
42,-119.0,119,0,0,True
43,-349.0,151,2,0,True
44,-172.0,172,0,0,True
45,-85.0,85,0,0,True
46,-118.0,118,0,0,True
47,-2065.0,580,15,0,True
48,-59.0,59,0,0,True
49,-1938.0,651,13,0,True
50,-398.0,200,2,0,True
51,-151.0,151,0,0,True
52,-63.0,63,0,0,True
53,-73.0,73,0,0,True
54,-374.0,176,2,0,True
55,-1789.0,700,11,0,False
56,-165.0,165,0,0,True
57,-156.0,156,0,0,True
58,-1987.0,700,13,0,False
59,-75.0,75,0,0,True
60,-109.0,109,0,0,True
61,-41.0,41,0,0,True
62,-104.0,104,0,0,True
63,-96.0,96,0,0,True
64,-2383.0,700,17,0,False
65,-93.0,93,0,0,True
66,-120.0,120,0,0,True
67,-534.0,138,4,0,True
68,-628.0,232,4,0,True
69,-68.0,68,0,0,True
70,-101.0,101,0,0,True
71,-87.0,87,0,0,True
72,-37.0,37,0,0,True
73,-132.0,132,0,0,True
74,-158.0,158,0,0,True
75,-90.0,90,0,0,True
76,-97.0,97,0,0,True
77,-2482.0,700,18,0,False
78,-92.0,92,0,0,True
79,-87.0,87,0,0,True
80,-85.0,85,0,0,True
81,-376.0,178,2,0,True
82,-111.0,111,0,0,True
83,-113.0,113,0,0,True
84,-86.0,86,0,0,True
85,-116.0,116,0,0,True
86,-463.0,166,3,0,True
87,-215.0,116,1,0,True
88,-1512.0,522,10,0,True
89,-163.0,163,0,0,True
90,-110.0,110,0,0,True
91,-127.0,127,0,0,True
92,-2185.0,700,15,0,False
93,-2185.0,700,15,0,False
94,-96.0,96,0,0,True
95,-1301.0,410,9,0,True
96,-132.0,132,0,0,True
97,-174.0,174,0,0,True
98,-130.0,130,0,0,True
99,-70.0,70,0,0,True
100,-71.0,71,0,0,True
101,-842.0,248,6,0,True
102,-1749.0,561,12,0,True
103,-500.0,203,3,0,True
104,-378.0,180,2,0,True
105,-362.0,164,2,0,True
106,-72.0,72,0,0,True
107,-469.0,172,3,0,True
108,-63.0,63,0,0,True
109,-39.0,39,0,0,True
110,-107.0,107,0,0,True
111,-212.0,113,1,0,True
112,-355.0,157,2,0,True
113,-1716.0,627,11,0,True
114,-129.0,129,0,0,True
115,-93.0,93,0,0,True
116,-120.0,120,0,0,True
117,-156.0,156,0,0,True
118,-1136.0,344,8,0,True
119,-183.0,183,0,0,True
120,-103.0,103,0,0,True
121,-954.0,360,6,0,True
122,-1888.0,700,12,0,False
123,-70.0,70,0,0,True
124,-66.0,66,0,0,True
125,-101.0,101,0,0,True
126,-2779.0,700,21,0,False
127,-108.0,108,0,0,True
128,-127.0,127,0,0,True
129,-136.0,136,0,0,True
130,-173.0,173,0,0,True
131,-54.0,54,0,0,True
132,-402.0,204,2,0,True
133,-94.0,94,0,0,True
134,-595.0,199,4,0,True
135,-381.0,183,2,0,True
136,-1987.0,700,13,0,False
137,-182.0,182,0,0,True
138,-351.0,153,2,0,True
139,-191.0,92,1,0,True
140,-1602.0,612,10,0,True
141,-105.0,105,0,0,True
142,-590.0,194,4,0,True
143,-103.0,103,0,0,True
144,-96.0,96,0,0,True
145,-96.0,96,0,0,True
146,-75.0,75,0,0,True
147,-901.0,307,6,0,True
148,-512.0,215,3,0,True
149,-523.0,226,3,0,True
150,-54.0,54,0,0,True
151,-74.0,74,0,0,True
152,-84.0,84,0,0,True
153,-128.0,128,0,0,True
154,-1789.0,700,11,0,False
155,-132.0,132,0,0,True
156,-119.0,119,0,0,True
157,-118.0,118,0,0,True
158,-92.0,92,0,0,True
159,-85.0,85,0,0,True
160,-207.0,108,1,0,True
161,-57.0,57,0,0,True
162,-141.0,141,0,0,True
163,-119.0,119,0,0,True
164,-109.0,109,0,0,True
165,-193.0,94,1,0,True
166,-98.0,98,0,0,True
167,-190.0,91,1,0,True
168,-98.0,98,0,0,True
169,-140.0,140,0,0,True
170,-462.0,165,3,0,True
171,-110.0,110,0,0,True
172,-403.0,205,2,0,True
173,-107.0,107,0,0,True
174,-2185.0,700,15,0,False
175,-2185.0,700,15,0,False
176,-51.0,51,0,0,True
177,-117.0,117,0,0,True
178,-320.0,122,2,0,True
179,-125.0,125,0,0,True
180,-80.0,80,0,0,True
181,-182.0,182,0,0,True
182,-140.0,140,0,0,True
183,-98.0,98,0,0,True
184,-2284.0,700,16,0,False
185,-361.0,163,2,0,True
186,-96.0,96,0,0,True
187,-72.0,72,0,0,True
188,-335.0,137,2,0,True
189,-113.0,113,0,0,True
190,-1888.0,700,12,0,False
191,-1220.0,428,8,0,True
192,-604.0,208,4,0,True
193,-82.0,82,0,0,True
194,-80.0,80,0,0,True
195,-1488.0,498,10,0,True
196,-106.0,106,0,0,True
197,-122.0,122,0,0,True
198,-1013.0,320,7,0,True
199,-110.0,110,0,0,True
200,-241.0,142,1,0,True
201,-274.0,175,1,0,True
202,-111.0,111,0,0,True
203,-515.0,218,3,0,True
204,-116.0,116,0,0,True
205,-150.0,150,0,0,True
206,-836.0,242,6,0,True
207,-89.0,89,0,0,True
208,-267.0,168,1,0,True
209,-131.0,131,0,0,True
210,-454.0,157,3,0,True
211,-85.0,85,0,0,True
212,-96.0,96,0,0,True
213,-62.0,62,0,0,True
214,-123.0,123,0,0,True
215,-73.0,73,0,0,True
216,-73.0,73,0,0,True
217,-100.0,100,0,0,True
218,-86.0,86,0,0,True
219,-116.0,116,0,0,True
220,-114.0,114,0,0,True
221,-157.0,157,0,0,True
222,-115.0,115,0,0,True
223,-123.0,123,0,0,True
224,-381.0,183,2,0,True
225,-104.0,104,0,0,True
226,-725.0,230,5,0,True
227,-118.0,118,0,0,True
228,-489.0,192,3,0,True
229,-306.0,108,2,0,True
230,-1301.0,410,9,0,True
231,-1366.0,376,10,0,True
232,-138.0,138,0,0,True
233,-103.0,103,0,0,True
234,-1311.0,420,9,0,True
235,-148.0,148,0,0,True
236,-85.0,85,0,0,True
237,-85.0,85,0,0,True
238,-109.0,109,0,0,True
239,-90.0,90,0,0,True
240,-380.0,182,2,0,True
241,-729.0,234,5,0,True
242,-131.0,131,0,0,True
243,-241.0,142,1,0,True
244,-2383.0,700,17,0,False
245,-490.0,193,3,0,True
246,-534.0,237,3,0,True
247,-123.0,123,0,0,True
248,-94.0,94,0,0,True
249,-115.0,115,0,0,True
250,-61.0,61,0,0,True
251,-98.0,98,0,0,True
252,-91.0,91,0,0,True
253,-196.0,97,1,0,True
254,-72.0,72,0,0,True
255,-707.0,212,5,0,True
256,-101.0,101,0,0,True
257,-325.0,127,2,0,True
258,-257.0,158,1,0,True
259,-71.0,71,0,0,True
260,-124.0,124,0,0,True
261,-88.0,88,0,0,True
262,-54.0,54,0,0,True
263,-595.0,199,4,0,True
264,-900.0,306,6,0,True
265,-99.0,99,0,0,True
266,-127.0,127,0,0,True
267,-538.0,142,4,0,True
268,-178.0,178,0,0,True
269,-99.0,99,0,0,True
270,-136.0,136,0,0,True
271,-90.0,90,0,0,True
272,-231.0,132,1,0,True
273,-110.0,110,0,0,True
274,-90.0,90,0,0,True
275,-70.0,70,0,0,True
276,-84.0,84,0,0,True
277,-97.0,97,0,0,True
278,-109.0,109,0,0,True
279,-1531.0,442,11,0,True
280,-45.0,45,0,0,True
281,-474.0,177,3,0,True
282,-103.0,103,0,0,True
283,-405.0,207,2,0,True
284,-365.0,167,2,0,True
285,-52.0,52,0,0,True
286,-160.0,160,0,0,True
287,-169.0,169,0,0,True
288,-128.0,128,0,0,True
289,-2185.0,700,15,0,False
290,-123.0,123,0,0,True
291,-599.0,203,4,0,True
292,-1620.0,531,11,0,True
293,-2185.0,700,15,0,False
294,-137.0,137,0,0,True
295,-91.0,91,0,0,True
296,-1297.0,406,9,0,True
297,-1987.0,700,13,0,False
298,-1914.0,627,13,0,True
299,-1055.0,362,7,0,True
300,-43.0,43,0,0,True
301,-101.0,101,0,0,True
302,-97.0,97,0,0,True
303,-116.0,116,0,0,True
304,-335.0,137,2,0,True
305,-159.0,159,0,0,True
306,-118.0,118,0,0,True
307,-81.0,81,0,0,True
308,-101.0,101,0,0,True
309,-76.0,76,0,0,True
310,-110.0,110,0,0,True
311,-91.0,91,0,0,True
312,-2185.0,700,15,0,False
313,-97.0,97,0,0,True
314,-492.0,195,3,0,True
315,-133.0,133,0,0,True
316,-136.0,136,0,0,True
317,-94.0,94,0,0,True
318,-1427.0,437,10,0,True
319,-358.0,160,2,0,True
320,-1878.0,591,13,0,True
321,-136.0,136,0,0,True
322,-2185.0,700,15,0,False
323,-111.0,111,0,0,True
324,-328.0,130,2,0,True
325,-214.0,115,1,0,True
326,-69.0,69,0,0,True
327,-214.0,115,1,0,True
328,-125.0,125,0,0,True
329,-76.0,76,0,0,True
330,-125.0,125,0,0,True
331,-154.0,154,0,0,True
332,-363.0,165,2,0,True
333,-79.0,79,0,0,True
334,-59.0,59,0,0,True
335,-66.0,66,0,0,True
336,-1787.0,599,12,0,True
337,-372.0,174,2,0,True
338,-168.0,168,0,0,True
339,-999.0,306,7,0,True
340,-50.0,50,0,0,True
341,-120.0,120,0,0,True
342,-108.0,108,0,0,True
343,-89.0,89,0,0,True
344,-318.0,120,2,0,True
345,-114.0,114,0,0,True
346,-117.0,117,0,0,True
347,-520.0,223,3,0,True
348,-77.0,77,0,0,True
349,-123.0,123,0,0,True
350,-150.0,150,0,0,True
351,-400.0,202,2,0,True
352,-386.0,188,2,0,True
353,-165.0,165,0,0,True
354,-128.0,128,0,0,True
355,-87.0,87,0,0,True
356,-636.0,240,4,0,True
357,-75.0,75,0,0,True
358,-88.0,88,0,0,True
359,-74.0,74,0,0,True
360,-108.0,108,0,0,True
361,-144.0,144,0,0,True
362,-124.0,124,0,0,True
363,-2067.0,681,14,0,True
364,-200.0,101,1,0,True
365,-96.0,96,0,0,True
366,-838.0,244,6,0,True
367,-52.0,52,0,0,True
368,-68.0,68,0,0,True
369,-1987.0,700,13,0,False
370,-44.0,44,0,0,True
371,-756.0,261,5,0,True
372,-121.0,121,0,0,True
373,-55.0,55,0,0,True
374,-98.0,98,0,0,True
375,-519.0,222,3,0,True
376,-363.0,165,2,0,True
377,-100.0,100,0,0,True
378,-157.0,157,0,0,True
379,-73.0,73,0,0,True
380,-149.0,149,0,0,True
381,-2125.0,640,15,0,True
382,-167.0,167,0,0,True
383,-1611.0,522,11,0,True
384,-257.0,158,1,0,True
385,-80.0,80,0,0,True
386,-1495.0,505,10,0,True
387,-114.0,114,0,0,True
388,-1729.0,640,11,0,True
389,-76.0,76,0,0,True
390,-160.0,160,0,0,True
391,-2383.0,700,17,0,False
392,-876.0,282,6,0,True
393,-130.0,130,0,0,True
394,-168.0,168,0,0,True
395,-146.0,146,0,0,True
396,-2035.0,550,15,0,True
397,-2185.0,700,15,0,False
398,-208.0,109,1,0,True
399,-88.0,88,0,0,True
400,-101.0,101,0,0,True
401,-118.0,118,0,0,True
402,-107.0,107,0,0,True
403,-1972.0,586,14,0,True
404,-88.0,88,0,0,True
405,-129.0,129,0,0,True
406,-114.0,114,0,0,True
407,-131.0,131,0,0,True
408,-129.0,129,0,0,True
409,-366.0,168,2,0,True
410,-110.0,110,0,0,True
411,-577.0,181,4,0,True
412,-743.0,248,5,0,True
413,-105.0,105,0,0,True
414,-82.0,82,0,0,True
415,-128.0,128,0,0,True
416,-80.0,80,0,0,True
417,-139.0,139,0,0,True
418,-1888.0,700,12,0,False
419,-379.0,181,2,0,True
420,-105.0,105,0,0,True
421,-50.0,50,0,0,True
422,-358.0,160,2,0,True
423,-810.0,216,6,0,True
424,-67.0,67,0,0,True
425,-125.0,125,0,0,True
426,-63.0,63,0,0,True
427,-121.0,121,0,0,True
428,-732.0,237,5,0,True
429,-341.0,143,2,0,True
430,-416.0,119,3,0,True
431,-71.0,71,0,0,True
432,-1707.0,618,11,0,True
433,-638.0,242,4,0,True
434,-1657.0,568,11,0,True
435,-89.0,89,0,0,True
436,-96.0,96,0,0,True
437,-58.0,58,0,0,True
438,-193.0,94,1,0,True
439,-122.0,122,0,0,True
440,-133.0,133,0,0,True
441,-380.0,182,2,0,True
442,-76.0,76,0,0,True
443,-83.0,83,0,0,True
444,-89.0,89,0,0,True
445,-88.0,88,0,0,True
446,-902.0,308,6,0,True
447,-458.0,161,3,0,True
448,-71.0,71,0,0,True
449,-128.0,128,0,0,True
450,-1127.0,335,8,0,True
451,-905.0,311,6,0,True
452,-110.0,110,0,0,True
453,-1747.0,559,12,0,True
454,-56.0,56,0,0,True
455,-1888.0,700,12,0,False
456,-57.0,57,0,0,True
457,-68.0,68,0,0,True
458,-45.0,45,0,0,True
459,-490.0,193,3,0,True
460,-277.0,178,1,0,True
461,-70.0,70,0,0,True
462,-1316.0,425,9,0,True
463,-401.0,203,2,0,True
464,-106.0,106,0,0,True
465,-122.0,122,0,0,True
466,-182.0,83,1,0,True
467,-116.0,116,0,0,True
468,-380.0,182,2,0,True
469,-94.0,94,0,0,True
470,-123.0,123,0,0,True
471,-203.0,104,1,0,True
472,-95.0,95,0,0,True
473,-94.0,94,0,0,True
474,-102.0,102,0,0,True
475,-55.0,55,0,0,True
476,-249.0,150,1,0,True
477,-157.0,157,0,0,True
478,-1871.0,584,13,0,True
479,-749.0,254,5,0,True
480,-119.0,119,0,0,True
481,-62.0,62,0,0,True
482,-103.0,103,0,0,True
483,-441.0,144,3,0,True
484,-95.0,95,0,0,True
485,-92.0,92,0,0,True
486,-1099.0,307,8,0,True
487,-78.0,78,0,0,True
488,-216.0,117,1,0,True
489,-771.0,276,5,0,True
490,-143.0,143,0,0,True
491,-80.0,80,0,0,True
492,-99.0,99,0,0,True
493,-139.0,139,0,0,True
494,-2086.0,700,14,0,False
495,-175.0,175,0,0,True
496,-70.0,70,0,0,True
497,-320.0,122,2,0,True
498,-69.0,69,0,0,True
499,-140.0,140,0,0,True
500,-364.0,166,2,0,True
501,-125.0,125,0,0,True
502,-91.0,91,0,0,True
503,-401.0,203,2,0,True
504,-103.0,103,0,0,True
505,-245.0,146,1,0,True
506,-179.0,179,0,0,True
507,-101.0,101,0,0,True
508,-751.0,256,5,0,True
509,-63.0,63,0,0,True
510,-125.0,125,0,0,True
511,-258.0,159,1,0,True
512,-142.0,142,0,0,True
513,-92.0,92,0,0,True
514,-352.0,154,2,0,True
515,-1562.0,473,11,0,True
516,-1779.0,492,13,0,True
517,-120.0,120,0,0,True
518,-42.0,42,0,0,True
519,-64.0,64,0,0,True
520,-2185.0,700,15,0,False
521,-124.0,124,0,0,True
522,-501.0,204,3,0,True
523,-2284.0,700,16,0,False
524,-321.0,123,2,0,True
525,-344.0,146,2,0,True
526,-126.0,126,0,0,True
527,-1372.0,382,10,0,True
528,-102.0,102,0,0,True
529,-67.0,67,0,0,True
530,-114.0,114,0,0,True
531,-1772.0,683,11,0,True
532,-374.0,176,2,0,True
533,-686.0,191,5,0,True
534,-1104.0,411,7,0,True
535,-109.0,109,0,0,True
