Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-2572.0,1090,167,1,True
1,-2537.0,1109,161,1,True
2,-1098.0,453,74,1,True
3,-1345.0,529,93,1,True
4,-1449.0,570,100,1,True
5,-515.0,230,34,1,True
6,-375.0,153,27,1,True
7,-2661.0,1152,170,1,True
8,-1360.0,517,96,1,True
9,-2412.0,993,160,1,True
10,-1185.0,450,84,1,True
11,-1365.0,567,91,1,True
12,-1529.0,650,100,1,True
13,-2754.0,1155,180,1,True
14,-1589.0,656,106,1,True
15,-1550.0,644,103,1,True
16,-1159.0,478,78,1,True
17,-723.0,285,51,1,True
18,-1391.0,539,97,1,True
19,-3060.0,1218,207,1,True
20,-1384.0,523,98,1,True
21,-1552.0,673,100,1,True
22,-1116.0,417,80,1,True
23,-2294.0,938,153,1,True
24,-2795.0,1268,172,1,True
25,-1109.0,437,77,1,True
26,-1606.0,637,110,1,True
27,-1323.0,507,93,1,True
28,-2343.0,951,157,1,True
29,-3030.0,1440,179,1,True
30,-1212.0,495,82,1,True
31,-1272.0,501,88,1,True
32,-2305.0,958,152,1,True
33,-2707.0,1081,183,1,True
34,-945.0,354,68,1,True
35,-677.0,257,49,1,True
36,-1538.0,695,96,1,True
37,-1809.0,732,122,1,True
38,-1397.0,572,94,1,True
39,-1446.0,585,98,1,True
40,-868.0,340,61,1,True
41,-755.0,299,53,1,True
42,-2346.0,963,156,1,True
43,-2553.0,1053,169,1,True
44,-2263.0,889,155,1,True
45,-2091.0,861,139,1,True
46,-2284.0,928,153,1,True
47,-2177.0,875,147,1,True
48,-1229.0,530,80,1,True
49,-2586.0,1077,170,1,True
50,-1067.0,440,72,1,True
51,-1577.0,689,101,1,True
52,-1506.0,672,95,1,True
53,-2030.0,863,132,1,True
54,-1444.0,565,100,1,True
55,-1192.0,520,77,1,True
56,-1305.0,561,85,1,True
57,-2467.0,940,172,1,True
58,-1264.0,520,85,1,True
59,-1595.0,653,107,1,True
60,-750.0,294,53,1,True
61,-2460.0,1023,162,1,True
62,-1292.0,503,90,1,True
63,-1539.0,615,105,1,True
64,-1552.0,646,103,1,True
65,-1397.0,599,91,1,True
66,-938.0,383,64,1,True
67,-2407.0,997,159,1,True
68,-1433.0,572,98,1,True
69,-1616.0,737,100,1,True
70,-974.0,410,65,1,True
71,-2224.0,994,139,1,True
