Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-437.0,556,0,1,98,True
1,-498.0,621,0,1,102,True
2,-485.0,590,0,1,84,True
3,-235.0,314,0,1,58,True
4,-1031.0,1212,1,1,169,True
5,-1055.0,1248,0,1,172,True
6,-383.0,487,0,1,83,True
7,-885.0,1081,0,1,175,True
8,-1064.0,1262,0,1,177,True
9,-904.0,1062,0,1,137,True
10,-380.0,486,0,1,85,True
11,-327.0,433,0,1,85,True
12,-912.0,1096,0,1,163,True
13,-809.0,984,0,1,154,True
14,-862.0,1047,0,1,164,True
15,-579.0,708,0,1,108,True
16,-1051.0,1291,0,1,219,True
17,-187.0,260,0,1,52,True
18,-984.0,1158,0,1,153,True
19,-386.0,466,0,1,59,True
20,-489.0,606,1,1,105,True
21,-296.0,393,0,1,76,True
22,-366.0,482,0,1,95,True
23,-582.0,727,0,1,124,True
24,-1016.0,1205,0,1,168,True
25,-921.0,1106,0,1,164,True
26,-499.0,625,0,1,105,True
27,-301.0,395,0,1,73,True
28,-944.0,1140,0,1,175,True
29,-1044.0,1239,0,1,174,True
30,-433.0,537,0,1,83,True
31,-498.0,615,0,1,96,True
32,-778.0,960,0,1,161,True
33,-332.0,406,1,1,62,True
34,-289.0,369,0,1,59,True
35,-136.0,189,0,1,32,True
36,-673.0,839,0,1,145,True
37,-428.0,535,0,1,86,True
38,-398.0,486,0,1,67,True
39,-564.0,687,0,1,102,True
40,-300.0,398,0,1,77,True
41,-450.0,547,0,1,76,True
42,-363.0,467,0,1,83,True
43,-591.0,715,0,1,103,True
44,-419.0,543,0,1,103,True
45,-516.0,627,1,1,99,True
46,-701.0,873,0,1,151,True
47,-376.0,477,0,1,80,True
48,-756.0,916,0,1,139,True
49,-720.0,894,0,1,153,True
50,-346.0,430,0,1,63,True
51,-478.0,589,0,1,90,True
52,-902.0,1087,0,1,164,True
53,-639.0,771,0,1,111,True
54,-360.0,456,0,1,75,True
55,-943.0,1128,0,1,164,True
56,-269.0,352,0,1,62,True
57,-233.0,313,0,1,59,True
58,-445.0,546,1,1,89,True
59,-436.0,542,0,1,85,True
60,-361.0,440,0,1,58,True
61,-522.0,640,0,1,97,True
62,-412.0,514,0,1,81,True
63,-441.0,566,0,1,104,True
64,-846.0,1036,0,1,169,True
65,-413.0,518,0,1,84,True
66,-266.0,348,0,1,61,True
67,-459.0,570,0,1,90,True
68,-301.0,391,0,1,69,True
69,-513.0,630,0,1,96,True
70,-962.0,1147,0,1,164,True
71,-1007.0,1181,1,1,162,True
72,-1292.0,1500,0,0,208,False
73,-357.0,466,0,1,88,True
74,-803.0,968,0,1,144,True
75,-851.0,1036,0,1,164,True
76,-147.0,208,0,1,40,True
77,-461.0,579,0,1,97,True
78,-184.0,264,0,1,59,True
79,-460.0,571,0,1,90,True
80,-620.0,777,0,1,136,True
81,-366.0,471,0,1,84,True
82,-901.0,1085,0,1,163,True
83,-285.0,369,0,1,63,True
84,-300.0,395,0,1,74,True
85,-454.0,570,0,1,95,True
86,-941.0,1115,0,1,153,True
87,-985.0,1175,0,1,169,True
88,-264.0,353,0,1,68,True
89,-476.0,600,0,1,103,True
90,-539.0,658,0,1,98,True
91,-846.0,1024,0,1,157,True
92,-539.0,672,0,1,112,True
93,-412.0,529,0,1,96,True
94,-951.0,1124,0,1,152,True
95,-469.0,580,0,1,90,True
96,-494.0,602,1,1,96,True
97,-436.0,542,0,1,85,True
98,-445.0,568,0,1,102,True
99,-296.0,396,0,1,79,True
100,-266.0,344,0,1,57,True
101,-803.0,982,0,1,158,True
102,-944.0,1127,0,1,162,True
103,-733.0,888,0,1,134,True
104,-615.0,773,0,1,137,True
