Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-2666.0,1130,173,1,True
1,-2853.0,1263,179,1,True
2,-3480.0,1500,220,0,False
3,-943.0,397,63,1,True
4,-1431.0,597,95,1,True
5,-677.0,275,47,1,True
6,-1035.0,408,72,1,True
7,-2489.0,1097,157,1,True
8,-2147.0,863,145,1,True
9,-2209.0,898,148,1,True
10,-1120.0,466,75,1,True
11,-1223.0,443,89,1,True
12,-2326.0,961,154,1,True
13,-2212.0,865,152,1,True
14,-1636.0,676,109,1,True
15,-1356.0,522,95,1,True
16,-1281.0,555,83,1,True
17,-820.0,319,58,1,True
18,-1707.0,693,115,1,True
19,-1221.0,441,89,1,True
20,-2189.0,869,149,1,True
21,-1016.0,443,66,1,True
22,-2813.0,1133,189,1,True
23,-1569.0,618,108,1,True
24,-2037.0,861,133,1,True
25,-1395.0,516,100,1,True
26,-3055.0,1312,196,1,True
27,-718.0,280,51,1,True
28,-2717.0,1163,175,1,True
29,-1407.0,555,97,1,True
30,-1234.0,526,81,1,True
31,-1107.0,417,79,1,True
32,-1133.0,488,74,1,True
33,-1408.0,511,102,1,True
34,-463.0,205,31,1,True
35,-1211.0,467,85,1,True
36,-2070.0,831,140,1,True
37,-1789.0,730,120,1,True
38,-978.0,414,65,1,True
39,-1302.0,612,79,1,True
40,-1334.0,500,95,1,True
41,-1152.0,453,80,1,True
42,-2592.0,1119,166,1,True
43,-1790.0,731,120,1,True
44,-2276.0,911,154,1,True
45,-3363.0,1458,214,1,True
46,-1017.0,462,64,1,True
47,-1442.0,599,96,1,True
48,-2116.0,913,136,1,True
49,-2482.0,1027,164,1,True
50,-1172.0,473,80,1,True
51,-1494.0,624,99,1,True
52,-1582.0,685,102,1,True
53,-1623.0,681,107,1,True
54,-1605.0,645,109,1,True
55,-1455.0,558,102,1,True
56,-2152.0,877,144,1,True
57,-1174.0,484,79,1,True
58,-1058.0,440,71,1,True
59,-1240.0,496,85,1,True
60,-910.0,391,60,1,True
61,-2491.0,1126,154,1,True
62,-1422.0,570,97,1,True
63,-2437.0,1009,161,1,True
64,-2316.0,915,158,1,True
65,-1167.0,495,77,1,True
66,-1521.0,669,97,1,True
67,-2628.0,1155,166,1,True
68,-891.0,381,59,1,True
69,-1518.0,621,102,1,True
70,-1340.0,578,87,1,True
71,-2378.0,1004,155,1,True
72,-2964.0,1239,194,1,True
73,-2644.0,1144,169,1,True
74,-1705.0,700,114,1,True
75,-1573.0,649,105,1,True
