Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-520.0,663,0,1,True
1,-863.0,1048,0,1,True
2,-531.0,666,0,1,True
3,-318.0,405,0,1,True
4,-864.0,1036,0,1,True
5,-244.0,322,0,1,True
6,-73.0,111,0,1,True
7,-918.0,1103,0,1,True
8,-1282.0,1500,0,0,False
9,-754.0,920,0,1,True
10,-487.0,589,0,1,True
11,-324.0,419,0,1,True
12,-601.0,735,0,1,True
13,-950.0,1141,0,1,True
14,-899.0,1085,0,1,True
15,-949.0,1143,0,1,True
16,-973.0,1187,0,1,True
17,-226.0,305,0,1,True
18,-819.0,1013,0,1,True
19,-824.0,1000,0,1,True
20,-321.0,427,0,1,True
21,-355.0,460,0,1,True
22,-407.0,501,0,1,True
23,-1197.0,1426,0,1,True
24,-882.0,1066,0,1,True
25,-360.0,486,0,1,True
26,-1039.0,1232,0,1,True
27,-410.0,508,0,1,True
28,-500.0,614,0,1,True
29,-1048.0,1246,0,1,True
30,-418.0,521,0,1,True
31,-633.0,758,0,1,True
32,-837.0,1031,0,1,True
33,-84.0,119,0,1,True
34,-375.0,486,0,1,True
35,-333.0,426,0,1,True
36,-515.0,641,0,1,True
37,-1042.0,1228,0,1,True
38,-313.0,398,0,1,True
39,-810.0,984,0,1,True
40,-539.0,663,0,1,True
41,-89.0,132,0,1,True
42,-483.0,619,0,1,True
43,-515.0,642,0,1,True
44,-449.0,573,0,1,True
45,-969.0,1194,0,1,True
46,-1105.0,1307,0,1,True
47,-574.0,706,0,1,True
48,-512.0,617,0,1,True
49,-509.0,632,0,1,True
50,-506.0,622,0,1,True
51,-831.0,1014,0,1,True
52,-847.0,1024,0,1,True
53,-922.0,1111,0,1,True
54,-527.0,649,1,1,True
55,-878.0,1085,0,1,True
56,-434.0,556,0,1,True
57,-323.0,410,0,1,True
58,-605.0,714,0,1,True
59,-456.0,562,0,1,True
60,-356.0,448,0,1,True
61,-947.0,1123,0,1,True
62,-444.0,551,0,1,True
63,-404.0,532,0,1,True
64,-838.0,1025,0,1,True
65,-362.0,468,0,1,True
66,-834.0,1015,0,1,True
67,-1204.0,1455,0,1,True
68,-1031.0,1251,0,1,True
69,-337.0,425,0,1,True
70,-433.0,556,0,1,True
71,-982.0,1185,0,1,True
72,-817.0,996,0,1,True
73,-527.0,653,0,1,True
74,-1189.0,1428,0,1,True
75,-711.0,891,0,1,True
76,-364.0,455,0,1,True
77,-764.0,947,0,1,True
78,-338.0,430,0,1,True
79,-853.0,1034,0,1,True
80,-910.0,1090,0,1,True
81,-352.0,455,0,1,True
82,-873.0,1033,1,1,True
83,-422.0,528,0,1,True
84,-612.0,764,0,1,True
85,-405.0,510,0,1,True
86,-890.0,1063,0,1,True
87,-876.0,1060,0,1,True
88,-1186.0,1407,0,1,True
89,-938.0,1118,0,1,True
90,-1137.0,1332,0,1,True
91,-412.0,532,0,1,True
92,-389.0,503,0,1,True
93,-494.0,580,0,1,True
94,-925.0,1105,0,1,True
95,-446.0,551,0,1,True
96,-496.0,609,0,1,True
97,-406.0,514,0,1,True
98,-892.0,1071,0,1,True
99,-514.0,632,0,1,True
100,-363.0,459,0,1,True
101,-822.0,1003,0,1,True
102,-857.0,1028,0,1,True
103,-701.0,869,0,1,True
104,-458.0,564,0,1,True
105,-981.0,1155,0,1,True
106,-481.0,601,0,1,True
107,-243.0,324,0,1,True
108,-810.0,968,0,1,True
109,-1077.0,1302,0,1,True
110,-950.0,1132,0,1,True
111,-459.0,566,0,1,True
112,-353.0,454,0,1,True
113,-514.0,642,0,1,True
114,-285.0,373,0,1,True
115,-549.0,676,0,1,True
116,-647.0,784,0,1,True
117,-394.0,485,0,1,True
118,-602.0,736,0,1,True
119,-101.0,150,0,1,True
120,-776.0,957,0,1,True
121,-473.0,584,0,1,True
122,-1009.0,1215,0,1,True
123,-602.0,726,0,1,True
124,-821.0,1006,0,1,True
125,-861.0,1035,0,1,True
126,-498.0,596,0,1,True
127,-350.0,441,0,1,True
128,-214.0,295,0,1,True
129,-468.0,581,0,1,True
130,-524.0,658,0,1,True
131,-188.0,243,0,1,True
132,-381.0,492,0,1,True
133,-279.0,371,0,1,True
134,-700.0,866,0,1,True
135,-482.0,592,0,1,True
136,-720.0,877,0,1,True
137,-430.0,539,0,1,True
138,-593.0,717,0,1,True
139,-298.0,389,0,1,True
140,-476.0,608,0,1,True
141,-870.0,1061,0,1,True
142,-485.0,581,0,1,True
143,-999.0,1193,0,1,True
144,-304.0,386,0,1,True
145,-804.0,986,0,1,True
146,-415.0,528,0,1,True
147,-428.0,530,0,1,True
148,-811.0,990,0,1,True
149,-797.0,969,0,1,True
150,-225.0,309,0,1,True
151,-888.0,1075,0,1,True
152,-312.0,409,0,1,True
153,-491.0,620,0,1,True
154,-431.0,550,0,1,True
155,-562.0,691,0,1,True
156,-156.0,217,0,1,True
157,-861.0,1053,0,1,True
158,-297.0,386,0,1,True
159,-238.0,323,0,1,True
160,-342.0,441,0,1,True
161,-535.0,644,0,1,True
162,-834.0,1013,0,1,True
163,-421.0,534,0,1,True
164,-698.0,843,0,1,True
165,-506.0,633,0,1,True
166,-496.0,621,0,1,True
167,-467.0,577,0,1,True
168,-958.0,1142,0,1,True
169,-487.0,579,0,1,True
170,-658.0,811,0,1,True
171,-466.0,587,0,1,True
172,-816.0,995,0,1,True
173,-363.0,451,0,1,True
174,-981.0,1168,0,1,True
175,-398.0,513,0,1,True
176,-427.0,538,0,1,True
177,-314.0,410,0,1,True
178,-450.0,566,0,1,True
179,-984.0,1166,0,1,True
180,-343.0,436,0,1,True
181,-933.0,1126,0,1,True
182,-301.0,391,0,1,True
183,-916.0,1096,0,1,True
184,-273.0,367,0,1,True
185,-195.0,271,0,1,True
186,-366.0,460,0,1,True
187,-772.0,950,0,1,True
188,-514.0,641,0,1,True
189,-409.0,518,0,1,True
190,-868.0,1041,0,1,True
191,-356.0,459,0,1,True
192,-353.0,448,0,1,True
193,-954.0,1140,0,1,True
194,-345.0,456,0,1,True
195,-290.0,379,0,1,True
196,-762.0,945,0,1,True
197,-835.0,1013,0,1,True
198,-914.0,1085,0,1,True
199,-388.0,485,0,1,True
200,-266.0,347,0,1,True
201,-715.0,892,0,1,True
202,-511.0,635,0,1,True
203,-537.0,661,0,1,True
204,-483.0,611,0,1,True
205,-483.0,594,0,1,True
206,-1225.0,1463,0,1,True
207,-357.0,462,0,1,True
208,-436.0,558,0,1,True
209,-309.0,396,0,1,True
210,-848.0,1033,0,1,True
211,-1033.0,1253,0,1,True
212,-1037.0,1224,0,1,True
213,-923.0,1114,0,1,True
214,-917.0,1103,0,1,True
215,-582.0,713,0,1,True
216,-1063.0,1290,0,1,True
217,-415.0,509,0,1,True
218,-520.0,649,0,1,True
219,-973.0,1157,0,1,True
220,-885.0,1073,0,1,True
221,-712.0,877,0,1,True
222,-130.0,185,0,1,True
223,-397.0,504,0,1,True
224,-304.0,381,0,1,True
225,-540.0,664,0,1,True
226,-1095.0,1291,0,1,True
227,-410.0,519,0,1,True
228,-1230.0,1469,0,1,True
