Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-3588.0,1500,232,0,0,False
1,-2433.0,996,162,1,0,True
2,-1185.0,414,88,1,0,True
3,-890.0,344,63,1,0,True
4,-1072.0,463,70,1,0,True
5,-1015.0,460,64,1,0,True
6,-1172.0,500,77,1,0,True
7,-2422.0,967,164,1,0,True
8,-1580.0,620,109,1,0,True
9,-2524.0,1078,163,1,0,True
10,-1225.0,490,84,1,0,True
11,-2393.0,1001,157,1,0,True
12,-1730.0,698,117,1,0,True
13,-2362.0,970,157,1,0,True
14,-3448.0,1426,227,1,0,True
15,-2390.0,1025,154,1,0,True
16,-1386.0,561,94,1,0,True
17,-910.0,355,64,1,0,True
18,-834.0,324,59,1,0,True
19,-1465.0,595,99,1,0,True
20,-2309.0,908,158,1,0,True
21,-1220.0,494,83,1,0,True
22,-1053.0,462,68,1,0,True
23,-2735.0,1208,172,1,0,True
24,-1556.0,641,104,1,0,True
25,-1403.0,632,88,1,0,True
26,-2467.0,1066,158,1,0,True
27,-1186.0,523,76,1,0,True
28,-2046.0,834,137,1,0,True
29,-2600.0,1154,163,1,0,True
30,-1317.0,510,92,1,0,True
31,-1252.0,526,83,1,0,True
32,-1537.0,622,104,1,0,True
33,-870.0,315,64,1,0,True
34,-2988.0,1236,197,1,0,True
35,-844.0,307,62,1,0,True
36,-1388.0,590,91,1,0,True
37,-2734.0,1216,171,1,0,True
38,-3279.0,1356,216,1,0,True
39,-1441.0,571,99,1,0,True
40,-998.0,461,62,1,0,True
41,-1195.0,478,82,1,0,True
42,-1052.0,398,75,1,0,True
43,-2249.0,929,149,1,0,True
44,-2372.0,953,160,1,0,True
45,-1950.0,783,132,1,0,True
46,-1577.0,644,106,1,0,True
47,-1883.0,896,112,1,0,True
48,-1028.0,464,65,1,0,True
49,-2508.0,1071,162,1,0,True
50,-2940.0,1206,195,1,0,True
51,-1392.0,549,96,1,0,True
52,-1390.0,520,99,1,0,True
53,-2571.0,1152,160,1,0,True
54,-1599.0,639,109,1,0,True
55,-2780.0,1226,175,1,0,True
56,-1083.0,438,74,1,0,True
57,-946.0,382,65,1,0,True
58,-1347.0,522,94,1,0,True
59,-1215.0,471,85,1,0,True
60,-1031.0,413,71,1,0,True
61,-2285.0,947,151,1,0,True
62,-984.0,348,73,1,0,True
63,-1490.0,575,104,1,0,True
64,-1974.0,807,132,1,0,True
65,-2253.0,888,154,1,0,True
66,-1114.0,478,73,1,0,True
67,-1050.0,423,72,1,0,True
68,-884.0,365,60,1,0,True
69,-1135.0,472,76,1,0,True
70,-1523.0,626,102,1,0,True
71,-2120.0,863,142,1,0,True
72,-2495.0,1040,164,1,0,True
73,-1728.0,768,109,1,0,True
74,-2296.0,967,150,1,0,True
75,-1721.0,716,114,1,0,True
76,-510.0,189,38,1,0,True
77,-1603.0,670,106,1,0,True
78,-971.0,371,69,1,0,True
79,-1171.0,472,80,1,0,True
80,-2458.0,1039,160,1,0,True
81,-1300.0,592,81,1,0,True
82,-1731.0,753,111,1,0,True
83,-1148.0,476,77,1,0,True
84,-2294.0,983,148,1,0,True
85,-827.0,308,60,1,0,True
86,-1460.0,581,100,1,0,True
87,-1797.0,738,120,1,0,True
88,-494.0,227,32,1,0,True
89,-2467.0,1021,163,1,0,True
90,-1521.0,624,102,1,0,True
91,-1499.0,584,104,1,0,True
92,-2365.0,1009,153,1,0,True
93,-2446.0,1000,163,1,0,True
94,-1639.0,625,115,1,0,True
95,-1435.0,601,95,1,0,True
96,-1060.0,406,75,1,0,True
97,-1249.0,496,86,1,0,True
98,-2294.0,920,155,1,0,True
99,-1232.0,551,78,1,0,True
100,-1510.0,676,95,1,0,True
101,-3518.0,1469,230,1,0,True
102,-2475.0,1056,160,1,0,True
103,-2443.0,1060,156,1,0,True
104,-1569.0,654,104,1,0,True
105,-2384.0,1019,154,1,0,True
106,-2569.0,1051,171,1,0,True
107,-1126.0,418,81,1,0,True
108,-2393.0,992,158,1,0,True
109,-2425.0,1051,155,1,0,True
110,-1587.0,654,106,1,0,True
111,-1267.0,532,84,1,0,True
112,-1330.0,559,88,1,0,True
113,-2547.0,1056,168,1,0,True
114,-3432.0,1473,220,1,0,True
115,-1515.0,654,98,1,0,True
116,-1612.0,697,104,1,0,True
117,-981.0,390,68,1,0,True
118,-2606.0,1097,170,1,0,True
119,-558.0,219,40,1,0,True
120,-2244.0,942,147,1,0,True
121,-2231.0,911,149,1,0,True
122,-564.0,234,39,1,0,True
123,-1401.0,504,102,1,0,True
124,-2131.0,847,145,1,0,True
125,-1631.0,653,111,1,0,True
126,-625.0,259,43,1,0,True
127,-1399.0,574,94,1,0,True
128,-642.0,258,45,1,0,True
129,-1813.0,745,121,1,0,True
130,-2381.0,998,156,1,0,True
131,-772.0,289,56,1,0,True
