Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-756.0,932,0,1,155,True
1,-1287.0,1500,0,0,213,False
2,-654.0,809,0,1,134,True
3,-372.0,456,0,1,63,True
4,-783.0,963,0,1,159,True
5,-1274.0,1500,0,0,226,False
6,-318.0,404,0,1,65,True
7,-491.0,613,0,1,101,True
8,-263.0,341,0,1,57,True
9,-574.0,694,1,1,108,True
10,-303.0,401,0,1,77,True
11,-407.0,504,1,1,85,True
12,-796.0,976,0,1,159,True
13,-863.0,1045,0,1,161,True
14,-528.0,649,1,1,109,True
15,-491.0,607,0,1,95,True
16,-404.0,519,0,1,94,True
17,-407.0,500,0,1,72,True
18,-508.0,647,0,1,118,True
19,-124.0,168,0,1,23,True
20,-389.0,487,0,1,77,True
21,-539.0,644,0,1,84,True
22,-352.0,436,0,1,63,True
23,-731.0,882,0,1,130,True
24,-818.0,999,0,1,160,True
25,-523.0,643,0,1,99,True
26,-934.0,1128,0,1,173,True
27,-162.0,225,0,1,42,True
28,-688.0,852,0,1,143,True
29,-681.0,829,0,1,127,True
30,-247.0,320,0,1,52,True
31,-387.0,495,0,1,87,True
32,-984.0,1172,0,1,167,True
33,-244.0,323,0,1,58,True
34,-216.0,289,0,1,52,True
35,-319.0,404,0,1,64,True
36,-532.0,657,0,1,104,True
37,-910.0,1082,2,1,169,True
38,-269.0,345,0,1,55,True
39,-409.0,523,0,1,93,True
40,-326.0,408,0,1,61,True
41,-362.0,465,0,1,82,True
42,-746.0,922,0,1,155,True
43,-570.0,702,0,1,111,True
44,-387.0,497,0,1,89,True
45,-502.0,631,0,1,108,True
46,-782.0,961,0,1,158,True
47,-523.0,647,0,1,103,True
48,-562.0,673,1,1,99,True
49,-992.0,1175,0,1,162,True
50,-404.0,512,0,1,87,True
51,-711.0,881,0,1,149,True
52,-421.0,543,0,1,101,True
53,-738.0,916,0,1,157,True
54,-434.0,555,0,1,100,True
55,-519.0,644,0,1,104,True
56,-333.0,423,0,1,69,True
57,-330.0,417,0,1,66,True
58,-521.0,620,1,1,87,True
59,-1314.0,1500,2,0,204,False
60,-208.0,282,0,1,53,True
61,-466.0,591,0,1,104,True
62,-318.0,413,0,1,74,True
63,-446.0,567,0,1,100,True
64,-802.0,986,0,1,163,True
65,-895.0,1082,0,1,166,True
66,-360.0,470,0,1,89,True
67,-552.0,678,0,1,105,True
68,-273.0,356,0,1,62,True
69,-530.0,646,1,1,104,True
70,-375.0,461,0,1,65,True
71,-853.0,1021,0,1,147,True
72,-821.0,999,0,1,157,True
73,-976.0,1172,0,1,175,True
74,-653.0,811,0,1,137,True
75,-598.0,743,0,1,124,True
76,-764.0,939,0,1,154,True
77,-571.0,670,2,1,96,True
78,-259.0,349,0,1,69,True
79,-552.0,690,0,1,117,True
80,-742.0,926,0,1,163,True
81,-387.0,479,0,1,71,True
82,-1119.0,1298,1,1,167,True
83,-660.0,779,0,1,98,True
84,-590.0,725,0,1,114,True
85,-142.0,184,0,1,21,True
86,-674.0,823,0,1,128,True
87,-939.0,1117,0,1,157,True
88,-361.0,444,0,1,62,True
89,-1114.0,1328,1,1,202,True
90,-677.0,825,0,1,127,True
91,-773.0,957,0,1,163,True
92,-360.0,459,0,1,78,True
93,-654.0,802,0,1,127,True
94,-482.0,602,0,1,99,True
95,-535.0,657,0,1,101,True
96,-913.0,1113,0,1,179,True
97,-410.0,505,0,1,74,True
98,-717.0,875,0,1,137,True
99,-670.0,815,0,1,124,True
100,-464.0,575,0,1,90,True
101,-576.0,714,0,1,117,True
102,-577.0,702,0,1,104,True
103,-800.0,982,0,1,161,True
104,-505.0,629,0,1,103,True
105,-771.0,952,0,1,160,True
106,-466.0,587,0,1,100,True
107,-431.0,541,0,1,89,True
108,-854.0,1032,0,1,157,True
109,-641.0,780,0,1,118,True
110,-725.0,910,0,1,164,True
111,-483.0,590,0,1,86,True
112,-394.0,489,0,1,74,True
113,-582.0,723,0,1,120,True
114,-378.0,485,0,1,86,True
115,-619.0,768,0,1,128,True
116,-858.0,1042,0,1,163,True
117,-264.0,347,0,1,62,True
118,-929.0,1115,0,1,165,True
119,-342.0,447,0,1,84,True
120,-615.0,757,0,1,121,True
121,-554.0,679,0,1,104,True
122,-291.0,382,0,1,70,True
123,-421.0,547,0,1,105,True
124,-859.0,1027,1,1,156,True
125,-785.0,953,0,1,147,True
126,-135.0,182,0,1,26,True
127,-270.0,358,0,1,67,True
128,-426.0,524,0,1,77,True
129,-992.0,1170,0,1,157,True
130,-1094.0,1291,0,1,176,True
131,-390.0,491,0,1,80,True
132,-330.0,411,0,1,60,True
133,-806.0,984,0,1,157,True
134,-349.0,459,0,1,89,True
135,-714.0,891,0,1,156,True
136,-463.0,577,0,1,93,True
137,-163.0,228,0,1,44,True
138,-656.0,789,0,1,112,True
139,-204.0,275,0,1,50,True
140,-443.0,546,0,1,82,True
141,-561.0,694,0,1,112,True
142,-566.0,692,0,1,105,True
143,-605.0,764,0,1,138,True
144,-593.0,742,0,1,128,True
145,-361.0,466,0,1,84,True
146,-462.0,583,0,1,100,True
147,-1034.0,1242,0,1,187,True
148,-788.0,957,1,1,157,True
149,-390.0,506,0,1,95,True
150,-63.0,93,0,1,9,True
151,-603.0,728,1,1,113,True
152,-301.0,397,0,1,75,True
153,-270.0,361,0,1,70,True
154,-550.0,672,0,1,101,True
155,-596.0,729,0,1,112,True
156,-56.0,83,0,1,6,True
157,-528.0,651,0,1,102,True
158,-485.0,596,1,1,99,True
159,-199.0,272,0,1,52,True
160,-228.0,305,0,1,56,True
161,-959.0,1163,0,1,183,True
162,-574.0,707,0,1,112,True
163,-193.0,264,0,1,50,True
164,-590.0,727,0,1,116,True
165,-469.0,589,0,1,99,True
166,-293.0,388,0,1,74,True
167,-365.0,470,0,1,84,True
168,-954.0,1141,0,1,166,True
169,-420.0,525,0,1,84,True
170,-540.0,655,0,1,94,True
171,-413.0,510,0,1,76,True
172,-509.0,641,0,1,111,True
173,-499.0,616,0,1,96,True
174,-771.0,957,0,1,165,True
175,-779.0,958,0,1,158,True
176,-1093.0,1329,0,1,215,True
177,-351.0,436,0,1,64,True
178,-479.0,602,0,1,102,True
179,-882.0,1067,0,1,164,True
180,-595.0,718,0,1,102,True
181,-841.0,1022,0,1,160,True
182,-309.0,393,0,1,63,True
183,-798.0,984,0,1,165,True
184,-186.0,259,0,1,52,True
185,-286.0,373,0,1,66,True
186,-620.0,731,0,1,90,True
187,-556.0,686,0,1,109,True
188,-791.0,968,0,1,156,True
189,-439.0,548,0,1,88,True
190,-1200.0,1396,0,1,175,True
191,-1025.0,1223,0,1,177,True
192,-280.0,372,0,1,71,True
193,-471.0,590,0,1,98,True
194,-234.0,313,0,1,58,True
195,-402.0,506,0,1,83,True
196,-810.0,990,0,1,159,True
197,-935.0,1123,0,1,167,True
198,-813.0,1005,0,1,171,True
199,-407.0,498,0,1,70,True
200,-482.0,602,0,1,99,True
201,-519.0,647,0,1,107,True
202,-448.0,567,0,1,98,True
203,-443.0,544,0,1,80,True
204,-451.0,576,0,1,104,True
205,-387.0,499,0,1,91,True
206,-570.0,705,0,1,114,True
207,-435.0,544,0,1,88,True
208,-386.0,487,1,1,89,True
209,-355.0,441,0,1,65,True
210,-473.0,599,0,1,105,True
211,-412.0,520,0,1,87,True
212,-881.0,1071,0,1,169,True
213,-827.0,1004,0,1,156,True
214,-623.0,750,0,1,106,True
