Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-933.0,1114,0,1,True
1,-569.0,711,0,1,True
2,-439.0,541,0,1,True
3,-295.0,384,0,1,True
4,-403.0,501,0,1,True
5,-217.0,291,0,1,True
6,-207.0,280,0,1,True
7,-739.0,916,0,1,True
8,-654.0,791,0,1,True
9,-1135.0,1329,0,1,True
10,-344.0,446,0,1,True
11,-741.0,915,0,1,True
12,-1198.0,1394,0,1,True
13,-493.0,620,0,1,True
14,-888.0,1075,0,1,True
15,-691.0,846,0,1,True
16,-382.0,493,0,1,True
17,-359.0,452,0,1,True
18,-673.0,818,0,1,True
19,-483.0,605,0,1,True
20,-465.0,592,0,1,True
21,-663.0,794,0,1,True
22,-308.0,391,0,1,True
23,-504.0,633,0,1,True
24,-591.0,736,0,1,True
25,-423.0,526,0,1,True
26,-1279.0,1471,0,1,True
27,-221.0,306,0,1,True
28,-661.0,811,0,1,True
29,-458.0,584,0,1,True
30,-366.0,458,0,1,True
31,-531.0,660,0,1,True
32,-403.0,491,0,1,True
33,-317.0,417,0,1,True
34,-254.0,333,0,1,True
35,-84.0,128,0,1,True
36,-437.0,550,0,1,True
37,-835.0,1006,0,1,True
38,-388.0,480,0,1,True
39,-367.0,476,0,1,True
40,-345.0,451,0,1,True
41,-479.0,587,0,1,True
42,-743.0,921,0,1,True
43,-601.0,735,0,1,True
44,-809.0,988,1,1,True
45,-721.0,884,0,1,True
46,-968.0,1159,0,1,True
47,-454.0,584,0,1,True
48,-440.0,549,0,1,True
49,-492.0,612,0,1,True
50,-838.0,1009,0,1,True
51,-423.0,520,0,1,True
52,-875.0,1057,0,1,True
53,-984.0,1175,0,1,True
54,-503.0,611,0,1,True
55,-467.0,593,0,1,True
56,-411.0,508,0,1,True
57,-216.0,291,0,1,True
58,-513.0,615,0,1,True
59,-435.0,549,0,1,True
60,-275.0,356,0,1,True
61,-462.0,576,0,1,True
62,-341.0,430,0,1,True
63,-608.0,769,0,1,True
64,-767.0,945,0,1,True
65,-453.0,565,0,1,True
66,-396.0,497,0,1,True
67,-696.0,865,0,1,True
68,-225.0,296,0,1,True
69,-462.0,595,0,1,True
70,-292.0,372,0,1,True
71,-776.0,950,0,1,True
72,-760.0,939,0,1,True
73,-652.0,821,0,1,True
74,-960.0,1139,0,1,True
75,-740.0,918,0,1,True
76,-192.0,260,0,1,True
77,-762.0,939,0,1,True
78,-373.0,473,0,1,True
79,-560.0,678,0,1,True
80,-583.0,722,0,1,True
81,-515.0,617,0,1,True
82,-553.0,675,0,1,True
83,-390.0,486,0,1,True
84,-770.0,946,0,1,True
85,-1182.0,1418,0,1,True
86,-532.0,669,0,1,True
87,-873.0,1053,0,1,True
88,-377.0,485,0,1,True
89,-806.0,967,2,1,True
90,-456.0,577,0,1,True
91,-875.0,1063,0,1,True
92,-754.0,942,0,1,True
93,-576.0,688,1,1,True
94,-775.0,942,0,1,True
95,-849.0,1027,0,1,True
96,-301.0,401,0,1,True
97,-258.0,349,0,1,True
98,-377.0,485,0,1,True
99,-1058.0,1293,0,1,True
100,-422.0,522,0,1,True
101,-431.0,530,0,1,True
102,-587.0,728,0,1,True
103,-694.0,831,0,1,True
104,-456.0,564,0,1,True
105,-848.0,1024,0,1,True
106,-414.0,517,0,1,True
107,-409.0,524,0,1,True
108,-630.0,775,0,1,True
109,-619.0,761,0,1,True
110,-669.0,819,0,1,True
111,-266.0,357,0,1,True
112,-456.0,567,0,1,True
113,-637.0,752,0,1,True
114,-389.0,502,0,1,True
115,-518.0,634,0,1,True
116,-675.0,815,0,1,True
117,-439.0,548,0,1,True
118,-687.0,835,0,1,True
119,-347.0,450,0,1,True
120,-859.0,1045,0,1,True
121,-728.0,870,0,1,True
122,-1145.0,1332,0,1,True
123,-335.0,437,0,1,True
124,-790.0,967,0,1,True
125,-635.0,765,0,1,True
126,-700.0,875,0,1,True
127,-480.0,581,0,1,True
128,-385.0,478,0,1,True
129,-1135.0,1382,0,1,True
130,-834.0,1017,0,1,True
131,-140.0,200,0,1,True
132,-429.0,531,0,1,True
133,-466.0,589,0,1,True
134,-250.0,337,0,1,True
135,-443.0,551,0,1,True
136,-379.0,491,0,1,True
137,-135.0,189,0,1,True
138,-865.0,1053,0,1,True
139,-272.0,357,0,1,True
140,-468.0,579,0,1,True
141,-875.0,1059,0,1,True
142,-207.0,272,0,1,True
143,-950.0,1139,0,1,True
144,-627.0,789,0,1,True
145,-606.0,768,0,1,True
146,-550.0,690,0,1,True
147,-401.0,507,0,1,True
148,-342.0,440,0,1,True
149,-410.0,513,0,1,True
150,-828.0,1011,0,1,True
151,-1107.0,1296,0,1,True
152,-274.0,359,0,1,True
153,-706.0,855,0,1,True
154,-381.0,487,0,1,True
155,-469.0,589,0,1,True
156,-337.0,435,0,1,True
157,-265.0,357,0,1,True
158,-282.0,366,0,1,True
159,-202.0,280,0,1,True
160,-569.0,686,0,1,True
161,-258.0,347,0,1,True
162,-458.0,584,0,1,True
163,-756.0,934,0,1,True
164,-455.0,569,0,1,True
165,-451.0,536,0,1,True
166,-386.0,496,0,1,True
167,-224.0,299,0,1,True
168,-435.0,563,0,1,True
169,-409.0,499,0,1,True
170,-438.0,546,0,1,True
171,-382.0,495,0,1,True
172,-319.0,416,0,1,True
173,-525.0,644,0,1,True
174,-1042.0,1232,0,1,True
175,-699.0,872,0,1,True
176,-387.0,486,0,1,True
177,-355.0,449,0,1,True
178,-392.0,503,0,1,True
179,-762.0,940,0,1,True
180,-540.0,663,0,1,True
181,-711.0,890,0,1,True
182,-304.0,385,0,1,True
183,-711.0,883,0,1,True
184,-331.0,431,0,1,True
185,-411.0,507,0,1,True
186,-348.0,453,0,1,True
187,-1018.0,1234,0,1,True
188,-781.0,960,0,1,True
189,-1035.0,1240,0,1,True
190,-788.0,968,0,1,True
191,-596.0,748,0,1,True
192,-250.0,331,0,1,True
193,-787.0,964,0,1,True
194,-411.0,526,0,1,True
195,-546.0,674,0,1,True
196,-435.0,557,0,1,True
197,-895.0,1082,0,1,True
198,-991.0,1221,0,1,True
199,-396.0,495,0,1,True
200,-405.0,524,0,1,True
201,-605.0,740,0,1,True
202,-610.0,770,0,1,True
203,-395.0,511,0,1,True
204,-731.0,894,0,1,True
205,-392.0,478,0,1,True
206,-324.0,429,0,1,True
207,-411.0,511,0,1,True
208,-336.0,441,0,1,True
209,-567.0,675,1,1,True
210,-1043.0,1288,0,1,True
211,-499.0,610,0,1,True
212,-753.0,932,0,1,True
213,-694.0,843,0,1,True
214,-522.0,653,0,1,True
215,-492.0,612,0,1,True
216,-1020.0,1198,0,1,True
217,-244.0,333,0,1,True
218,-481.0,594,0,1,True
219,-402.0,508,0,1,True
220,-668.0,837,0,1,True
221,-536.0,659,0,1,True
222,-301.0,381,0,1,True
223,-463.0,578,0,1,True
224,-396.0,518,0,1,True
225,-886.0,1081,0,1,True
226,-982.0,1175,0,1,True
227,-347.0,456,0,1,True
228,-358.0,470,0,1,True
229,-446.0,546,0,1,True
230,-580.0,718,0,1,True
231,-479.0,590,0,1,True
232,-70.0,113,0,1,True
233,-461.0,579,0,1,True
234,-371.0,480,0,1,True
235,-328.0,436,0,1,True
236,-472.0,583,0,1,True
237,-775.0,956,0,1,True
238,-833.0,1019,0,1,True
239,-903.0,1086,0,1,True
240,-265.0,347,0,1,True
241,-248.0,321,0,1,True
242,-377.0,471,0,1,True
243,-814.0,981,0,1,True
244,-568.0,699,0,1,True
245,-598.0,748,0,1,True
246,-798.0,977,0,1,True
247,-487.0,618,0,1,True
248,-870.0,1054,0,1,True
249,-466.0,578,0,1,True
250,-772.0,952,0,1,True
251,-531.0,659,0,1,True
252,-1089.0,1340,0,1,True
253,-561.0,691,0,1,True
254,-237.0,331,0,1,True
255,-308.0,407,0,1,True
256,-431.0,535,0,1,True
257,-723.0,893,0,1,True
258,-479.0,602,0,1,True
259,-729.0,893,0,1,True
260,-913.0,1105,0,1,True
261,-637.0,799,0,1,True
262,-477.0,603,0,1,True
263,-246.0,333,0,1,True
264,-125.0,173,0,1,True
265,-296.0,388,0,1,True
266,-957.0,1158,0,1,True
267,-292.0,382,0,1,True
268,-313.0,412,0,1,True
269,-821.0,1013,0,1,True
270,-366.0,458,0,1,True
271,-727.0,901,0,1,True
272,-439.0,549,0,1,True
273,-462.0,576,0,1,True
274,-826.0,1008,0,1,True
275,-299.0,385,0,1,True
276,-140.0,185,0,1,True
277,-459.0,566,0,1,True
278,-230.0,301,0,1,True
279,-511.0,637,0,1,True
280,-545.0,686,0,1,True
281,-278.0,368,0,1,True
282,-752.0,928,0,1,True
283,-802.0,980,0,1,True
284,-566.0,693,0,1,True
285,-389.0,498,0,1,True
286,-897.0,1083,0,1,True
287,-536.0,663,0,1,True
288,-1034.0,1231,0,1,True
289,-427.0,541,0,1,True
290,-933.0,1121,0,1,True
291,-838.0,1015,0,1,True
292,-323.0,426,0,1,True
293,-772.0,957,0,1,True
294,-414.0,526,0,1,True
295,-796.0,982,0,1,True
296,-812.0,995,0,1,True
297,-436.0,530,0,1,True
298,-409.0,520,0,1,True
299,-619.0,762,0,1,True
300,-504.0,630,0,1,True
301,-895.0,1086,0,1,True
302,-749.0,925,0,1,True
303,-507.0,628,0,1,True
304,-896.0,1073,0,1,True
305,-466.0,576,0,1,True
306,-343.0,432,0,1,True
307,-802.0,988,0,1,True
308,-313.0,398,0,1,True
309,-470.0,585,0,1,True
310,-559.0,687,0,1,True
311,-581.0,724,0,1,True
312,-659.0,792,0,1,True
313,-503.0,641,0,1,True
314,-432.0,554,0,1,True
315,-528.0,659,0,1,True
316,-152.0,209,0,1,True
317,-1173.0,1413,0,1,True
318,-767.0,934,0,1,True
319,-904.0,1116,0,1,True
320,-595.0,739,0,1,True
321,-303.0,400,0,1,True
322,-612.0,728,0,1,True
323,-487.0,610,0,1,True
324,-257.0,341,0,1,True
325,-360.0,442,0,1,True
326,-882.0,1047,1,1,True
327,-429.0,543,0,1,True
328,-472.0,585,0,1,True
329,-510.0,636,0,1,True
330,-741.0,915,1,1,True
331,-382.0,474,0,1,True
332,-593.0,724,0,1,True
333,-729.0,905,1,1,True
334,-317.0,401,0,1,True
335,-520.0,652,1,1,True
336,-965.0,1152,0,1,True
337,-708.0,878,0,1,True
338,-772.0,955,0,1,True
339,-491.0,615,0,1,True
340,-894.0,1075,0,1,True
341,-874.0,1058,0,1,True
342,-592.0,742,0,1,True
343,-670.0,799,0,1,True
344,-251.0,334,0,1,True
345,-430.0,544,0,1,True
346,-514.0,641,0,1,True
347,-471.0,602,0,1,True
348,-538.0,674,1,1,True
349,-843.0,1015,0,1,True
350,-203.0,270,0,1,True
351,-303.0,388,0,1,True
352,-932.0,1121,0,1,True
353,-321.0,415,0,1,True
354,-319.0,414,0,1,True
355,-623.0,789,0,1,True
356,-911.0,1095,0,1,True
357,-875.0,1057,0,1,True
358,-202.0,274,0,1,True
359,-279.0,363,0,1,True
360,-401.0,506,0,1,True
361,-458.0,581,0,1,True
362,-521.0,636,0,1,True
363,-681.0,849,0,1,True
364,-795.0,971,0,1,True
365,-924.0,1108,0,1,True
366,-463.0,576,0,1,True
367,-597.0,728,0,1,True
368,-275.0,356,0,1,True
369,-506.0,655,0,1,True
370,-839.0,1027,0,1,True
371,-333.0,416,0,1,True
372,-450.0,565,0,1,True
373,-506.0,609,1,1,True
374,-566.0,699,0,1,True
375,-516.0,652,0,1,True
376,-404.0,511,0,1,True
377,-458.0,575,0,1,True
378,-258.0,342,0,1,True
379,-500.0,610,0,1,True
380,-327.0,424,0,1,True
381,-279.0,358,0,1,True
382,-405.0,510,0,1,True
383,-548.0,676,0,1,True
384,-464.0,585,0,1,True
385,-494.0,610,0,1,True
386,-929.0,1111,0,1,True
387,-268.0,354,0,1,True
388,-586.0,729,0,1,True
389,-492.0,625,0,1,True
390,-434.0,553,0,1,True
391,-71.0,102,0,1,True
392,-1017.0,1196,0,1,True
393,-839.0,1020,0,1,True
394,-375.0,479,0,1,True
395,-520.0,645,0,1,True
396,-855.0,1032,0,1,True
397,-706.0,882,0,1,True
398,-1278.0,1500,0,0,False
399,-283.0,368,0,1,True
400,-323.0,410,0,1,True
401,-642.0,793,0,1,True
402,-449.0,547,0,1,True
403,-121.0,168,0,1,True
404,-845.0,1023,0,1,True
405,-358.0,463,0,1,True
406,-392.0,489,0,1,True
407,-775.0,949,0,1,True
408,-415.0,521,0,1,True
409,-546.0,675,0,1,True
410,-786.0,965,0,1,True
411,-316.0,414,0,1,True
412,-430.0,537,0,1,True
413,-325.0,420,0,1,True
414,-438.0,558,0,1,True
415,-406.0,508,0,1,True
416,-753.0,937,0,1,True
417,-845.0,1033,0,1,True
418,-185.0,260,0,1,True
419,-796.0,963,0,1,True
420,-341.0,442,0,1,True
421,-591.0,704,1,1,True
422,-402.0,490,0,1,True
423,-864.0,1043,0,1,True
424,-596.0,727,0,1,True
425,-390.0,494,0,1,True
426,-414.0,527,0,1,True
427,-769.0,944,0,1,True
428,-743.0,906,0,1,True
429,-499.0,627,0,1,True
430,-315.0,395,1,1,True
431,-307.0,400,0,1,True
432,-268.0,359,0,1,True
433,-467.0,583,0,1,True
434,-378.0,487,0,1,True
435,-640.0,794,0,1,True
436,-315.0,417,0,1,True
437,-547.0,656,0,1,True
438,-1280.0,1500,0,0,False
439,-1202.0,1380,1,1,True
440,-592.0,716,0,1,True
441,-209.0,287,0,1,True
442,-527.0,639,0,1,True
443,-704.0,874,0,1,True
444,-827.0,1011,0,1,True
445,-436.0,558,0,1,True
446,-319.0,419,0,1,True
447,-590.0,719,0,1,True
448,-915.0,1101,0,1,True
