Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-1912.0,736,133,1,0,True
1,-2414.0,995,160,1,0,True
2,-1403.0,560,96,1,0,True
3,-755.0,308,52,1,0,True
4,-1263.0,501,87,1,0,True
5,-765.0,291,55,1,0,True
6,-211.0,115,13,1,0,True
7,-2314.0,922,157,1,0,True
8,-1406.0,554,97,1,0,True
9,-1730.0,698,117,1,0,True
10,-1181.0,464,82,1,0,True
11,-845.0,344,58,1,0,True
12,-2363.0,944,160,1,0,True
13,-1832.0,746,123,1,0,True
14,-1516.0,637,100,1,0,True
15,-1637.0,632,114,1,0,True
16,-854.0,344,59,1,0,True
17,-820.0,310,59,1,0,True
18,-2386.0,1003,156,1,0,True
19,-1021.0,439,67,1,0,True
20,-1742.0,710,117,1,0,True
21,-1131.0,495,73,1,0,True
22,-888.0,378,59,1,0,True
23,-1675.0,751,105,1,0,True
24,-2352.0,960,157,1,0,True
25,-1603.0,688,104,1,0,True
26,-1668.0,681,112,1,0,True
27,-936.0,336,69,1,0,True
28,-3570.0,1500,230,0,0,False
29,-2743.0,1234,170,1,0,True
30,-1486.0,607,100,1,0,True
31,-1362.0,654,81,1,0,True
32,-2207.0,851,153,1,0,True
33,-980.0,398,67,1,0,True
34,-469.0,202,32,1,0,True
35,-334.0,130,25,1,0,True
36,-1472.0,602,99,1,0,True
37,-1194.0,522,77,1,0,True
38,-1267.0,514,86,1,0,True
39,-1125.0,579,63,1,0,True
40,-1306.0,562,85,1,0,True
41,-763.0,307,53,1,0,True
42,-1608.0,693,104,1,0,True
43,-3106.0,1327,200,1,0,True
44,-2444.0,971,166,1,0,True
45,-2506.0,1042,165,1,0,True
46,-2459.0,995,165,1,0,True
47,-1159.0,505,75,1,0,True
48,-2697.0,1224,166,1,0,True
49,-2564.0,1046,171,1,0,True
50,-1337.0,548,90,1,0,True
51,-1418.0,602,93,1,0,True
52,-1664.0,686,111,1,0,True
53,-2551.0,1087,165,1,0,True
54,-1401.0,540,98,1,0,True
55,-1705.0,727,111,1,0,True
56,-1105.0,469,73,1,0,True
57,-1129.0,484,74,1,0,True
58,-1244.0,518,83,1,0,True
59,-1069.0,415,75,1,0,True
60,-1224.0,462,87,1,0,True
61,-1264.0,502,87,1,0,True
62,-1282.0,511,88,1,0,True
63,-1848.0,825,116,1,0,True
64,-1919.0,806,126,1,0,True
65,-2075.0,827,141,1,0,True
66,-766.0,310,53,1,0,True
67,-2156.0,845,148,1,0,True
68,-758.0,293,54,1,0,True
69,-1680.0,702,111,1,0,True
70,-1434.0,573,98,1,0,True
71,-2159.0,830,150,1,0,True
72,-2734.0,1225,170,1,0,True
73,-3345.0,1476,210,1,0,True
74,-1415.0,554,98,1,0,True
75,-1682.0,632,119,1,0,True
76,-1034.0,506,61,1,0,True
77,-2527.0,1054,166,1,0,True
78,-993.0,402,68,1,0,True
79,-2554.0,1171,156,1,0,True
80,-2056.0,835,138,1,0,True
81,-1340.0,560,89,1,0,True
82,-1132.0,451,78,1,0,True
83,-1296.0,543,86,1,0,True
84,-2309.0,917,157,1,0,True
85,-547.0,226,38,1,0,True
86,-2059.0,910,130,1,0,True
87,-1570.0,637,106,1,0,True
88,-732.0,285,52,1,0,True
89,-2083.0,835,141,1,0,True
90,-2105.0,839,143,1,0,True
91,-1516.0,601,104,1,0,True
92,-2648.0,1085,176,1,0,True
93,-2370.0,969,158,1,0,True
94,-2269.0,940,150,1,0,True
