Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,CliffWalking-v0,-391.5906,552.8193,178.9287,153.8473,2.1481,4.0704,0.0000,0.0000,0.0000,0.0000
RollbackOnly,CliffWalking-v0,-174.5115,151.4955,176.6526,155.3202,0.0023,0.0519,0.0000,0.0000,2.3688,4.7265
PrecedenceOnly,CliffWalking-v0,-417.3857,596.3598,189.1115,173.2405,2.3058,4.3145,0.0000,0.0000,0.0000,0.0000
ThresholdPeAgent,CliffWalking-v0,-407.9615,581.9031,185.4392,167.3043,2.2477,4.2299,0.0000,0.0000,0.0000,0.0000
Roll_Threshold,CliffWalking-v0,-174.0715,151.2192,175.8511,153.7161,0.0056,0.1057,0.0000,0.0000,2.3340,4.6771
Precedence_Th,CliffWalking-v0,-424.5766,602.7144,191.3920,174.5416,2.3554,4.3650,0.0000,0.0000,0.0000,0.0000
Precedence_R,CliffWalking-v0,-149.4560,150.9534,155.6753,162.0164,0.0023,0.0556,0.0000,0.0000,6.4470,12.4338
FullModel,CliffWalking-v0,-150.9398,151.8163,157.0752,162.5217,0.0035,0.0713,0.0000,0.0000,6.4819,12.4448
Baseline,Taxi-v3,-1644.4795,645.2413,678.1243,277.4599,109.6940,41.2748,0.9948,0.0719,0.0000,0.0000
RollbackOnly,Taxi-v3,-550.7934,238.3847,681.5115,277.8182,0.0325,0.1914,0.9948,0.0719,110.1198,41.1979
PrecedenceOnly,Taxi-v3,-1724.2115,742.4789,715.6202,326.6973,114.3568,46.5257,0.9819,0.1333,0.0000,0.0000
ThresholdPeAgent,Taxi-v3,-1647.1780,648.5559,679.5577,279.4006,109.8299,41.4368,0.9928,0.0845,0.0000,0.0000
Roll_Threshold,Taxi-v3,-553.6436,244.8505,684.2744,284.7670,0.0626,0.2696,0.9930,0.0834,110.3412,42.0403
Precedence_Th,Taxi-v3,-1671.9794,695.6050,694.4891,305.7800,110.9135,43.6752,0.9872,0.1124,0.0000,0.0000
Precedence_R,Taxi-v3,-582.2264,274.2669,716.2296,317.4263,0.0131,0.1293,0.9842,0.1247,113.4529,45.2225
FullModel,Taxi-v3,-569.5253,267.1467,701.4084,308.6909,0.0739,0.3001,0.9861,0.1171,111.8401,43.9927
