Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger, Status
0,-1517.0,656,98,1,True
1,-1813.0,781,117,1,True
2,-1469.0,599,99,1,True
3,-1052.0,380,77,1,True
4,-1471.0,601,99,1,True
5,-766.0,301,54,1,True
6,-778.0,304,55,1,True
7,-1491.0,576,104,1,True
8,-1219.0,493,83,1,True
9,-2632.0,1150,167,1,True
10,-943.0,388,64,1,True
11,-1342.0,562,89,1,True
12,-2376.0,984,157,1,True
13,-1481.0,611,99,1,True
14,-1711.0,742,110,1,True
15,-1852.0,793,120,1,True
16,-1330.0,577,86,1,True
17,-862.0,370,57,1,True
18,-2032.0,829,136,1,True
19,-1144.0,490,75,1,True
20,-1689.0,711,111,1,True
21,-1365.0,513,97,1,True
22,-1075.0,466,70,1,True
23,-1720.0,706,115,1,True
24,-2545.0,1063,167,1,True
25,-1343.0,572,88,1,True
26,-1933.0,766,132,1,True
27,-837.0,336,58,1,True
28,-1412.0,551,98,1,True
29,-2280.0,924,153,1,True
30,-939.0,393,63,1,True
31,-1142.0,515,72,1,True
32,-2419.0,1009,159,1,True
33,-1021.0,439,67,1,True
34,-486.0,219,32,1,True
35,-407.0,167,29,1,True
36,-1496.0,635,98,1,True
37,-3391.0,1423,221,1,True
38,-986.0,449,62,1,True
39,-1262.0,572,79,1,True
40,-1494.0,624,99,1,True
41,-698.0,287,48,1,True
42,-2393.0,974,160,1,True
43,-2141.0,848,146,1,True
44,-2317.0,970,152,1,True
45,-1595.0,635,109,1,True
46,-1593.0,660,106,1,True
47,-1443.0,591,97,1,True
48,-2020.0,790,139,1,True
49,-2438.0,938,169,1,True
50,-1212.0,522,79,1,True
51,-1165.0,511,75,1,True
52,-2868.0,1242,183,1,True
53,-2499.0,1080,160,1,True
54,-1382.0,521,98,1,True
55,-2498.0,1034,165,1,True
56,-880.0,352,61,1,True
57,-1067.0,404,76,1,True
58,-1227.0,519,81,1,True
59,-1970.0,830,129,1,True
60,-957.0,384,66,1,True
61,-1830.0,699,128,1,True
