Episode,TotalReward,Steps,Drop,Delivered,Rollbacks
0,-466.0,583,0,1,96
1,-816.0,991,1,1,163
2,-826.0,1000,0,0,174
3,-289.0,374,0,1,64
4,-285.0,366,0,1,60
5,-849.0,1000,1,0,160
6,-244.0,329,0,1,64
7,-487.0,590,0,1,82
8,-450.0,561,0,1,90
9,-792.0,973,0,1,160
10,-477.0,587,0,1,89
11,-370.0,472,0,1,81
12,-419.0,542,0,1,102
13,-546.0,669,0,1,102
14,-856.0,1000,0,0,144
15,-866.0,1000,1,0,143
16,-363.0,468,0,1,84
17,-452.0,566,0,1,93
18,-849.0,1000,0,0,151
19,-314.0,419,0,1,84
20,-848.0,1000,1,0,161
21,-562.0,698,0,1,115
22,-200.0,275,0,1,54
23,-364.0,464,0,1,79
24,-862.0,1000,0,0,138
25,-857.0,1000,0,0,143
26,-864.0,1000,0,0,136
27,-154.0,217,0,1,42
28,-798.0,971,0,1,152
29,-816.0,998,0,1,161
30,-172.0,229,0,1,36
31,-388.0,505,0,1,96
32,-843.0,1000,0,0,157
33,-242.0,326,0,1,63
34,-672.0,812,0,1,119
35,-196.0,270,0,1,53
36,-384.0,497,0,1,92
37,-430.0,553,0,1,102
38,-334.0,417,0,1,62
39,-548.0,654,0,1,85
40,-846.0,1000,0,0,154
41,-147.0,209,0,1,41
42,-853.0,1000,0,0,147
43,-835.0,1000,0,0,165
44,-451.0,557,0,1,85
45,-847.0,1000,0,0,153
46,-857.0,1000,0,0,143
47,-838.0,1000,0,0,162
48,-412.0,525,0,1,92
49,-768.0,940,0,1,151
50,-416.0,524,0,1,87
51,-421.0,539,0,1,97
52,-683.0,855,0,1,151
53,-734.0,904,0,1,149
54,-217.0,287,0,1,49
55,-475.0,601,0,1,105
56,-321.0,416,0,1,74
57,-440.0,556,0,1,95
58,-442.0,551,0,1,88
59,-838.0,1000,0,0,162
60,-297.0,378,0,1,60
61,-850.0,1000,0,0,150
62,-770.0,945,0,1,154
63,-772.0,945,0,1,152
64,-850.0,1000,1,0,159
65,-494.0,610,0,1,95
66,-313.0,394,0,1,60
67,-849.0,1000,0,0,151
68,-255.0,331,0,1,55
69,-302.0,386,0,1,63
70,-500.0,619,0,1,98
71,-837.0,1000,0,0,163
72,-777.0,935,1,1,146
73,-859.0,1000,0,0,141
74,-843.0,1000,0,0,157
75,-842.0,1000,0,0,158
76,-159.0,221,0,1,41
77,-397.0,521,0,1,103
78,-295.0,391,0,1,75
79,-436.0,542,0,1,85
80,-846.0,1000,0,0,154
81,-244.0,330,0,1,65
82,-515.0,657,0,1,121
83,-333.0,430,0,1,76
84,-675.0,833,0,1,137
85,-424.0,512,0,1,67
86,-871.0,1000,1,0,138
87,-842.0,1000,0,0,158
88,-148.0,204,0,1,35
89,-406.0,514,0,1,87
90,-837.0,1000,0,0,163
91,-841.0,1000,0,0,159
92,-858.0,1000,0,0,142
93,-468.0,586,0,1,97
94,-689.0,856,0,1,146
95,-499.0,609,0,1,89
96,-409.0,520,0,1,90
97,-249.0,336,0,1,66
98,-845.0,1000,0,0,155
99,-842.0,1000,0,0,158
100,-342.0,451,0,1,88
101,-834.0,1000,0,0,166
102,-704.0,838,0,1,113
103,-847.0,1000,1,0,162
104,-774.0,940,0,1,145
105,-617.0,752,1,1,123
106,-856.0,1000,1,0,153
107,-262.0,346,0,1,63
108,-835.0,1000,0,0,165
109,-841.0,1000,0,0,159
110,-841.0,1000,0,0,159
111,-368.0,459,0,1,70
112,-246.0,334,0,1,67
113,-753.0,924,0,1,150
114,-366.0,466,0,1,79
115,-443.0,561,0,1,97
116,-595.0,739,0,1,123
117,-250.0,332,0,1,61
118,-852.0,1000,0,0,148
