Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,Taxi-v3,-1628.1520,637.0758,671.9440,275.6258,108.5670,40.5937,0.9950,0.0705,0.0000,0.0000
0,Taxi-v3,-561.9980,252.6621,693.6320,294.0358,0.0610,0.2632,0.9940,0.0772,111.3090,43.3628
2,Taxi-v3,-569.3900,268.5341,701.5350,310.2723,0.0680,0.2709,0.9910,0.0944,111.9460,43.9400
4,Taxi-v3,-591.4820,278.0257,726.1920,321.2158,0.0880,0.3135,0.9860,0.1175,114.7960,45.5191
6,Taxi-v3,-591.5960,281.6971,727.1700,324.6403,0.0700,0.3116,0.9780,0.1467,115.6660,45.7659
8,Taxi-v3,-581.3440,284.7602,715.3450,328.5143,0.0640,0.2791,0.9810,0.1365,113.9760,46.3094
Baseline,CliffWalking-v0,-420.1410,574.4759,187.3920,160.5542,2.3510,4.2206,0.0000,0.0000,0.0000,0.0000
0,CliffWalking-v0,-180.8590,161.6377,183.7890,167.0053,0.0050,0.0835,0.0000,0.0000,3.4250,7.1992
2,CliffWalking-v0,-171.5660,147.8406,174.0170,152.5459,0.0060,0.0998,0.0000,0.0000,3.0450,6.7251
4,CliffWalking-v0,-179.3090,158.2799,182.1220,163.4162,0.0050,0.0947,0.0000,0.0000,3.3080,7.0669
6,CliffWalking-v0,-189.0690,172.9236,191.7480,177.0251,0.0110,0.1299,0.0000,0.0000,3.7680,7.6664
8,CliffWalking-v0,-189.9290,176.6284,193.3470,183.2563,0.0040,0.0999,0.0000,0.0000,3.8140,7.9339
