Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,CliffWalking-v0,-409.4320,562.5757,183.0190,155.1987,2.2870,4.1507,0.0000,0.0000,0.0000,0.0000
1.0,CliffWalking-v0,-183.4410,166.8442,186.9220,173.9450,0.0010,0.0316,0.0000,0.0000,3.5800,7.6287
0.9,CliffWalking-v0,-179.4520,159.3877,182.7280,165.9141,0.0010,0.0316,0.0000,0.0000,3.3750,7.0688
0.8,CliffWalking-v0,-190.2000,173.6065,192.9570,178.0847,0.0080,0.1181,0.0000,0.0000,3.5490,7.2654
0.7,CliffWalking-v0,-179.9840,157.5692,182.6670,162.7154,0.0030,0.0706,0.0000,0.0000,2.9800,6.1263
0.6,CliffWalking-v0,-176.2150,158.4674,178.4350,162.3760,0.0070,0.0946,0.0000,0.0000,2.9130,6.2429
0.5,CliffWalking-v0,-188.2670,169.7346,190.9910,174.2557,0.0050,0.0705,0.0000,0.0000,3.2190,6.1583
0.4,CliffWalking-v0,-176.3750,157.8205,178.0110,158.6327,0.0110,0.1972,0.0000,0.0000,2.7250,5.6977
0.3,CliffWalking-v0,-176.8650,158.2175,179.0660,162.2591,0.0040,0.0774,0.0000,0.0000,2.5970,5.4930
0.2,CliffWalking-v0,-181.6220,165.4357,183.4190,167.9073,0.0090,0.1446,0.0000,0.0000,2.6880,5.5388
0.1,CliffWalking-v0,-178.9420,161.2261,180.5700,162.7176,0.0090,0.1375,0.0000,0.0000,2.5190,5.0026
Baseline,Taxi-v3,-1657.9900,638.3272,684.1090,276.3593,110.5260,40.6916,0.9930,0.0834,0.0000,0.0000
1.0,Taxi-v3,-595.5500,275.9718,730.8250,318.7501,0.0750,0.2956,0.9890,0.1043,115.1810,44.9505
0.9,Taxi-v3,-593.1250,276.4867,728.4010,318.8773,0.0820,0.3182,0.9840,0.1255,115.3500,44.8441
0.8,Taxi-v3,-573.3010,269.4029,705.9380,311.4409,0.0640,0.2897,0.9880,0.1089,112.4650,44.1911
0.7,Taxi-v3,-589.8820,273.9480,724.2590,315.8469,0.0840,0.3331,0.9840,0.1255,114.4690,44.6029
0.6,Taxi-v3,-594.9000,278.3417,730.2940,320.6800,0.0800,0.3124,0.9760,0.1530,115.6180,45.3143
0.5,Taxi-v3,-580.7260,274.4532,714.5460,317.0606,0.0690,0.2797,0.9810,0.1365,113.8400,45.2309
0.4,Taxi-v3,-595.7270,276.8855,731.6270,319.8205,0.0650,0.2842,0.9840,0.1255,115.8210,45.3698
0.3,Taxi-v3,-594.2170,283.2200,729.6750,326.9499,0.0770,0.2984,0.9790,0.1434,115.5920,46.3600
0.2,Taxi-v3,-579.4010,275.5364,712.3690,318.1708,0.0660,0.2677,0.9780,0.1467,113.0240,45.2845
0.1,Taxi-v3,-590.2420,284.7036,725.1420,329.4605,0.0740,0.2907,0.9790,0.1434,115.0070,47.3634
