Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,CliffWalking-v0,-420.6430,575.2434,186.6070,160.4442,2.3640,4.2277,0.0000,0.0000,0.0000,0.0000
0,CliffWalking-v0,-152.6200,150.0119,159.0380,161.1550,0.0020,0.0447,0.0000,0.0000,6.6160,12.3035
0.1,CliffWalking-v0,-149.4210,152.3614,155.5890,163.0692,0.0030,0.0547,0.0000,0.0000,6.4650,12.3405
0.2,CliffWalking-v0,-185.3710,170.1374,189.7410,178.9071,0.0040,0.0631,0.0000,0.0000,4.7660,10.1509
0.3,CliffWalking-v0,-182.3260,167.1467,186.2590,174.7812,0.0040,0.0631,0.0000,0.0000,4.3290,9.1082
0.4,CliffWalking-v0,-188.9870,168.9616,192.6200,175.9209,0.0050,0.0835,0.0000,0.0000,4.1280,8.4426
0.5,CliffWalking-v0,-176.2100,151.5801,178.6670,156.6077,0.0070,0.0946,0.0000,0.0000,3.1500,6.7573
0.7,CliffWalking-v0,-183.9880,162.9443,186.6030,167.7896,0.0050,0.0705,0.0000,0.0000,3.1100,6.4582
0.8,CliffWalking-v0,-177.3010,149.6634,179.4850,153.4914,0.0050,0.0705,0.0000,0.0000,2.6790,5.4699
0.9,CliffWalking-v0,-181.1540,165.5333,183.5960,170.1111,0.0030,0.0547,0.0000,0.0000,2.7390,5.6932
1.0,CliffWalking-v0,-181.9540,166.1037,183.9100,168.8899,0.0060,0.1340,0.0000,0.0000,2.5500,5.1581
Baseline,Taxi-v3,-1666.7820,659.2877,689.2110,287.0784,110.9290,41.7577,0.9900,0.0995,0.0000,0.0000
0,Taxi-v3,-619.8660,293.8422,760.8950,338.7828,0.0710,0.2792,0.9610,0.1936,121.4870,48.6764
0.1,Taxi-v3,-623.6060,296.6252,764.7260,341.6937,0.0810,0.3073,0.9660,0.1812,121.5630,48.4360
0.2,Taxi-v3,-583.3870,267.7171,716.9280,309.4547,0.0660,0.2750,0.9910,0.0944,113.3240,44.0159
0.3,Taxi-v3,-583.1130,267.0275,716.3770,308.7287,0.0620,0.2686,0.9900,0.0995,113.0320,43.8935
0.4,Taxi-v3,-595.2510,282.9879,730.8740,327.5614,0.0820,0.3306,0.9810,0.1365,115.7600,47.2276
0.5,Taxi-v3,-582.1350,272.9655,715.7120,315.0962,0.0750,0.3056,0.9850,0.1216,113.5670,44.5297
0.6,Taxi-v3,-589.8510,275.9704,724.5610,318.8567,0.0740,0.2907,0.9870,0.1133,114.6490,45.2163
0.7,Taxi-v3,-597.4180,279.0225,733.2510,322.3472,0.0790,0.3417,0.9770,0.1499,116.0270,46.2730
0.8,Taxi-v3,-580.5490,275.2064,714.1830,318.2896,0.0830,0.3100,0.9860,0.1175,113.6750,45.6071
0.9,Taxi-v3,-580.6760,277.0482,713.3480,320.1212,0.0670,0.2802,0.9840,0.1255,112.6110,45.5452
1.0,Taxi-v3,-592.9310,282.6943,727.6440,325.7888,0.0790,0.3013,0.9870,0.1133,114.6970,45.7224
