Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,CliffWalking-v0,-384.0570,557.7031,175.0370,151.5093,2.0800,4.0358,0.0000,0.0000,0.0000,0.0000
1.2,CliffWalking-v0,-122.9260,26.8730,689.3400,56.3605,0.0000,0.0000,0.0000,0.0000,661.6140,54.3735
1.5,CliffWalking-v0,-158.1680,39.0188,686.2340,67.5018,0.0000,0.0000,0.0000,0.0000,622.7660,63.1075
2,CliffWalking-v0,-357.2580,138.1033,628.7060,164.9506,0.0000,0.0000,0.0000,0.0000,352.7480,69.6864
3,CliffWalking-v0,-183.8450,172.0036,182.5440,163.0943,0.0050,0.0947,0.0000,0.0000,3.3940,7.2048
4,CliffWalking-v0,-186.1040,185.7579,181.0430,165.3901,0.0320,0.2588,0.0000,0.0000,2.5070,5.0543
Baseline,Taxi-v3,-1623.5960,633.4433,669.1010,271.1919,108.3780,40.6345,0.9970,0.0547,0.0000,0.0000
1.2,Taxi-v3,-42.9770,15.8837,1430.9030,216.8154,0.0000,0.0000,0.1250,0.3307,1394.0510,210.8886
1.5,Taxi-v3,-141.3680,71.9775,1421.2300,227.6305,0.0000,0.0000,0.1540,0.3609,1285.0880,202.0102
2,Taxi-v3,-615.1750,219.1702,1340.7780,295.7231,0.0050,0.0835,0.3260,0.4687,725.5420,191.8272
3,Taxi-v3,-588.8060,279.1584,723.2520,321.2814,0.0810,0.3232,0.9770,0.1499,114.8880,45.6180
4,Taxi-v3,-587.8250,272.6023,710.8920,307.4465,1.1150,1.4127,0.9880,0.1089,112.4740,44.2836
