Episode,Total Reward,Steps,Falls
0,-80.0,80,0
1,-138.0,138,0
2,-90.0,90,0
3,-1291.0,400,9
4,-1192.0,400,8
5,-81.0,81,0
6,-93.0,93,0
7,-75.0,75,0
8,-177.0,177,0
9,-756.0,261,5
10,-128.0,128,0
11,-97.0,97,0
12,-602.0,206,4
13,-96.0,96,0
14,-503.0,206,3
15,-225.0,126,1
16,-1489.0,400,11
17,-417.0,219,2
18,-986.0,293,7
19,-92.0,92,0
20,-117.0,117,0
21,-157.0,157,0
22,-1291.0,400,9
23,-1687.0,400,13
24,-147.0,147,0
25,-85.0,85,0
26,-77.0,77,0
27,-72.0,72,0
28,-135.0,135,0
29,-159.0,159,0
30,-343.0,145,2
31,-577.0,181,4
32,-96.0,96,0
33,-179.0,179,0
34,-154.0,154,0
35,-1291.0,400,9
36,-358.0,160,2
37,-155.0,155,0
38,-1086.0,294,8
39,-354.0,156,2
40,-347.0,149,2
41,-404.0,206,2
42,-633.0,237,4
43,-604.0,208,4
44,-55.0,55,0
45,-120.0,120,0
46,-115.0,115,0
47,-81.0,81,0
48,-72.0,72,0
49,-73.0,73,0
50,-126.0,126,0
51,-87.0,87,0
52,-141.0,141,0
53,-133.0,133,0
54,-40.0,40,0
55,-1276.0,385,9
56,-153.0,153,0
57,-74.0,74,0
58,-1489.0,400,11
59,-71.0,71,0
60,-121.0,121,0
61,-54.0,54,0
62,-96.0,96,0
63,-115.0,115,0
64,-146.0,146,0
65,-122.0,122,0
66,-106.0,106,0
67,-340.0,142,2
68,-628.0,232,4
69,-253.0,154,1
70,-87.0,87,0
71,-89.0,89,0
72,-56.0,56,0
73,-78.0,78,0
74,-76.0,76,0
75,-76.0,76,0
76,-309.0,111,2
77,-85.0,85,0
78,-147.0,147,0
79,-930.0,336,6
80,-897.0,303,6
81,-501.0,204,3
82,-516.0,219,3
83,-87.0,87,0
84,-115.0,115,0
85,-382.0,184,2
86,-61.0,61,0
87,-149.0,149,0
88,-188.0,89,1
89,-643.0,247,4
90,-96.0,96,0
91,-867.0,273,6
92,-86.0,86,0
93,-1489.0,400,11
94,-246.0,147,1
95,-54.0,54,0
96,-80.0,80,0
97,-144.0,144,0
98,-143.0,143,0
99,-104.0,104,0
100,-171.0,171,0
101,-123.0,123,0
102,-56.0,56,0
103,-243.0,144,1
104,-69.0,69,0
105,-74.0,74,0
106,-1588.0,400,12
107,-105.0,105,0
108,-610.0,214,4
109,-136.0,136,0
110,-1044.0,351,7
111,-113.0,113,0
112,-1291.0,400,9
113,-1291.0,400,9
114,-616.0,220,4
115,-49.0,49,0
116,-503.0,206,3
117,-103.0,103,0
118,-180.0,180,0
119,-86.0,86,0
120,-62.0,62,0
121,-128.0,128,0
122,-94.0,94,0
123,-398.0,200,2
124,-862.0,268,6
125,-125.0,125,0
126,-112.0,112,0
127,-146.0,146,0
128,-84.0,84,0
129,-329.0,131,2
130,-77.0,77,0
131,-71.0,71,0
132,-86.0,86,0
133,-1489.0,400,11
134,-370.0,172,2
135,-134.0,134,0
136,-1286.0,395,9
137,-133.0,133,0
138,-191.0,92,1
139,-121.0,121,0
140,-127.0,127,0
141,-168.0,168,0
142,-106.0,106,0
143,-155.0,155,0
144,-111.0,111,0
145,-122.0,122,0
146,-709.0,214,5
147,-94.0,94,0
148,-890.0,296,6
149,-1192.0,400,8
150,-135.0,135,0
151,-76.0,76,0
152,-721.0,226,5
153,-744.0,249,5
154,-80.0,80,0
155,-291.0,192,1
156,-77.0,77,0
157,-51.0,51,0
158,-107.0,107,0
159,-1390.0,400,10
160,-371.0,173,2
161,-78.0,78,0
162,-90.0,90,0
163,-126.0,126,0
164,-377.0,179,2
165,-323.0,125,2
166,-172.0,172,0
167,-81.0,81,0
168,-588.0,192,4
169,-44.0,44,0
170,-151.0,151,0
171,-546.0,150,4
172,-140.0,140,0
173,-146.0,146,0
174,-105.0,105,0
175,-123.0,123,0
176,-120.0,120,0
177,-373.0,175,2
178,-68.0,68,0
179,-89.0,89,0
180,-71.0,71,0
181,-259.0,160,1
182,-122.0,122,0
183,-352.0,154,2
184,-373.0,175,2
185,-49.0,49,0
186,-145.0,145,0
187,-1390.0,400,10
188,-117.0,117,0
189,-55.0,55,0
190,-101.0,101,0
191,-1291.0,400,9
192,-1180.0,388,8
193,-1687.0,400,13
194,-129.0,129,0
195,-70.0,70,0
196,-78.0,78,0
197,-97.0,97,0
198,-530.0,233,3
199,-396.0,198,2
200,-142.0,142,0
201,-904.0,310,6
202,-358.0,160,2
203,-64.0,64,0
204,-258.0,159,1
205,-169.0,169,0
206,-86.0,86,0
207,-120.0,120,0
208,-137.0,137,0
209,-1291.0,400,9
210,-116.0,116,0
211,-358.0,160,2
212,-81.0,81,0
213,-361.0,163,2
214,-1489.0,400,11
215,-1390.0,400,10
216,-1489.0,400,11
217,-371.0,173,2
218,-115.0,115,0
219,-121.0,121,0
220,-116.0,116,0
221,-88.0,88,0
222,-94.0,94,0
223,-109.0,109,0
224,-361.0,163,2
225,-95.0,95,0
226,-80.0,80,0
227,-175.0,175,0
228,-107.0,107,0
229,-83.0,83,0
230,-350.0,152,2
231,-126.0,126,0
232,-120.0,120,0
233,-77.0,77,0
234,-141.0,141,0
235,-471.0,174,3
236,-1390.0,400,10
237,-163.0,163,0
238,-112.0,112,0
239,-742.0,247,5
240,-97.0,97,0
241,-634.0,238,4
242,-468.0,171,3
243,-86.0,86,0
244,-91.0,91,0
245,-72.0,72,0
246,-49.0,49,0
247,-108.0,108,0
248,-73.0,73,0
249,-1005.0,312,7
250,-143.0,143,0
251,-73.0,73,0
252,-1390.0,400,10
253,-743.0,248,5
254,-133.0,133,0
255,-105.0,105,0
256,-83.0,83,0
257,-871.0,277,6
258,-363.0,165,2
259,-149.0,149,0
260,-113.0,113,0
261,-216.0,117,1
262,-103.0,103,0
263,-168.0,168,0
264,-445.0,148,3
265,-134.0,134,0
266,-1091.0,398,7
267,-647.0,251,4
268,-125.0,125,0
269,-93.0,93,0
270,-395.0,197,2
271,-130.0,130,0
272,-110.0,110,0
273,-413.0,215,2
274,-54.0,54,0
275,-83.0,83,0
276,-44.0,44,0
277,-113.0,113,0
278,-802.0,208,6
279,-351.0,153,2
280,-486.0,189,3
281,-113.0,113,0
282,-636.0,240,4
283,-1291.0,400,9
284,-130.0,130,0
285,-119.0,119,0
286,-93.0,93,0
287,-1222.0,331,9
288,-113.0,113,0
289,-172.0,172,0
290,-107.0,107,0
291,-1390.0,400,10
292,-45.0,45,0
293,-368.0,170,2
294,-1291.0,400,9
295,-108.0,108,0
296,-108.0,108,0
297,-63.0,63,0
298,-75.0,75,0
299,-1475.0,386,11
300,-123.0,123,0
301,-361.0,163,2
302,-355.0,157,2
303,-111.0,111,0
304,-1586.0,398,12
305,-81.0,81,0
306,-112.0,112,0
307,-386.0,188,2
308,-57.0,57,0
309,-492.0,195,3
310,-344.0,146,2
311,-953.0,260,7
312,-105.0,105,0
313,-97.0,97,0
314,-345.0,147,2
315,-178.0,79,1
316,-99.0,99,0
317,-124.0,124,0
318,-62.0,62,0
319,-83.0,83,0
320,-92.0,92,0
321,-111.0,111,0
322,-117.0,117,0
323,-128.0,128,0
324,-77.0,77,0
325,-129.0,129,0
326,-126.0,126,0
327,-120.0,120,0
328,-70.0,70,0
329,-881.0,287,6
330,-77.0,77,0
331,-126.0,126,0
332,-128.0,128,0
333,-480.0,183,3
334,-318.0,120,2
335,-903.0,309,6
336,-115.0,115,0
337,-164.0,164,0
338,-646.0,250,4
339,-107.0,107,0
340,-1366.0,376,10
341,-292.0,193,1
342,-106.0,106,0
343,-385.0,187,2
344,-610.0,214,4
345,-50.0,50,0
346,-1588.0,400,12
347,-90.0,90,0
348,-1291.0,400,9
349,-1291.0,400,9
350,-1103.0,311,8
351,-106.0,106,0
352,-102.0,102,0
353,-1291.0,400,9
354,-121.0,121,0
355,-895.0,301,6
356,-164.0,164,0
357,-563.0,167,4
358,-410.0,212,2
359,-151.0,151,0
360,-194.0,95,1
361,-369.0,171,2
362,-102.0,102,0
363,-74.0,74,0
364,-451.0,154,3
365,-101.0,101,0
366,-97.0,97,0
367,-505.0,208,3
368,-111.0,111,0
369,-1390.0,400,10
370,-1588.0,400,12
371,-510.0,213,3
372,-117.0,117,0
373,-152.0,152,0
374,-166.0,166,0
375,-53.0,53,0
376,-85.0,85,0
377,-108.0,108,0
378,-124.0,124,0
379,-102.0,102,0
380,-85.0,85,0
381,-118.0,118,0
382,-371.0,173,2
383,-106.0,106,0
384,-79.0,79,0
385,-1291.0,400,9
386,-248.0,149,1
387,-886.0,292,6
388,-83.0,83,0
389,-252.0,153,1
390,-171.0,171,0
391,-41.0,41,0
392,-497.0,200,3
393,-57.0,57,0
394,-121.0,121,0
395,-97.0,97,0
396,-95.0,95,0
397,-76.0,76,0
398,-87.0,87,0
399,-69.0,69,0
400,-150.0,150,0
401,-133.0,133,0
402,-596.0,200,4
403,-105.0,105,0
404,-1588.0,400,12
405,-112.0,112,0
406,-143.0,143,0
407,-73.0,73,0
