Episode,Total Reward,Steps,Falls,Rollbacks
0,-6.0,400,0,394
1,-4.0,400,0,396
2,-5.0,400,0,395
3,-2.0,400,0,398
4,-8.0,400,0,392
5,-3.0,400,0,397
6,-10.0,400,0,390
7,-3.0,400,0,397
8,-3.0,400,0,397
9,-2.0,274,0,272
10,-4.0,400,0,396
11,-5.0,400,0,395
12,-3.0,400,0,397
13,-4.0,400,0,396
14,-16.0,400,0,384
15,-4.0,400,0,396
16,-1.0,400,0,399
17,-2.0,400,0,398
18,-8.0,400,0,392
19,-3.0,400,0,397
20,-4.0,400,0,396
21,-4.0,400,0,396
22,-7.0,400,0,393
23,-3.0,400,0,397
24,-8.0,400,0,392
25,-6.0,400,0,394
26,-4.0,400,0,396
27,-2.0,400,0,398
28,-2.0,400,0,398
29,-7.0,400,0,393
30,-4.0,400,0,396
31,-3.0,400,0,397
32,-5.0,400,0,395
33,-2.0,400,0,398
34,-3.0,400,0,397
35,-5.0,400,0,395
36,-3.0,341,0,338
37,-6.0,400,0,394
38,-3.0,400,0,397
39,-2.0,105,0,103
40,-3.0,159,0,156
41,-5.0,400,0,395
42,-2.0,218,0,216
43,-6.0,400,0,394
44,-3.0,400,0,397
45,-6.0,400,0,394
46,-4.0,268,0,264
47,-4.0,400,0,396
48,-4.0,400,0,396
49,-2.0,400,0,398
50,-2.0,336,0,334
51,-3.0,400,0,397
52,-2.0,242,0,240
53,-5.0,333,0,328
54,-4.0,400,0,396
55,-4.0,400,0,396
56,-2.0,266,0,264
57,-1.0,400,0,399
58,-4.0,400,0,396
59,-6.0,400,0,394
60,-4.0,400,0,396
61,-6.0,400,0,394
62,-3.0,400,0,397
63,-6.0,400,0,394
64,-3.0,400,0,397
65,-6.0,400,0,394
66,-4.0,400,0,396
67,-5.0,400,0,395
68,-3.0,400,0,397
69,-3.0,276,0,273
70,-3.0,373,0,370
71,-2.0,400,0,398
72,-8.0,400,0,392
73,-8.0,400,0,392
74,-6.0,400,0,394
75,-4.0,400,0,396
76,-3.0,339,0,336
77,-7.0,400,0,393
78,-7.0,400,0,393
79,-2.0,400,0,398
80,-4.0,400,0,396
81,-4.0,336,0,332
82,-2.0,400,0,398
83,-3.0,400,0,397
84,-3.0,400,0,397
85,-2.0,400,0,398
86,-7.0,339,0,332
87,-1.0,400,0,399
88,-6.0,400,0,394
89,-4.0,400,0,396
90,-2.0,400,0,398
91,-2.0,400,0,398
92,-6.0,400,0,394
93,-7.0,400,0,393
94,-1.0,400,0,399
95,-6.0,400,0,394
96,-4.0,400,0,396
97,-2.0,240,0,238
98,-5.0,400,0,395
99,-7.0,400,0,393
100,-8.0,400,0,392
101,-5.0,400,0,395
102,-2.0,400,0,398
103,-4.0,400,0,396
104,-3.0,400,0,397
105,-5.0,400,0,395
106,-3.0,228,0,225
107,-8.0,400,0,392
108,-10.0,400,0,390
109,-7.0,400,0,393
110,-4.0,400,0,396
111,-3.0,400,0,397
112,-10.0,400,0,390
113,-3.0,400,0,397
114,-5.0,400,0,395
115,-3.0,308,0,305
116,-3.0,286,0,283
117,-15.0,400,0,385
118,-4.0,270,0,266
119,-4.0,400,0,396
120,-5.0,400,0,395
121,-5.0,400,0,395
122,-3.0,400,0,397
123,-5.0,400,0,395
124,-4.0,274,0,270
125,-2.0,176,0,174
126,-4.0,400,0,396
127,-3.0,400,0,397
128,-4.0,400,0,396
129,-3.0,387,0,384
130,-4.0,400,0,396
131,-4.0,400,0,396
132,-8.0,400,0,392
133,-6.0,400,0,394
134,-3.0,400,0,397
135,-3.0,392,0,389
136,-13.0,400,0,387
137,-6.0,400,0,394
138,-3.0,400,0,397
139,-6.0,400,0,394
140,-6.0,293,0,287
141,-4.0,400,0,396
142,-7.0,400,0,393
143,-4.0,400,0,396
144,-6.0,400,0,394
145,-4.0,400,0,396
146,-5.0,400,0,395
147,-2.0,275,0,273
148,-2.0,400,0,398
149,-5.0,400,0,395
150,-3.0,400,0,397
151,-3.0,400,0,397
152,-3.0,400,0,397
153,-11.0,400,0,389
154,-7.0,400,0,393
155,-3.0,289,0,286
156,-7.0,400,0,393
157,-3.0,400,0,397
158,-4.0,400,0,396
159,-1.0,400,0,399
160,-12.0,400,0,388
161,-2.0,247,0,245
162,-11.0,400,0,389
163,-7.0,400,0,393
164,-5.0,400,0,395
165,-4.0,400,0,396
166,-3.0,400,0,397
167,-3.0,366,0,363
168,-10.0,400,0,390
169,-6.0,400,0,394
170,-5.0,400,0,395
171,-3.0,400,0,397
172,-5.0,400,0,395
173,-2.0,400,0,398
174,-3.0,400,0,397
175,-3.0,400,0,397
176,-5.0,358,0,353
177,-4.0,400,0,396
178,-2.0,400,0,398
179,-11.0,400,0,389
180,-3.0,400,0,397
181,-15.0,400,0,385
182,-4.0,296,0,292
183,-12.0,400,0,388
184,-3.0,400,0,397
185,-2.0,400,0,398
186,-4.0,400,0,396
187,-4.0,400,0,396
188,-5.0,400,0,395
189,-7.0,400,0,393
190,-2.0,400,0,398
191,-2.0,400,0,398
192,-3.0,400,0,397
193,-4.0,400,0,396
