Episode,Total Reward,Steps,Falls
0,-117.0,117,0
1,-112.0,112,0
2,-105.0,105,0
3,-71.0,71,0
4,-100.0,100,0
5,-107.0,107,0
6,-387.0,400,0
7,-94.0,94,0
8,-385.0,400,0
9,-166.0,167,0
10,-99.0,99,0
11,-130.0,130,0
12,-200.0,203,0
13,-384.0,400,0
14,-387.0,400,0
15,-196.0,200,0
16,-382.0,400,0
17,-136.0,136,0
18,-76.0,76,0
19,-385.0,400,0
20,-106.0,106,0
21,-185.0,188,0
22,-168.0,168,0
23,-123.0,125,0
24,-73.0,73,0
25,-117.0,117,0
26,-190.0,192,0
27,-74.0,74,0
28,-144.0,145,0
29,-175.0,175,0
30,-86.0,86,0
31,-68.0,68,0
32,-388.0,400,0
33,-360.0,371,0
34,-81.0,81,0
35,-175.0,177,0
36,-204.0,207,0
37,-386.0,400,0
38,-388.0,400,0
39,-132.0,132,0
40,-197.0,200,0
41,-350.0,362,0
42,-124.0,125,0
43,-383.0,400,0
44,-55.0,55,0
45,-85.0,85,0
46,-63.0,63,0
47,-139.0,139,0
48,-180.0,182,0
49,-113.0,113,0
50,-143.0,143,0
51,-224.0,228,0
52,-115.0,116,0
53,-181.0,181,0
54,-47.0,47,0
55,-92.0,92,0
56,-90.0,90,0
57,-181.0,186,0
58,-222.0,227,0
59,-154.0,154,0
60,-139.0,139,0
61,-157.0,157,0
62,-92.0,92,0
63,-386.0,400,0
64,-77.0,78,0
65,-69.0,69,0
66,-126.0,126,0
67,-176.0,177,0
68,-89.0,90,0
69,-111.0,111,0
70,-145.0,145,0
71,-185.0,187,0
72,-94.0,94,0
73,-122.0,122,0
74,-89.0,89,0
75,-95.0,96,0
76,-85.0,85,0
77,-53.0,53,0
78,-164.0,164,0
79,-176.0,176,0
80,-89.0,89,0
81,-146.0,146,0
82,-103.0,103,0
83,-179.0,182,0
84,-123.0,123,0
85,-387.0,400,0
86,-83.0,83,0
87,-107.0,107,0
88,-326.0,335,0
89,-80.0,80,0
90,-88.0,88,0
91,-388.0,400,0
92,-104.0,105,0
93,-105.0,105,0
94,-48.0,48,0
95,-80.0,80,0
96,-284.0,292,0
97,-348.0,361,0
98,-151.0,151,0
99,-49.0,49,0
100,-202.0,205,0
101,-386.0,400,0
102,-54.0,54,0
103,-114.0,114,0
104,-116.0,116,0
105,-386.0,400,0
106,-386.0,400,0
107,-134.0,134,0
108,-86.0,86,0
109,-95.0,95,0
110,-107.0,107,0
111,-113.0,113,0
112,-63.0,63,0
113,-75.0,75,0
114,-94.0,94,0
115,-386.0,400,0
116,-97.0,97,0
117,-131.0,131,0
118,-100.0,101,0
119,-67.0,67,0
120,-153.0,153,0
121,-382.0,400,0
122,-380.0,400,0
123,-130.0,130,0
124,-154.0,154,0
125,-97.0,98,0
126,-47.0,47,0
127,-172.0,175,0
128,-127.0,127,0
129,-81.0,81,0
130,-145.0,145,0
131,-383.0,400,0
132,-132.0,132,0
133,-74.0,74,0
134,-91.0,91,0
135,-102.0,102,0
136,-70.0,70,0
137,-96.0,96,0
138,-164.0,166,0
139,-384.0,400,0
140,-105.0,105,0
141,-85.0,85,0
142,-102.0,102,0
143,-92.0,92,0
144,-118.0,118,0
145,-89.0,89,0
146,-141.0,142,0
147,-202.0,205,0
148,-141.0,141,0
149,-103.0,103,0
150,-383.0,400,0
151,-106.0,106,0
152,-108.0,108,0
153,-66.0,66,0
154,-80.0,80,0
155,-90.0,90,0
156,-155.0,155,0
157,-297.0,305,0
158,-385.0,400,0
159,-101.0,101,0
160,-285.0,294,0
161,-117.0,117,0
162,-201.0,204,0
163,-169.0,171,0
164,-388.0,400,0
165,-95.0,95,0
166,-94.0,94,0
167,-62.0,62,0
168,-139.0,139,0
169,-200.0,203,0
170,-245.0,251,0
171,-68.0,68,0
172,-105.0,105,0
173,-73.0,73,0
174,-124.0,124,0
175,-85.0,86,0
176,-164.0,166,0
177,-103.0,103,0
178,-139.0,139,0
179,-129.0,129,0
180,-203.0,206,0
181,-322.0,333,0
182,-106.0,106,0
183,-160.0,160,0
184,-82.0,82,0
185,-182.0,186,0
186,-103.0,103,0
187,-198.0,200,0
188,-80.0,80,0
189,-386.0,400,0
190,-49.0,49,0
191,-135.0,135,0
192,-388.0,400,0
193,-124.0,124,0
194,-126.0,126,0
195,-121.0,121,0
196,-116.0,116,0
197,-53.0,53,0
198,-106.0,106,0
199,-106.0,106,0
200,-93.0,93,0
201,-381.0,400,0
202,-68.0,68,0
203,-105.0,105,0
204,-383.0,400,0
205,-197.0,199,0
206,-45.0,45,0
207,-110.0,110,0
208,-158.0,160,0
209,-154.0,154,0
210,-48.0,48,0
211,-109.0,109,0
212,-269.0,279,0
213,-121.0,121,0
214,-192.0,198,0
215,-62.0,62,0
216,-126.0,126,0
217,-384.0,400,0
218,-145.0,145,0
219,-93.0,93,0
220,-127.0,127,0
221,-253.0,261,0
222,-37.0,37,0
223,-386.0,400,0
224,-134.0,134,0
225,-172.0,174,0
226,-82.0,82,0
227,-172.0,172,0
228,-174.0,176,0
229,-112.0,112,0
230,-386.0,400,0
231,-105.0,106,0
232,-174.0,177,0
233,-208.0,212,0
234,-384.0,400,0
235,-137.0,140,0
236,-163.0,163,0
237,-122.0,122,0
238,-109.0,110,0
239,-384.0,400,0
240,-122.0,122,0
241,-129.0,129,0
242,-81.0,81,0
243,-42.0,42,0
244,-158.0,158,0
245,-129.0,129,0
246,-113.0,113,0
247,-93.0,93,0
248,-79.0,79,0
249,-105.0,105,0
250,-108.0,108,0
251,-88.0,89,0
252,-385.0,400,0
253,-108.0,109,0
254,-171.0,175,0
255,-126.0,126,0
256,-330.0,342,0
257,-65.0,65,0
258,-143.0,143,0
259,-98.0,98,0
260,-202.0,206,0
261,-385.0,400,0
262,-342.0,354,0
263,-115.0,115,0
264,-141.0,141,0
265,-338.0,346,0
266,-58.0,58,0
267,-90.0,90,0
268,-98.0,98,0
269,-159.0,160,0
270,-120.0,120,0
271,-134.0,134,0
272,-79.0,79,0
273,-86.0,86,0
274,-150.0,150,0
275,-301.0,311,0
276,-134.0,134,0
277,-105.0,106,0
278,-101.0,101,0
279,-167.0,167,0
280,-50.0,50,0
281,-126.0,126,0
282,-70.0,70,0
283,-117.0,117,0
284,-103.0,103,0
285,-63.0,63,0
286,-94.0,94,0
287,-137.0,138,0
288,-73.0,73,0
289,-131.0,131,0
290,-68.0,68,0
291,-97.0,97,0
292,-98.0,98,0
293,-385.0,400,0
294,-84.0,84,0
295,-109.0,109,0
296,-120.0,120,0
297,-189.0,191,0
298,-100.0,100,0
299,-189.0,194,0
300,-180.0,184,0
301,-338.0,348,0
302,-109.0,109,0
303,-230.0,239,0
304,-88.0,89,0
305,-133.0,133,0
306,-132.0,133,0
307,-195.0,198,0
308,-78.0,78,0
309,-66.0,66,0
310,-129.0,129,0
311,-110.0,110,0
312,-111.0,111,0
313,-129.0,129,0
314,-387.0,400,0
315,-101.0,101,0
316,-79.0,79,0
317,-59.0,59,0
318,-383.0,400,0
319,-86.0,86,0
320,-114.0,114,0
321,-385.0,400,0
322,-197.0,199,0
323,-71.0,71,0
324,-133.0,133,0
325,-55.0,55,0
326,-83.0,83,0
327,-85.0,85,0
328,-116.0,116,0
329,-132.0,132,0
330,-135.0,135,0
331,-100.0,100,0
332,-87.0,87,0
333,-107.0,107,0
334,-77.0,77,0
335,-177.0,180,0
336,-374.0,385,0
337,-148.0,150,0
338,-384.0,400,0
339,-190.0,195,0
340,-93.0,93,0
341,-387.0,400,0
342,-96.0,96,0
343,-94.0,94,0
344,-130.0,130,0
345,-130.0,130,0
346,-113.0,114,0
347,-95.0,95,0
348,-186.0,187,0
349,-94.0,94,0
350,-59.0,59,0
351,-136.0,139,0
352,-74.0,74,0
353,-76.0,76,0
354,-143.0,143,0
355,-99.0,99,0
356,-44.0,44,0
357,-118.0,118,0
358,-112.0,112,0
359,-147.0,147,0
360,-142.0,142,0
361,-99.0,99,0
362,-96.0,96,0
363,-108.0,108,0
364,-388.0,400,0
365,-176.0,176,0
366,-129.0,129,0
367,-209.0,215,0
368,-206.0,211,0
369,-92.0,92,0
370,-104.0,104,0
371,-90.0,90,0
