Episode,Total Reward,Steps,Falls,Rollbacks
0,-49.0,49,0,0
1,-176.0,77,1,0
2,-150.0,150,0,0
3,-1291.0,400,9,0
4,-364.0,166,2,0
5,-69.0,69,0,0
6,-378.0,180,2,0
7,-71.0,71,0,0
8,-118.0,118,0,0
9,-52.0,52,0,0
10,-1390.0,400,10,0
11,-122.0,122,0,0
12,-82.0,82,0,0
13,-69.0,69,0,0
14,-112.0,112,0,0
15,-102.0,102,0,0
16,-371.0,173,2,0
17,-63.0,63,0,0
18,-83.0,83,0,0
19,-90.0,90,0,0
20,-114.0,114,0,0
21,-1489.0,400,11,0
22,-116.0,116,0,0
23,-124.0,124,0,0
24,-328.0,130,2,0
25,-1390.0,400,10,0
26,-111.0,111,0,0
27,-1291.0,400,9,0
28,-51.0,51,0,0
29,-99.0,99,0,0
30,-178.0,178,0,0
31,-125.0,125,0,0
32,-157.0,157,0,0
33,-104.0,104,0,0
34,-197.0,98,1,0
35,-173.0,173,0,0
36,-100.0,100,0,0
37,-152.0,152,0,0
38,-118.0,118,0,0
39,-112.0,112,0,0
40,-130.0,130,0,0
41,-101.0,101,0,0
42,-155.0,155,0,0
43,-100.0,100,0,0
44,-121.0,121,0,0
45,-80.0,80,0,0
46,-47.0,47,0,0
47,-98.0,98,0,0
48,-1165.0,373,8,0
49,-104.0,104,0,0
50,-86.0,86,0,0
51,-130.0,130,0,0
52,-132.0,132,0,0
53,-155.0,155,0,0
54,-917.0,323,6,0
55,-117.0,117,0,0
56,-1002.0,309,7,0
57,-119.0,119,0,0
58,-83.0,83,0,0
59,-83.0,83,0,0
60,-109.0,109,0,0
61,-90.0,90,0,0
62,-1192.0,400,8,0
63,-360.0,162,2,0
64,-99.0,99,0,0
65,-1291.0,400,9,0
66,-202.0,103,1,0
67,-87.0,87,0,0
68,-69.0,69,0,0
69,-164.0,164,0,0
70,-380.0,182,2,0
71,-97.0,97,0,0
72,-55.0,55,0,0
73,-145.0,145,0,0
74,-92.0,92,0,0
75,-154.0,154,0,0
76,-360.0,162,2,0
77,-91.0,91,0,0
78,-650.0,254,4,0
79,-333.0,135,2,0
80,-101.0,101,0,0
81,-115.0,115,0,0
82,-396.0,198,2,0
83,-178.0,79,1,0
84,-103.0,103,0,0
85,-481.0,184,3,0
86,-78.0,78,0,0
87,-98.0,98,0,0
88,-76.0,76,0,0
89,-1291.0,400,9,0
90,-101.0,101,0,0
91,-87.0,87,0,0
92,-128.0,128,0,0
93,-384.0,186,2,0
94,-82.0,82,0,0
95,-187.0,88,1,0
96,-135.0,135,0,0
97,-1390.0,400,10,0
98,-122.0,122,0,0
99,-109.0,109,0,0
100,-74.0,74,0,0
101,-78.0,78,0,0
102,-95.0,95,0,0
