Episode,Total Reward,Steps,Falls,Rollbacks
0,-139.0,139,0,0
1,-175.0,178,0,3
2,-140.0,140,0,0
3,-109.0,109,0,0
4,-82.0,82,0,0
5,-68.0,68,0,0
6,-387.0,400,0,13
7,-92.0,92,0,0
8,-390.0,400,0,10
9,-135.0,136,0,1
10,-89.0,89,0,0
11,-90.0,90,0,0
12,-309.0,318,0,9
13,-232.0,238,0,6
14,-203.0,207,0,4
15,-487.0,400,1,12
16,-80.0,80,0,0
17,-127.0,127,0,0
18,-122.0,122,0,0
19,-107.0,107,0,0
20,-187.0,190,0,3
21,-82.0,82,0,0
22,-120.0,120,0,0
23,-78.0,78,0,0
24,-118.0,118,0,0
25,-123.0,123,0,0
26,-390.0,400,0,10
27,-126.0,126,0,0
28,-98.0,98,0,0
29,-118.0,118,0,0
30,-70.0,70,0,0
31,-155.0,155,0,0
32,-269.0,275,0,6
33,-131.0,132,0,1
34,-102.0,102,0,0
35,-122.0,122,0,0
36,-114.0,114,0,0
37,-126.0,127,0,1
38,-101.0,101,0,0
39,-392.0,400,0,8
40,-118.0,119,0,1
41,-106.0,107,0,1
42,-73.0,73,0,0
43,-150.0,150,0,0
44,-181.0,185,0,4
45,-144.0,144,0,0
46,-106.0,106,0,0
47,-255.0,261,0,6
48,-89.0,89,0,0
49,-392.0,400,0,8
50,-121.0,121,0,0
51,-121.0,122,0,1
52,-189.0,194,0,5
53,-94.0,94,0,0
54,-121.0,122,0,1
55,-114.0,114,0,0
56,-119.0,119,0,0
57,-189.0,191,0,2
58,-245.0,249,0,4
59,-96.0,96,0,0
60,-62.0,62,0,0
61,-116.0,117,0,1
62,-259.0,263,0,4
63,-177.0,180,0,3
64,-91.0,91,0,0
65,-183.0,183,0,0
66,-95.0,95,0,0
67,-203.0,205,0,2
68,-175.0,175,0,0
69,-240.0,246,0,6
70,-146.0,146,0,0
71,-118.0,118,0,0
72,-174.0,177,0,3
73,-97.0,97,0,0
74,-137.0,138,0,1
75,-112.0,112,0,0
76,-389.0,400,0,11
77,-130.0,130,0,0
78,-184.0,187,0,3
79,-110.0,110,0,0
80,-99.0,99,0,0
81,-83.0,83,0,0
82,-131.0,132,0,1
83,-251.0,256,0,5
84,-108.0,108,0,0
85,-115.0,115,0,0
86,-390.0,400,0,10
87,-118.0,118,0,0
88,-136.0,136,0,0
89,-275.0,282,0,7
90,-126.0,126,0,0
91,-120.0,120,0,0
92,-45.0,45,0,0
93,-93.0,94,0,1
94,-390.0,400,0,10
95,-198.0,200,0,2
96,-210.0,212,0,2
97,-138.0,138,0,0
98,-37.0,37,0,0
99,-222.0,227,0,5
100,-93.0,93,0,0
101,-78.0,78,0,0
102,-174.0,178,0,4
103,-140.0,140,0,0
104,-120.0,120,0,0
105,-392.0,400,0,8
106,-129.0,129,0,0
107,-167.0,169,0,2
108,-238.0,243,0,5
109,-120.0,120,0,0
110,-104.0,104,0,0
111,-111.0,111,0,0
112,-93.0,93,0,0
113,-127.0,127,0,0
114,-99.0,99,0,0
115,-91.0,91,0,0
116,-117.0,117,0,0
117,-249.0,255,0,6
118,-61.0,61,0,0
119,-110.0,110,0,0
120,-103.0,103,0,0
121,-180.0,182,0,2
122,-388.0,400,0,12
123,-98.0,98,0,0
124,-154.0,154,0,0
125,-379.0,290,1,10
126,-243.0,247,0,4
127,-252.0,257,0,5
128,-72.0,72,0,0
129,-104.0,106,0,2
130,-129.0,129,0,0
131,-214.0,219,0,5
132,-73.0,73,0,0
133,-126.0,129,0,3
134,-74.0,74,0,0
135,-106.0,106,0,0
136,-129.0,129,0,0
137,-389.0,400,0,11
138,-110.0,110,0,0
139,-96.0,96,0,0
140,-146.0,149,0,3
141,-97.0,97,0,0
142,-190.0,194,0,4
143,-78.0,78,0,0
144,-96.0,96,0,0
145,-58.0,58,0,0
146,-134.0,134,0,0
147,-102.0,102,0,0
148,-82.0,82,0,0
149,-40.0,40,0,0
150,-109.0,109,0,0
151,-202.0,206,0,4
152,-123.0,124,0,1
153,-83.0,83,0,0
154,-54.0,54,0,0
155,-91.0,91,0,0
156,-114.0,114,0,0
157,-139.0,139,0,0
158,-56.0,56,0,0
159,-173.0,178,0,5
160,-85.0,85,0,0
161,-90.0,90,0,0
162,-154.0,155,0,1
163,-147.0,147,0,0
164,-122.0,122,0,0
165,-142.0,142,0,0
166,-78.0,78,0,0
167,-77.0,77,0,0
168,-117.0,117,0,0
169,-208.0,216,0,8
170,-83.0,83,0,0
171,-238.0,243,0,5
172,-88.0,88,0,0
173,-115.0,115,0,0
174,-99.0,99,0,0
175,-186.0,189,0,3
176,-223.0,226,0,3
177,-110.0,110,0,0
178,-165.0,165,0,0
179,-156.0,156,0,0
180,-109.0,109,0,0
181,-125.0,125,0,0
182,-487.0,400,1,12
183,-110.0,110,0,0
184,-113.0,113,0,0
185,-54.0,54,0,0
186,-387.0,400,0,13
187,-388.0,400,0,12
188,-140.0,140,0,0
189,-140.0,141,0,1
190,-175.0,175,0,0
191,-164.0,165,0,1
192,-392.0,400,0,8
193,-92.0,92,0,0
194,-388.0,400,0,12
195,-391.0,400,0,9
196,-74.0,74,0,0
197,-72.0,72,0,0
198,-133.0,133,0,0
199,-125.0,125,0,0
200,-44.0,44,0,0
201,-346.0,355,0,9
