Episode,Total Reward,Steps,Falls
0,-136.0,137,0
1,-109.0,109,0
2,-93.0,93,0
3,-163.0,163,0
4,-70.0,70,0
5,-120.0,121,0
6,-75.0,75,0
7,-170.0,170,0
8,-129.0,130,0
9,-86.0,86,0
10,-66.0,66,0
11,-131.0,131,0
12,-121.0,121,0
13,-184.0,186,0
14,-171.0,174,0
15,-180.0,183,0
16,-150.0,150,0
17,-137.0,139,0
18,-390.0,400,0
19,-76.0,76,0
20,-389.0,400,0
21,-76.0,77,0
22,-90.0,90,0
23,-391.0,400,0
24,-110.0,110,0
25,-62.0,62,0
26,-98.0,98,0
27,-390.0,400,0
28,-203.0,205,0
29,-141.0,143,0
30,-95.0,96,0
31,-96.0,96,0
32,-120.0,120,0
33,-167.0,167,0
34,-389.0,400,0
35,-104.0,104,0
36,-115.0,115,0
37,-390.0,400,0
38,-152.0,153,0
39,-163.0,163,0
40,-387.0,400,0
41,-70.0,70,0
42,-112.0,113,0
43,-389.0,400,0
44,-53.0,53,0
45,-127.0,127,0
46,-168.0,168,0
47,-138.0,138,0
48,-108.0,108,0
49,-71.0,71,0
50,-104.0,104,0
51,-156.0,156,0
52,-92.0,92,0
53,-389.0,400,0
54,-74.0,74,0
55,-96.0,97,0
56,-147.0,147,0
57,-165.0,167,0
58,-93.0,93,0
59,-97.0,97,0
60,-390.0,400,0
61,-391.0,400,0
62,-89.0,89,0
63,-390.0,400,0
64,-134.0,135,0
65,-85.0,85,0
66,-105.0,105,0
67,-104.0,104,0
68,-151.0,153,0
69,-123.0,123,0
70,-84.0,84,0
71,-390.0,400,0
72,-391.0,400,0
73,-143.0,144,0
74,-390.0,400,0
75,-390.0,400,0
76,-66.0,66,0
77,-67.0,67,0
78,-132.0,134,0
79,-103.0,103,0
80,-102.0,102,0
81,-121.0,121,0
82,-102.0,102,0
83,-389.0,400,0
84,-389.0,397,0
85,-110.0,110,0
86,-82.0,82,0
87,-51.0,51,0
88,-388.0,400,0
89,-71.0,71,0
90,-104.0,104,0
91,-73.0,73,0
92,-298.0,305,0
93,-135.0,135,0
94,-60.0,60,0
95,-220.0,223,0
96,-132.0,133,0
97,-102.0,103,0
98,-133.0,135,0
99,-104.0,104,0
100,-83.0,83,0
101,-117.0,117,0
102,-174.0,174,0
103,-160.0,160,0
104,-146.0,150,0
105,-249.0,254,0
106,-139.0,139,0
107,-110.0,110,0
108,-390.0,400,0
109,-73.0,73,0
110,-98.0,98,0
111,-133.0,133,0
112,-96.0,96,0
113,-86.0,86,0
114,-94.0,94,0
115,-107.0,107,0
116,-104.0,106,0
117,-120.0,121,0
118,-390.0,400,0
119,-199.0,203,0
120,-162.0,162,0
121,-107.0,107,0
122,-95.0,95,0
123,-241.0,246,0
124,-215.0,219,0
125,-159.0,159,0
126,-391.0,400,0
127,-212.0,217,0
128,-166.0,166,0
129,-83.0,83,0
130,-391.0,400,0
131,-89.0,89,0
132,-81.0,81,0
133,-167.0,167,0
134,-150.0,150,0
135,-49.0,49,0
136,-391.0,400,0
137,-161.0,163,0
138,-100.0,100,0
139,-84.0,84,0
140,-122.0,122,0
141,-124.0,124,0
142,-241.0,248,0
143,-165.0,165,0
144,-53.0,53,0
145,-121.0,121,0
146,-93.0,93,0
147,-105.0,105,0
148,-315.0,324,0
149,-389.0,400,0
150,-311.0,318,0
151,-102.0,102,0
152,-113.0,113,0
153,-120.0,120,0
154,-120.0,120,0
155,-379.0,388,0
156,-390.0,400,0
157,-390.0,400,0
158,-130.0,130,0
159,-173.0,177,0
160,-79.0,79,0
161,-128.0,129,0
162,-108.0,108,0
163,-112.0,112,0
164,-179.0,184,0
165,-61.0,61,0
166,-105.0,105,0
167,-154.0,157,0
168,-95.0,95,0
169,-131.0,132,0
170,-96.0,96,0
171,-194.0,200,0
172,-212.0,217,0
173,-176.0,176,0
174,-152.0,153,0
175,-124.0,124,0
176,-86.0,86,0
177,-129.0,129,0
178,-111.0,111,0
179,-153.0,153,0
180,-145.0,145,0
181,-105.0,105,0
182,-58.0,58,0
183,-389.0,400,0
184,-193.0,196,0
185,-390.0,400,0
186,-130.0,130,0
187,-96.0,96,0
188,-101.0,101,0
189,-155.0,156,0
190,-389.0,400,0
191,-391.0,400,0
192,-69.0,69,0
193,-117.0,117,0
194,-136.0,136,0
195,-70.0,70,0
196,-105.0,105,0
197,-89.0,89,0
198,-42.0,42,0
199,-333.0,341,0
200,-114.0,114,0
201,-190.0,192,0
202,-171.0,174,0
203,-83.0,83,0
204,-119.0,119,0
205,-233.0,238,0
206,-70.0,70,0
207,-386.0,400,0
208,-172.0,172,0
209,-351.0,360,0
210,-86.0,86,0
211,-284.0,292,0
212,-388.0,400,0
213,-204.0,209,0
214,-193.0,197,0
215,-113.0,113,0
216,-73.0,73,0
217,-224.0,230,0
218,-56.0,56,0
219,-112.0,112,0
220,-137.0,138,0
221,-97.0,97,0
222,-148.0,148,0
223,-81.0,81,0
224,-180.0,180,0
225,-129.0,129,0
226,-149.0,149,0
227,-220.0,225,0
228,-141.0,141,0
229,-187.0,190,0
230,-392.0,400,0
231,-109.0,109,0
232,-148.0,152,0
233,-390.0,400,0
234,-94.0,94,0
235,-102.0,102,0
236,-203.0,208,0
237,-153.0,156,0
238,-227.0,231,0
239,-125.0,125,0
240,-384.0,393,0
241,-121.0,122,0
242,-100.0,101,0
243,-66.0,66,0
244,-177.0,182,0
245,-55.0,55,0
246,-147.0,151,0
247,-108.0,108,0
248,-390.0,400,0
249,-389.0,400,0
250,-389.0,400,0
251,-142.0,142,0
252,-60.0,60,0
253,-149.0,149,0
254,-102.0,102,0
255,-92.0,92,0
256,-390.0,400,0
257,-173.0,175,0
258,-119.0,119,0
259,-117.0,117,0
260,-115.0,115,0
261,-102.0,103,0
262,-155.0,155,0
263,-124.0,125,0
264,-132.0,132,0
265,-128.0,128,0
266,-140.0,140,0
267,-57.0,57,0
268,-110.0,111,0
269,-117.0,119,0
270,-105.0,105,0
271,-103.0,104,0
272,-137.0,137,0
273,-113.0,113,0
274,-59.0,59,0
275,-177.0,177,0
276,-326.0,333,0
277,-387.0,400,0
278,-158.0,158,0
279,-181.0,181,0
280,-136.0,137,0
281,-384.0,393,0
282,-155.0,157,0
283,-57.0,57,0
284,-109.0,109,0
285,-76.0,76,0
286,-63.0,63,0
287,-122.0,123,0
288,-123.0,123,0
289,-133.0,133,0
290,-82.0,82,0
291,-89.0,89,0
292,-77.0,77,0
293,-107.0,107,0
294,-99.0,100,0
295,-108.0,108,0
296,-215.0,219,0
297,-97.0,97,0
298,-168.0,170,0
299,-129.0,130,0
300,-104.0,105,0
301,-96.0,96,0
302,-131.0,132,0
303,-120.0,120,0
304,-147.0,147,0
305,-389.0,400,0
306,-118.0,118,0
307,-386.0,400,0
308,-83.0,83,0
309,-190.0,192,0
310,-153.0,153,0
311,-69.0,69,0
312,-155.0,156,0
313,-97.0,97,0
314,-103.0,103,0
315,-103.0,104,0
316,-62.0,62,0
317,-118.0,119,0
318,-139.0,140,0
319,-288.0,296,0
320,-123.0,123,0
321,-102.0,102,0
322,-47.0,48,0
323,-175.0,178,0
324,-126.0,126,0
325,-392.0,400,0
326,-79.0,79,0
327,-129.0,129,0
328,-143.0,143,0
329,-133.0,133,0
330,-117.0,117,0
331,-144.0,144,0
332,-179.0,179,0
333,-171.0,171,0
334,-50.0,50,0
335,-388.0,400,0
336,-52.0,52,0
337,-122.0,122,0
338,-283.0,291,0
339,-140.0,141,0
340,-126.0,126,0
341,-150.0,150,0
342,-111.0,111,0
343,-139.0,139,0
344,-145.0,146,0
345,-155.0,155,0
346,-88.0,88,0
347,-118.0,118,0
348,-90.0,90,0
349,-76.0,76,0
350,-106.0,106,0
351,-131.0,132,0
352,-77.0,77,0
353,-391.0,400,0
354,-99.0,100,0
355,-107.0,107,0
356,-147.0,147,0
357,-125.0,126,0
358,-388.0,400,0
359,-81.0,81,0
360,-78.0,78,0
361,-105.0,105,0
362,-80.0,80,0
363,-390.0,400,0
364,-138.0,138,0
365,-289.0,295,0
366,-64.0,64,0
367,-115.0,115,0
368,-390.0,400,0
369,-173.0,176,0
370,-104.0,104,0
371,-234.0,239,0
372,-105.0,105,0
373,-100.0,100,0
374,-388.0,400,0
375,-97.0,97,0
376,-299.0,305,0
377,-127.0,127,0
378,-59.0,59,0
379,-149.0,149,0
380,-119.0,120,0
381,-69.0,69,0
382,-390.0,400,0
383,-266.0,272,0
384,-71.0,71,0
