Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-2087.0,821,143,1
1,-1383.0,522,98,1
2,-2440.0,1000,160,0
3,-1037.0,428,70,1
4,-1551.0,663,101,1
5,-858.0,312,63,1
6,-988.0,352,73,1
7,-1510.0,613,102,1
8,-2047.0,817,139,1
9,-2204.0,884,149,1
10,-411.0,180,28,1
11,-1106.0,443,76,1
12,-2337.0,981,153,1
13,-2512.0,1000,168,0
14,-1473.0,612,98,1
15,-2309.0,953,153,1
16,-1155.0,429,83,1
17,-950.0,386,65,1
18,-1420.0,568,97,1
19,-2656.0,1000,184,0
20,-1730.0,707,116,1
21,-2449.0,1000,161,0
22,-1516.0,637,100,1
23,-2288.0,932,153,1
24,-2463.0,999,165,1
25,-1782.0,750,117,1
26,-2521.0,1000,169,0
27,-1045.0,400,74,1
28,-1536.0,603,106,1
29,-2146.0,889,142,1
30,-1378.0,562,93,1
31,-1221.0,522,80,1
32,-1476.0,552,105,1
33,-758.0,284,55,1
34,-470.0,203,32,1
35,-553.0,223,39,1
36,-1064.0,491,66,1
37,-1472.0,593,100,1
38,-977.0,404,66,1
39,-1290.0,519,88,1
40,-913.0,376,62,1
41,-1322.0,605,82,1
42,-2030.0,836,135,1
43,-1740.0,726,115,1
44,-1253.0,473,89,1
45,-1504.0,634,99,1
46,-1366.0,523,96,1
47,-1836.0,759,122,1
48,-1411.0,577,95,1
49,-1550.0,626,105,1
50,-2008.0,886,127,1
51,-2458.0,1000,162,0
52,-2238.0,882,153,1
53,-2298.0,888,159,1
54,-1028.0,428,69,1
55,-2241.0,939,147,1
56,-883.0,400,56,1
57,-1033.0,460,66,1
58,-562.0,232,39,1
59,-1386.0,588,91,1
60,-862.0,343,60,1
61,-2350.0,1000,150,0
62,-1272.0,501,88,1
63,-2148.0,837,148,1
64,-1803.0,798,114,1
65,-1077.0,414,76,1
66,-936.0,372,65,1
67,-2095.0,784,148,1
68,-1270.0,571,80,1
69,-1613.0,671,107,1
70,-1327.0,502,94,1
71,-2192.0,881,148,1
72,-1588.0,682,103,1
73,-2575.0,1000,175,0
74,-1474.0,595,100,1
75,-2419.0,991,161,1
76,-1175.0,467,81,1
77,-1236.0,537,80,1
78,-1200.0,510,79,1
79,-2534.0,953,178,1
80,-1653.0,675,111,1
81,-1256.0,530,83,1
82,-2298.0,960,151,1
83,-1333.0,625,81,1
84,-2359.0,1000,151,0
85,-590.0,242,41,1
86,-1389.0,573,93,1
87,-2250.0,930,149,1
88,-1146.0,510,73,1
89,-1871.0,731,129,1
90,-2356.0,946,159,1
91,-1242.0,516,83,1
92,-1592.0,632,109,1
93,-1493.0,632,98,1
94,-2350.0,1000,150,0
95,-1161.0,525,73,1
96,-827.0,344,56,1
97,-1144.0,436,81,1
98,-2059.0,892,132,1
99,-2431.0,1000,159,0
100,-1270.0,535,84,1
101,-2386.0,958,161,1
102,-1396.0,571,94,1
103,-2156.0,881,144,1
104,-2032.0,865,132,1
105,-1828.0,742,123,1
106,-1078.0,505,66,1
107,-2411.0,983,161,1
108,-1679.0,665,115,1
109,-2503.0,1000,167,0
110,-1318.0,520,91,1
111,-1137.0,492,74,1
112,-1115.0,506,70,1
113,-1583.0,731,97,1
114,-1358.0,542,93,1
115,-1535.0,566,110,1
116,-2485.0,1000,165,0
117,-1276.0,550,83,1
118,-2422.0,1000,158,0
119,-1221.0,486,84,1
120,-2233.0,1000,137,0
121,-1892.0,734,131,1
122,-725.0,296,50,1
123,-2428.0,982,163,1
124,-2404.0,1000,156,0
125,-1523.0,608,104,1
126,-725.0,278,52,1
127,-1498.0,619,100,1
128,-783.0,291,57,1
129,-2378.0,950,161,1
130,-1676.0,680,113,1
131,-827.0,335,57,1
132,-1530.0,633,102,1
133,-1621.0,688,106,1
134,-1258.0,532,83,1
135,-2242.0,904,151,1
136,-1252.0,526,83,1
137,-992.0,338,75,1
138,-1832.0,782,119,1
139,-1021.0,376,74,1
140,-2119.0,898,138,1
141,-925.0,361,65,1
142,-1422.0,579,96,1
143,-2008.0,823,134,1
144,-2386.0,1000,154,0
145,-1584.0,615,110,1
146,-1683.0,741,107,1
147,-1289.0,554,84,1
148,-2336.0,971,154,1
149,-1554.0,648,103,1
150,-965.0,356,70,1
151,-1658.0,671,112,1
152,-753.0,288,54,1
153,-2251.0,940,148,1
154,-2323.0,967,153,1
155,-2234.0,878,153,1
156,-797.0,305,57,1
157,-1449.0,561,101,1
158,-1461.0,573,101,1
159,-903.0,384,60,1
160,-691.0,280,48,1
161,-1332.0,552,89,1
162,-2206.0,1000,134,0
163,-510.0,216,35,1
164,-2109.0,870,140,1
165,-1354.0,601,86,1
166,-1185.0,486,80,1
167,-846.0,309,62,1
168,-1627.0,649,111,1
169,-1376.0,560,93,1
170,-1336.0,583,86,1
171,-943.0,370,66,1
172,-1489.0,583,103,1
173,-1203.0,459,85,1
174,-1593.0,678,104,1
175,-1609.0,685,105,1
176,-1736.0,659,122,1
177,-952.0,406,63,1
178,-1719.0,687,117,1
179,-2350.0,1000,150,0
180,-1677.0,726,108,1
181,-1523.0,644,100,1
182,-778.0,295,56,1
183,-2211.0,909,147,1
184,-984.0,411,66,1
185,-1029.0,393,73,1
186,-2332.0,1000,148,0
187,-2395.0,1000,155,0
188,-1553.0,647,103,1
189,-1166.0,458,81,1
190,-2376.0,948,161,1
191,-2530.0,1000,170,0
192,-961.0,397,65,1
193,-2413.0,1000,157,0
194,-2422.0,940,167,1
195,-1130.0,476,75,1
196,-2327.0,980,152,1
197,-2168.0,848,149,1
198,-1599.0,666,106,1
199,-893.0,365,61,1
200,-1367.0,542,94,1
201,-2278.0,1000,142,0
202,-1913.0,818,124,1
203,-1608.0,693,104,1
204,-2341.0,967,155,1
205,-1281.0,510,88,1
206,-1567.0,652,104,1
207,-1136.0,446,79,1
208,-957.0,366,68,1
209,-1158.0,414,85,1
210,-2332.0,1000,148,0
211,-1375.0,532,96,1
212,-2314.0,1000,146,0
213,-2431.0,1000,159,0
214,-2397.0,987,159,1
215,-2045.0,869,133,1
216,-1744.0,658,123,1
217,-832.0,313,60,1
218,-1653.0,693,109,1
219,-2251.0,1000,139,0
220,-2410.0,991,160,1
221,-1908.0,714,135,1
222,-947.0,374,66,1
223,-1572.0,657,104,1
224,-1469.0,617,97,1
225,-2449.0,1000,161,0
226,-2377.0,1000,153,0
227,-1087.0,487,69,1
228,-1267.0,586,78,1
229,-2485.0,1000,165,0
230,-594.0,246,41,1
231,-1206.0,462,85,1
232,-635.0,251,45,1
233,-2085.0,837,141,1
234,-1284.0,522,87,1
235,-858.0,312,63,1
236,-920.0,374,63,1
237,-1216.0,544,77,1
238,-2323.0,1000,147,0
239,-1871.0,776,124,1
240,-643.0,250,46,1
241,-1321.0,532,90,1
242,-1409.0,530,100,1
243,-2395.0,1000,155,0
244,-2305.0,1000,145,0
245,-796.0,313,56,1
246,-2173.0,871,147,1
247,-1663.0,649,115,1
248,-1959.0,882,122,1
249,-1305.0,543,87,1
250,-1025.0,407,71,1
251,-2404.0,1000,156,0
252,-2485.0,1000,165,0
253,-2215.0,850,154,1
254,-2483.0,992,168,1
255,-677.0,266,48,1
256,-1319.0,557,87,1
257,-1375.0,577,91,1
258,-1593.0,588,114,1
259,-2359.0,1000,151,0
260,-1923.0,738,134,1
261,-2352.0,969,156,1
262,-1496.0,635,98,1
263,-681.0,270,48,1
264,-1395.0,624,88,1
265,-667.0,265,47,1
266,-811.0,310,58,1
267,-1186.0,469,82,1
268,-2467.0,1000,163,0
269,-1563.0,639,105,1
270,-1420.0,604,93,1
271,-1006.0,406,69,1
272,-1248.0,531,82,1
273,-1524.0,591,106,1
274,-1889.0,731,131,1
275,-914.0,350,65,1
276,-219.0,114,14,1
277,-1288.0,544,85,1
278,-878.0,341,62,1
279,-2368.0,1000,152,0
280,-1694.0,662,117,1
281,-1279.0,490,90,1
282,-2432.0,950,167,1
283,-2377.0,922,164,1
284,-2368.0,1000,152,0
285,-1520.0,668,97,1
286,-1391.0,602,90,1
287,-1778.0,710,121,1
288,-1860.0,765,124,1
289,-2467.0,1000,163,0
290,-2338.0,955,156,1
291,-2072.0,797,144,1
292,-2224.0,1000,136,0
293,-1560.0,645,104,1
294,-1009.0,382,72,1
295,-1333.0,580,86,1
296,-1541.0,617,105,1
297,-955.0,391,65,1
298,-2186.0,875,148,1
299,-2557.0,1000,173,0
300,-2040.0,819,138,1
301,-1560.0,618,107,1
302,-1831.0,718,126,1
303,-2431.0,1000,159,0
304,-1545.0,621,105,1
305,-931.0,358,66,1
306,-1083.0,384,80,1
307,-2476.0,1000,164,0
308,-779.0,305,55,1
309,-1364.0,521,96,1
310,-2156.0,863,146,1
311,-1418.0,566,97,1
312,-1327.0,538,90,1
313,-1702.0,760,107,1
314,-1425.0,573,97,1
315,-2332.0,931,158,1
316,-1096.0,433,76,1
317,-1925.0,812,126,1
318,-2377.0,1000,153,0
319,-2494.0,994,169,1
320,-1964.0,761,136,1
321,-594.0,237,42,1
322,-1318.0,511,92,1
323,-1409.0,530,100,1
324,-1130.0,440,79,1
325,-1244.0,518,83,1
326,-1395.0,570,94,1
327,-1574.0,677,102,1
328,-1395.0,579,93,1
329,-2278.0,1000,142,0
330,-1938.0,861,122,1
331,-612.0,246,43,1
332,-2386.0,985,158,1
333,-2308.0,916,157,1
334,-1118.0,455,76,1
335,-1470.0,591,100,1
336,-2341.0,1000,149,0
337,-1297.0,562,84,1
338,-2350.0,1000,150,0
339,-1730.0,725,114,1
340,-1721.0,662,120,1
341,-2449.0,1000,161,0
342,-2278.0,1000,142,0
343,-1203.0,486,82,1
344,-1189.0,526,76,1
345,-1257.0,495,87,1
346,-1545.0,684,98,1
347,-1410.0,576,95,1
348,-1765.0,715,119,1
349,-1627.0,604,116,1
350,-852.0,333,60,1
351,-979.0,415,65,1
352,-1384.0,523,98,1
353,-1345.0,547,91,1
354,-1358.0,614,85,1
355,-1299.0,519,89,1
356,-1388.0,590,91,1
357,-1569.0,627,107,1
358,-882.0,381,58,1
359,-831.0,321,59,1
360,-1001.0,419,67,1
361,-1528.0,631,102,1
362,-951.0,450,58,1
363,-2494.0,1000,166,0
364,-1664.0,677,112,1
365,-2464.0,1000,165,1
366,-1432.0,562,99,1
367,-1295.0,542,86,1
368,-998.0,398,69,1
369,-1962.0,777,134,1
370,-2204.0,857,152,1
371,-894.0,339,64,1
372,-2354.0,962,157,1
373,-956.0,401,64,1
374,-2317.0,970,152,1
375,-1848.0,789,120,1
376,-1209.0,492,82,1
377,-1160.0,488,77,1
378,-1426.0,529,102,1
379,-1121.0,422,80,1
380,-993.0,366,72,1
381,-1374.0,540,95,1
382,-1591.0,658,106,1
383,-1464.0,603,98,1
384,-1034.0,371,76,1
385,-2386.0,1000,154,0
386,-1599.0,684,104,1
387,-965.0,392,66,1
388,-1515.0,636,100,1
389,-1271.0,500,88,1
390,-1246.0,520,83,1
391,-548.0,236,37,1
392,-2647.0,1000,183,0
393,-2476.0,1000,164,0
394,-1324.0,544,89,1
395,-1526.0,611,104,1
396,-1741.0,700,118,1
397,-1502.0,605,102,1
398,-524.0,239,34,1
399,-1449.0,633,93,1
400,-2105.0,875,139,1
401,-1950.0,747,136,1
402,-1544.0,746,91,1
403,-103.0,61,7,1
404,-874.0,355,60,1
405,-1235.0,482,86,1
406,-1235.0,527,81,1
407,-2295.0,930,154,1
408,-1797.0,747,119,1
409,-2431.0,1000,159,0
410,-1915.0,784,128,1
411,-2365.0,1000,154,1
412,-1402.0,568,95,1
413,-529.0,226,36,1
414,-881.0,308,66,1
415,-2395.0,1000,155,0
416,-1393.0,550,96,1
417,-1027.0,418,70,1
418,-2469.0,978,168,1
419,-2503.0,994,170,1
420,-697.0,259,51,1
421,-1124.0,497,72,1
422,-1116.0,417,80,1
423,-1473.0,630,96,1
424,-2456.0,983,166,1
425,-2395.0,1000,155,0
426,-1171.0,535,73,1
427,-1511.0,632,100,1
428,-1866.0,708,131,1
429,-1890.0,786,125,1
430,-1436.0,584,97,1
431,-1127.0,464,76,1
432,-1112.0,440,77,1
433,-881.0,353,61,1
434,-1736.0,740,113,1
435,-900.0,381,60,1
436,-1436.0,539,102,1
437,-2165.0,890,144,1
438,-1045.0,436,70,1
439,-1729.0,679,119,1
440,-2400.0,981,160,1
441,-1125.0,444,78,1
442,-1308.0,519,90,1
443,-2403.0,957,163,1
444,-2485.0,1000,165,0
445,-2226.0,933,146,1
446,-2494.0,1000,166,0
447,-2223.0,894,150,1
448,-1853.0,731,127,1
449,-1236.0,501,84,1
450,-2413.0,1000,157,0
451,-2227.0,880,152,1
452,-2350.0,1000,150,0
453,-2386.0,1000,154,0
454,-1416.0,573,96,1
455,-2238.0,909,150,1
456,-1713.0,708,114,1
457,-1579.0,628,108,1
458,-1629.0,660,110,1
459,-1636.0,685,108,1
460,-1125.0,471,75,1
461,-933.0,360,66,1
462,-1693.0,679,115,1
463,-1784.0,698,123,1
464,-2368.0,1000,152,0
465,-2359.0,940,160,1
466,-1424.0,581,96,1
467,-1345.0,538,92,1
468,-525.0,204,38,1
469,-1981.0,877,125,1
470,-1627.0,685,107,1
471,-1096.0,424,77,1
472,-554.0,215,40,1
473,-2408.0,953,164,1
474,-2251.0,895,153,1
475,-890.0,362,61,1
476,-1940.0,818,127,1
477,-1568.0,662,103,1
478,-1320.0,531,90,1
479,-1109.0,392,82,1
480,-1207.0,535,77,1
481,-2366.0,956,159,1
482,-1047.0,438,70,1
483,-988.0,469,60,1
484,-2404.0,1000,156,0
485,-1509.0,621,101,1
486,-1456.0,577,100,1
487,-1757.0,752,114,1
488,-1458.0,579,100,1
489,-2386.0,1000,154,0
490,-1522.0,670,97,1
491,-1450.0,616,95,1
492,-1143.0,471,77,1
493,-1402.0,568,95,1
494,-2391.0,972,160,1
495,-2182.0,970,137,1
496,-874.0,373,58,1
497,-1417.0,610,92,1
498,-465.0,180,34,1
499,-1471.0,592,100,1
500,-1423.0,580,96,1
501,-631.0,247,45,1
502,-527.0,206,38,1
503,-2314.0,1000,146,0
504,-2341.0,1000,149,0
505,-2485.0,1000,165,0
506,-2368.0,1000,152,0
507,-1294.0,568,83,1
508,-961.0,397,65,1
509,-1333.0,571,87,1
510,-1572.0,639,106,1
511,-2205.0,849,153,1
512,-1271.0,491,89,1
513,-1092.0,483,70,1
514,-2004.0,819,134,1
515,-940.0,430,59,1
516,-1879.0,793,123,1
517,-1060.0,433,72,1
518,-2379.0,996,156,1
519,-2097.0,849,141,1
520,-1331.0,542,90,1
521,-2323.0,1000,147,0
522,-1918.0,814,125,1
523,-1186.0,433,86,1
524,-1403.0,569,95,1
525,-1461.0,609,97,1
526,-138.0,78,9,1
527,-2413.0,1000,157,0
528,-1586.0,644,107,1
529,-1416.0,546,99,1
530,-440.0,218,27,1
531,-1262.0,518,85,1
532,-919.0,382,62,1
533,-874.0,346,61,1
534,-735.0,306,50,1
535,-2422.0,1000,158,0
536,-492.0,207,34,1
537,-2323.0,1000,147,0
538,-918.0,381,62,1
539,-1169.0,479,79,1
540,-865.0,337,61,1
541,-2320.0,973,152,1
542,-1215.0,480,84,1
543,-2343.0,951,157,1
544,-1079.0,407,77,1
545,-1190.0,437,86,1
546,-928.0,382,63,1
547,-963.0,354,70,1
548,-1955.0,761,135,1
549,-1507.0,682,94,1
550,-2404.0,1000,156,0
551,-1025.0,389,73,1
552,-1646.0,650,113,1
553,-1254.0,528,83,1
554,-2401.0,973,161,1
555,-2236.0,898,151,1
556,-1807.0,730,122,1
557,-1269.0,471,91,1
558,-2477.0,995,167,1
559,-1277.0,506,88,1
560,-1222.0,505,82,1
561,-839.0,320,60,1
562,-1160.0,434,83,1
563,-1440.0,588,97,1
564,-1686.0,690,113,1
565,-1308.0,546,87,1
566,-2413.0,1000,157,0
567,-2503.0,1000,167,0
568,-2377.0,1000,153,0
569,-2359.0,1000,151,0
570,-1557.0,570,112,1
571,-2269.0,1000,141,0
572,-1019.0,419,69,1
573,-1869.0,774,124,1
574,-2464.0,982,167,1
575,-892.0,337,64,1
576,-1907.0,812,124,1
