Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,0.0,1000,0,0,1000
1,-1.0,1000,0,0,999
2,19.0,732,0,1,730
3,0.0,1000,0,0,1000
4,0.0,1000,0,0,1000
5,0.0,1000,0,0,1000
6,0.0,1000,0,0,1000
7,-2.0,1000,0,0,998
8,0.0,1000,0,0,1000
9,0.0,1000,0,0,1000
10,0.0,1000,0,0,1000
11,0.0,1000,0,0,1000
12,0.0,1000,0,0,1000
13,0.0,1000,0,0,1000
14,0.0,1000,0,0,1000
15,0.0,1000,0,0,1000
16,-1.0,1000,0,0,999
17,-1.0,1000,0,0,999
18,0.0,1000,0,0,1000
19,-1.0,1000,0,0,999
20,0.0,1000,0,0,1000
21,0.0,1000,0,0,1000
22,0.0,1000,0,0,1000
23,-2.0,1000,0,0,998
24,-1.0,1000,0,0,999
25,0.0,1000,0,0,1000
26,-2.0,1000,0,0,998
27,0.0,1000,0,0,1000
28,0.0,1000,0,0,1000
29,0.0,1000,0,0,1000
30,0.0,1000,0,0,1000
31,0.0,1000,0,0,1000
32,0.0,1000,0,0,1000
33,0.0,1000,0,0,1000
34,0.0,1000,0,0,1000
35,-1.0,1000,0,0,999
36,0.0,1000,0,0,1000
37,0.0,1000,0,0,1000
38,-1.0,1000,0,0,999
39,-2.0,1000,0,0,998
40,0.0,1000,0,0,1000
41,0.0,1000,0,0,1000
42,0.0,1000,0,0,1000
43,-2.0,1000,0,0,998
44,0.0,1000,0,0,1000
45,0.0,1000,0,0,1000
46,-1.0,1000,0,0,999
47,0.0,1000,0,0,1000
48,-1.0,1000,0,0,999
49,0.0,1000,0,0,1000
50,0.0,1000,0,0,1000
51,0.0,1000,0,0,1000
52,-3.0,1000,0,0,997
53,0.0,1000,0,0,1000
54,0.0,1000,0,0,1000
55,0.0,1000,0,0,1000
56,0.0,1000,0,0,1000
57,0.0,1000,0,0,1000
58,-1.0,1000,0,0,999
59,0.0,1000,0,0,1000
60,0.0,1000,0,0,1000
61,0.0,1000,0,0,1000
62,0.0,1000,0,0,1000
63,0.0,1000,0,0,1000
64,0.0,1000,0,0,1000
65,0.0,1000,0,0,1000
66,0.0,1000,0,0,1000
67,0.0,1000,0,0,1000
68,-3.0,1000,0,0,997
69,19.0,632,0,1,630
70,0.0,1000,0,0,1000
71,0.0,1000,0,0,1000
72,0.0,1000,0,0,1000
73,0.0,1000,0,0,1000
74,0.0,1000,0,0,1000
75,0.0,1000,0,0,1000
76,0.0,1000,0,0,1000
77,0.0,1000,0,0,1000
78,0.0,1000,0,0,1000
79,-2.0,1000,0,0,998
80,-2.0,1000,0,0,998
81,-1.0,1000,0,0,999
82,0.0,1000,0,0,1000
83,-1.0,1000,0,0,999
84,-1.0,1000,0,0,999
85,-1.0,1000,0,0,999
86,0.0,1000,0,0,1000
87,19.0,894,0,1,892
88,0.0,1000,0,0,1000
89,0.0,1000,0,0,1000
90,0.0,1000,0,0,1000
91,0.0,1000,0,0,1000
92,-1.0,1000,0,0,999
93,0.0,1000,0,0,1000
94,0.0,1000,0,0,1000
95,0.0,1000,0,0,1000
96,0.0,1000,0,0,1000
97,0.0,1000,0,0,1000
98,0.0,1000,0,0,1000
99,0.0,1000,0,0,1000
100,0.0,1000,0,0,1000
101,0.0,1000,0,0,1000
102,0.0,1000,0,0,1000
103,-2.0,1000,0,0,998
104,0.0,1000,0,0,1000
105,0.0,1000,0,0,1000
106,0.0,1000,0,0,1000
107,0.0,1000,0,0,1000
108,0.0,1000,0,0,1000
109,0.0,1000,0,0,1000
110,-2.0,1000,0,0,998
111,0.0,1000,0,0,1000
112,-1.0,1000,0,0,999
113,0.0,1000,0,0,1000
114,-1.0,1000,0,0,999
115,19.0,420,0,1,418
116,0.0,1000,0,0,1000
117,19.0,894,0,1,892
118,0.0,1000,0,0,1000
119,0.0,1000,0,0,1000
120,-2.0,1000,0,0,998
121,0.0,1000,0,0,1000
122,0.0,1000,0,0,1000
123,0.0,1000,0,0,1000
124,0.0,1000,0,0,1000
125,-2.0,1000,0,0,998
126,-1.0,1000,0,0,999
127,0.0,1000,0,0,1000
128,-1.0,1000,0,0,999
129,0.0,1000,0,0,1000
130,0.0,1000,0,0,1000
131,0.0,1000,0,0,1000
132,0.0,1000,0,0,1000
133,0.0,1000,0,0,1000
134,-1.0,1000,0,0,999
135,0.0,1000,0,0,1000
136,0.0,1000,0,0,1000
137,-1.0,1000,0,0,999
138,-1.0,1000,0,0,999
139,-1.0,1000,0,0,999
140,0.0,1000,0,0,1000
141,-1.0,1000,0,0,999
142,0.0,1000,0,0,1000
143,-1.0,1000,0,0,999
144,19.0,728,0,1,726
145,0.0,1000,0,0,1000
146,0.0,1000,0,0,1000
147,0.0,1000,0,0,1000
148,-1.0,1000,0,0,999
149,-1.0,1000,0,0,999
150,0.0,1000,0,0,1000
151,0.0,1000,0,0,1000
152,-1.0,1000,0,0,999
153,0.0,1000,0,0,1000
154,-1.0,1000,0,0,999
155,-1.0,1000,0,0,999
156,20.0,123,0,1,122
157,19.0,495,0,1,493
158,0.0,1000,0,0,1000
159,-1.0,1000,0,0,999
160,19.0,418,0,1,416
161,0.0,1000,0,0,1000
162,0.0,1000,0,0,1000
163,-1.0,1000,0,0,999
164,0.0,1000,0,0,1000
165,0.0,1000,0,0,1000
166,0.0,1000,0,0,1000
167,0.0,1000,0,0,1000
168,0.0,1000,0,0,1000
169,-1.0,1000,0,0,999
170,-1.0,1000,0,0,999
171,-1.0,1000,0,0,999
172,0.0,1000,0,0,1000
173,-1.0,1000,0,0,999
174,0.0,1000,0,0,1000
175,0.0,1000,0,0,1000
176,0.0,1000,0,0,1000
177,-1.0,1000,0,0,999
178,0.0,1000,0,0,1000
179,0.0,1000,0,0,1000
180,-2.0,1000,0,0,998
181,-2.0,1000,0,0,998
182,-2.0,1000,0,0,998
183,-1.0,1000,0,0,999
184,0.0,1000,0,0,1000
185,0.0,1000,0,0,1000
186,-3.0,1000,0,0,997
187,0.0,1000,0,0,1000
188,-1.0,1000,0,0,999
189,-1.0,1000,0,0,999
190,-1.0,1000,0,0,999
191,0.0,1000,0,0,1000
192,-1.0,1000,0,0,999
193,0.0,1000,0,0,1000
194,-1.0,1000,0,0,999
195,0.0,1000,0,0,1000
196,0.0,1000,0,0,1000
197,-1.0,1000,0,0,999
198,-1.0,1000,0,0,999
199,0.0,1000,0,0,1000
200,0.0,1000,0,0,1000
201,-2.0,1000,0,0,998
202,0.0,1000,0,0,1000
203,0.0,1000,0,0,1000
204,-1.0,1000,0,0,999
205,-1.0,1000,0,0,999
206,-2.0,1000,0,0,998
207,0.0,1000,0,0,1000
208,0.0,1000,0,0,1000
209,0.0,1000,0,0,1000
210,0.0,1000,0,0,1000
211,0.0,1000,0,0,1000
212,-1.0,1000,0,0,999
213,-1.0,1000,0,0,999
214,0.0,1000,0,0,1000
215,0.0,1000,0,0,1000
216,0.0,1000,0,0,1000
217,-1.0,1000,0,0,999
218,0.0,1000,0,0,1000
219,0.0,1000,0,0,1000
220,0.0,1000,0,0,1000
221,0.0,1000,0,0,1000
222,0.0,1000,0,0,1000
223,-1.0,1000,0,0,999
224,-1.0,1000,0,0,999
225,0.0,1000,0,0,1000
226,0.0,1000,0,0,1000
227,19.0,508,0,1,506
228,0.0,1000,0,0,1000
229,-1.0,1000,0,0,999
230,0.0,1000,0,0,1000
231,-1.0,1000,0,0,999
232,0.0,1000,0,0,1000
233,-1.0,1000,0,0,999
234,-2.0,1000,0,0,998
235,0.0,1000,0,0,1000
236,0.0,1000,0,0,1000
237,-2.0,1000,0,0,998
238,0.0,1000,0,0,1000
239,0.0,1000,0,0,1000
240,19.0,942,0,1,940
241,0.0,1000,0,0,1000
242,0.0,1000,0,0,1000
243,0.0,1000,0,0,1000
244,-1.0,1000,0,0,999
245,0.0,1000,0,0,1000
246,0.0,1000,0,0,1000
247,-2.0,1000,0,0,998
248,-2.0,1000,0,0,998
249,0.0,1000,0,0,1000
250,0.0,1000,0,0,1000
251,-2.0,1000,0,0,998
252,-1.0,1000,0,0,999
253,0.0,1000,0,0,1000
254,0.0,1000,0,0,1000
255,0.0,1000,0,0,1000
256,0.0,1000,0,0,1000
257,-1.0,1000,0,0,999
258,-1.0,1000,0,0,999
259,-1.0,1000,0,0,999
260,-2.0,1000,0,0,998
261,0.0,1000,0,0,1000
262,0.0,1000,0,0,1000
263,0.0,1000,0,0,1000
264,-1.0,1000,0,0,999
265,-1.0,1000,0,0,999
266,0.0,1000,0,0,1000
267,-2.0,1000,0,0,998
268,-1.0,1000,0,0,999
269,0.0,1000,0,0,1000
270,0.0,1000,0,0,1000
271,-1.0,1000,0,0,999
272,0.0,1000,0,0,1000
273,-2.0,1000,0,0,998
274,0.0,1000,0,0,1000
275,0.0,1000,0,0,1000
276,0.0,1000,0,0,1000
277,0.0,1000,0,0,1000
278,-1.0,1000,0,0,999
279,0.0,1000,0,0,1000
280,0.0,1000,0,0,1000
281,0.0,1000,0,0,1000
282,19.0,488,0,1,486
283,-1.0,1000,0,0,999
284,0.0,1000,0,0,1000
285,0.0,1000,0,0,1000
286,-1.0,1000,0,0,999
287,19.0,497,0,1,495
288,-1.0,1000,0,0,999
289,0.0,1000,0,0,1000
290,-1.0,1000,0,0,999
291,0.0,1000,0,0,1000
292,-2.0,1000,0,0,998
293,0.0,1000,0,0,1000
294,-2.0,1000,0,0,998
295,0.0,1000,0,0,1000
296,0.0,1000,0,0,1000
297,0.0,1000,0,0,1000
298,-1.0,1000,0,0,999
299,0.0,1000,0,0,1000
300,0.0,1000,0,0,1000
301,0.0,1000,0,0,1000
302,0.0,1000,0,0,1000
303,-1.0,1000,0,0,999
304,0.0,1000,0,0,1000
305,0.0,1000,0,0,1000
306,0.0,1000,0,0,1000
307,-1.0,1000,0,0,999
308,18.0,983,0,1,980
309,0.0,1000,0,0,1000
310,0.0,1000,0,0,1000
311,-1.0,1000,0,0,999
312,0.0,1000,0,0,1000
313,0.0,1000,0,0,1000
314,0.0,1000,0,0,1000
315,-1.0,1000,0,0,999
316,0.0,1000,0,0,1000
317,-2.0,1000,0,0,998
318,-2.0,1000,0,0,998
319,-2.0,1000,0,0,998
320,0.0,1000,0,0,1000
321,0.0,1000,0,0,1000
322,0.0,1000,0,0,1000
323,-1.0,1000,0,0,999
324,-1.0,1000,0,0,999
325,0.0,1000,0,0,1000
326,0.0,1000,0,0,1000
327,0.0,1000,0,0,1000
328,0.0,1000,0,0,1000
329,0.0,1000,0,0,1000
330,0.0,1000,0,0,1000
331,-1.0,1000,0,0,999
332,0.0,1000,0,0,1000
333,-1.0,1000,0,0,999
334,0.0,1000,0,0,1000
335,-2.0,1000,0,0,998
336,-1.0,1000,0,0,999
337,-2.0,1000,0,0,998
338,0.0,1000,0,0,1000
339,0.0,1000,0,0,1000
340,0.0,1000,0,0,1000
341,-1.0,1000,0,0,999
342,0.0,1000,0,0,1000
343,0.0,1000,0,0,1000
344,0.0,1000,0,0,1000
345,-2.0,1000,0,0,998
346,-1.0,1000,0,0,999
347,0.0,1000,0,0,1000
348,-1.0,1000,0,0,999
349,-2.0,1000,0,0,998
350,0.0,1000,0,0,1000
351,0.0,1000,0,0,1000
352,0.0,1000,0,0,1000
353,0.0,1000,0,0,1000
