Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-847.0,1000,0,0
1,-623.0,756,0,1
2,-319.0,401,0,1
3,-259.0,341,0,1
4,-831.0,1000,0,0
5,-450.0,571,0,1
6,-163.0,223,0,1
7,-710.0,871,0,1
8,-373.0,475,0,1
9,-774.0,938,0,1
10,-160.0,219,0,1
11,-314.0,414,0,1
12,-850.0,1000,0,0
13,-483.0,614,0,1
14,-544.0,667,0,1
15,-783.0,961,0,1
16,-431.0,553,0,1
17,-303.0,391,0,1
18,-861.0,1000,0,0
19,-814.0,1000,0,0
20,-782.0,971,0,1
21,-432.0,549,0,1
22,-419.0,520,0,1
23,-561.0,694,0,1
24,-838.0,1000,0,0
25,-758.0,949,0,1
26,-847.0,1000,0,0
27,-272.0,368,0,1
28,-625.0,759,0,1
29,-840.0,1000,0,0
30,-416.0,516,0,1
31,-339.0,420,0,1
32,-598.0,761,0,1
33,-222.0,300,0,1
34,-163.0,220,0,1
35,-408.0,512,0,1
36,-405.0,520,0,1
37,-719.0,895,0,1
38,-806.0,995,0,1
39,-273.0,352,0,1
40,-287.0,369,0,1
41,-87.0,127,0,1
42,-855.0,1000,0,0
43,-697.0,872,0,1
44,-464.0,587,0,1
45,-712.0,881,0,1
46,-771.0,952,0,1
47,-444.0,544,0,1
48,-300.0,378,0,1
49,-267.0,348,0,1
50,-543.0,649,0,1
51,-465.0,567,0,1
52,-865.0,1000,0,0
53,-845.0,1000,0,0
54,-409.0,500,0,1
55,-851.0,1000,0,0
56,-277.0,360,0,1
57,-326.0,428,0,1
58,-512.0,622,0,1
59,-854.0,1000,0,0
60,-380.0,494,0,1
61,-850.0,1000,0,0
62,-322.0,431,0,1
63,-749.0,930,0,1
64,-847.0,1000,0,0
65,-570.0,683,0,1
66,-308.0,391,0,1
67,-778.0,949,0,1
68,-840.0,1000,0,0
69,-423.0,539,0,1
70,-441.0,561,0,1
71,-854.0,1000,0,0
72,-856.0,1000,0,0
73,-488.0,603,0,1
74,-764.0,929,0,1
75,-465.0,587,0,1
76,-210.0,286,0,1
77,-411.0,524,0,1
78,-303.0,399,0,1
79,-794.0,966,0,1
80,-854.0,1000,0,0
81,-531.0,662,0,1
82,-634.0,779,0,1
83,-638.0,756,0,1
84,-711.0,886,0,1
85,-330.0,414,0,1
86,-569.0,698,0,1
87,-859.0,1000,0,0
88,-160.0,214,0,1
89,-804.0,985,0,1
90,-854.0,1000,0,0
91,-754.0,926,0,1
92,-227.0,309,0,1
93,-837.0,1000,0,0
94,-527.0,655,0,1
95,-344.0,424,0,1
96,-352.0,452,0,1
97,-420.0,529,0,1
98,-415.0,521,0,1
99,-713.0,880,0,1
100,-382.0,490,0,1
101,-512.0,654,0,1
102,-866.0,1000,0,0
103,-848.0,1000,0,0
104,-387.0,508,0,1
105,-432.0,537,0,1
106,-553.0,675,0,1
107,-492.0,613,0,1
108,-313.0,396,0,1
109,-445.0,558,0,1
110,-615.0,762,0,1
111,-194.0,266,0,1
112,-415.0,509,0,1
113,-796.0,985,0,1
114,-328.0,417,0,1
115,-784.0,954,0,1
116,-612.0,749,0,1
117,-443.0,552,0,1
118,-678.0,832,0,1
119,-432.0,548,0,1
120,-704.0,871,0,1
121,-853.0,1000,0,0
122,-849.0,1000,0,0
123,-457.0,579,0,1
124,-411.0,526,0,1
125,-858.0,1000,0,0
126,-840.0,1000,0,0
127,-510.0,629,0,1
128,-351.0,455,0,1
129,-838.0,1000,0,0
130,-541.0,672,0,1
131,-430.0,536,0,1
132,-301.0,383,0,1
133,-523.0,654,0,1
134,-346.0,450,0,1
135,-532.0,658,0,1
136,-773.0,941,0,1
137,-247.0,329,0,1
138,-760.0,926,0,1
139,-360.0,449,0,1
140,-303.0,385,0,1
141,-847.0,1000,0,0
142,-263.0,351,0,1
143,-387.0,508,0,1
144,-840.0,1000,0,0
145,-327.0,422,0,1
146,-566.0,693,0,1
147,-844.0,1000,0,0
148,-564.0,672,0,1
149,-717.0,900,0,1
150,-167.0,228,0,1
151,-852.0,1000,0,0
152,-330.0,432,0,1
153,-858.0,1000,0,0
154,-851.0,1000,0,0
155,-800.0,987,0,1
156,-199.0,271,0,1
157,-484.0,596,0,1
158,-362.0,458,0,1
159,-289.0,367,0,1
160,-192.0,260,0,1
161,-310.0,411,0,1
162,-857.0,1000,0,0
163,-270.0,358,0,1
164,-618.0,771,0,1
165,-357.0,462,0,1
166,-332.0,437,0,1
167,-458.0,562,0,1
168,-825.0,1000,0,0
169,-354.0,450,0,1
170,-338.0,439,0,1
171,-401.0,516,0,1
172,-843.0,1000,0,0
173,-393.0,500,0,1
174,-358.0,480,0,1
175,-777.0,959,0,1
176,-420.0,529,0,1
177,-482.0,593,0,1
178,-662.0,821,0,1
179,-846.0,1000,0,0
180,-372.0,473,0,1
181,-681.0,857,0,1
182,-291.0,376,0,1
183,-579.0,719,0,1
184,-278.0,373,0,1
185,-438.0,562,0,1
186,-754.0,935,0,1
187,-806.0,983,0,1
188,-852.0,1000,0,0
189,-858.0,1000,1,0
190,-858.0,1000,0,0
191,-849.0,1000,0,0
192,-249.0,345,0,1
193,-775.0,954,0,1
194,-357.0,458,0,1
195,-487.0,600,0,1
196,-858.0,1000,0,0
197,-870.0,1000,0,0
198,-850.0,1000,0,0
199,-411.0,517,0,1
200,-561.0,678,0,1
201,-860.0,1000,0,0
202,-276.0,358,0,1
203,-574.0,693,0,1
204,-652.0,806,0,1
205,-589.0,706,0,1
206,-292.0,371,0,1
207,-361.0,469,0,1
208,-449.0,553,0,1
209,-254.0,335,0,1
210,-837.0,1000,0,0
211,-565.0,692,0,1
212,-515.0,647,0,1
213,-843.0,1000,0,0
214,-541.0,676,0,1
215,-684.0,814,0,1
216,-767.0,944,0,1
217,-308.0,401,0,1
218,-450.0,567,0,1
219,-286.0,365,0,1
220,-549.0,679,0,1
221,-847.0,1000,0,0
222,-423.0,534,0,1
223,-373.0,478,0,1
224,-415.0,521,0,1
225,-815.0,999,0,1
226,-858.0,1000,0,0
227,-390.0,497,0,1
228,-839.0,1000,0,0
229,-448.0,572,0,1
230,-300.0,393,0,1
231,-798.0,970,0,1
232,-150.0,210,0,1
233,-808.0,974,0,1
234,-843.0,1000,0,0
235,-201.0,275,0,1
236,-668.0,787,0,1
237,-707.0,875,0,1
238,-854.0,1000,0,0
239,-847.0,1000,0,0
240,-425.0,526,0,1
241,-285.0,379,0,1
242,-272.0,355,0,1
243,-494.0,606,0,1
244,-853.0,1000,0,0
245,-275.0,369,0,1
246,-844.0,1000,0,0
247,-718.0,870,0,1
248,-537.0,664,0,1
249,-371.0,478,0,1
250,-397.0,482,0,1
251,-850.0,1000,0,0
252,-835.0,1000,0,0
253,-851.0,1000,0,0
254,-301.0,395,0,1
255,-837.0,1000,0,0
256,-405.0,495,0,1
257,-317.0,409,0,1
258,-760.0,937,0,1
259,-828.0,1000,0,0
260,-575.0,724,0,1
261,-851.0,1000,0,0
262,-631.0,790,0,1
263,-104.0,150,0,1
264,-26.0,48,0,1
265,-569.0,681,0,1
266,-459.0,556,0,1
267,-227.0,298,1,1
268,-771.0,955,0,1
269,-845.0,1000,0,0
270,-301.0,414,0,1
271,-330.0,426,0,1
272,-427.0,536,0,1
273,-836.0,1000,0,0
274,-764.0,911,0,1
275,-259.0,345,0,1
276,-849.0,1000,0,0
277,-202.0,278,0,1
278,-245.0,320,0,1
279,-414.0,526,0,1
280,-467.0,591,0,1
281,-171.0,221,0,1
282,-469.0,569,0,1
283,-830.0,1000,0,0
284,-409.0,520,0,1
285,-851.0,1000,0,0
286,-317.0,407,0,1
287,-839.0,1000,0,0
288,-851.0,1000,0,0
289,-730.0,904,0,1
290,-497.0,616,0,1
291,-615.0,764,0,1
292,-826.0,1000,0,1
293,-591.0,747,0,1
294,-311.0,406,0,1
295,-413.0,528,0,1
296,-425.0,537,0,1
297,-391.0,493,0,1
298,-860.0,1000,0,0
299,-840.0,1000,0,0
300,-848.0,1000,0,0
301,-487.0,608,0,1
302,-798.0,974,0,1
303,-849.0,1000,0,0
304,-714.0,884,0,1
305,-450.0,553,0,1
306,-137.0,193,0,1
307,-833.0,1000,0,0
308,-836.0,1000,0,0
309,-325.0,414,0,1
310,-844.0,1000,0,0
311,-838.0,1000,0,0
312,-789.0,954,0,1
313,-852.0,1000,0,0
314,-447.0,571,0,1
315,-382.0,498,0,1
316,-133.0,191,0,1
317,-574.0,712,0,1
318,-848.0,1000,0,0
319,-851.0,1000,0,0
320,-848.0,1000,0,0
