Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-2476.0,1000,164,0,0
1,-1735.0,739,113,1,0
2,-819.0,309,59,1,0
3,-1048.0,394,75,1,0
4,-1300.0,502,91,1,0
5,-848.0,311,62,1,0
6,-748.0,283,54,1,0
7,-1769.0,755,115,1,0
8,-759.0,312,52,1,0
9,-2476.0,1000,164,0,0
10,-1207.0,544,76,1,0
11,-1136.0,428,81,1,0
12,-1590.0,639,108,1,0
13,-1257.0,531,83,1,0
14,-2368.0,1000,152,0,0
15,-2296.0,1000,144,0,0
16,-2334.0,978,153,1,0
17,-1026.0,417,70,1,0
18,-1919.0,788,128,1,0
19,-1140.0,405,84,1,0
20,-2422.0,1000,158,0,0
21,-1571.0,701,99,1,0
22,-1224.0,507,82,1,0
23,-2366.0,947,160,1,0
24,-2431.0,1000,159,0,0
25,-1694.0,734,109,1,0
26,-2409.0,999,159,1,0
27,-686.0,275,48,1,0
28,-2395.0,1000,155,0,0
29,-2323.0,1000,147,0,0
30,-1320.0,567,86,1,0
31,-1357.0,496,98,1,0
32,-1269.0,471,91,1,0
33,-960.0,378,67,1,0
34,-10.0,31,0,1,0
35,-832.0,295,62,1,0
36,-1331.0,506,94,1,0
37,-2367.0,975,157,1,0
38,-932.0,359,66,1,0
39,-1453.0,565,101,1,0
40,-1406.0,545,98,1,0
41,-1188.0,480,81,1,0
42,-830.0,311,60,1,0
43,-1639.0,688,108,1,0
44,-2413.0,1000,157,0,0
45,-1582.0,739,96,1,0
46,-2308.0,952,153,1,0
47,-973.0,409,65,1,0
48,-1374.0,558,93,1,0
49,-2332.0,1000,148,0,0
50,-903.0,357,63,1,0
51,-1355.0,521,95,1,0
52,-2431.0,1000,159,0,0
53,-2332.0,1000,148,0,0
54,-984.0,357,72,1,0
55,-2476.0,1000,164,0,0
56,-872.0,344,61,1,0
57,-973.0,400,66,1,0
58,-2440.0,1000,160,0,0
59,-1379.0,581,91,1,0
60,-903.0,366,62,1,0
61,-1734.0,693,118,1,0
62,-1366.0,559,92,1,0
63,-1376.0,524,97,1,0
64,-2386.0,1000,154,0,0
65,-1113.0,432,78,1,0
66,-913.0,385,61,1,0
67,-2494.0,1000,166,0,0
68,-1187.0,479,81,1,0
69,-2557.0,1000,173,0,0
70,-1421.0,560,98,1,0
71,-2251.0,922,150,1,0
72,-2395.0,1000,155,0,0
73,-1829.0,761,121,1,0
74,-1470.0,600,99,1,0
75,-2344.0,952,157,1,0
76,-655.0,262,46,1,0
