Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-463.0,581,0,1,97
1,-577.0,702,0,1,104
2,-555.0,675,0,1,99
3,-392.0,489,0,1,76
4,-458.0,570,0,1,91
5,-208.0,279,0,1,50
6,-322.0,419,0,1,76
7,-443.0,564,0,1,100
8,-839.0,1000,0,0,161
9,-503.0,620,1,1,105
10,-473.0,599,0,1,105
11,-270.0,356,0,1,65
12,-803.0,980,0,1,156
13,-560.0,681,1,1,109
14,-853.0,1000,0,0,147
15,-845.0,1000,0,0,155
16,-408.0,513,0,1,84
17,-142.0,208,0,1,45
18,-534.0,675,0,1,120
19,-438.0,556,0,1,97
20,-328.0,441,0,1,92
21,-788.0,966,0,1,157
22,-242.0,327,0,1,64
23,-820.0,1000,0,1,159
24,-851.0,1000,0,0,149
25,-839.0,1000,0,0,161
26,-845.0,1000,0,0,155
27,-244.0,322,0,1,57
28,-850.0,1000,0,0,150
29,-788.0,969,0,1,160
30,-552.0,669,0,1,96
31,-584.0,705,0,1,100
32,-427.0,549,0,1,101
33,-276.0,362,0,1,65
34,-254.0,339,0,1,64
35,-323.0,414,0,1,70
36,-836.0,1000,0,0,164
37,-581.0,726,0,1,124
38,-264.0,334,0,1,49
39,-446.0,549,0,1,82
40,-453.0,577,0,1,103
41,-258.0,338,0,1,59
42,-481.0,601,0,1,99
43,-564.0,702,0,1,117
44,-531.0,655,0,1,103
45,-856.0,1000,1,0,153
46,-847.0,1000,0,0,153
47,-418.0,520,0,1,81
48,-409.0,517,0,1,87
49,-639.0,764,0,1,104
50,-747.0,917,0,1,149
51,-713.0,884,0,1,150
52,-853.0,1000,1,0,156
53,-817.0,997,0,1,159
54,-323.0,407,0,1,63
55,-840.0,1000,0,0,160
56,-501.0,603,0,1,81
57,-232.0,309,0,1,56
58,-533.0,641,0,1,87
59,-474.0,586,0,1,91
60,-299.0,383,1,1,72
61,-787.0,961,0,1,153
62,-202.0,277,0,1,54
63,-834.0,1000,0,0,166
64,-812.0,998,0,1,165
65,-839.0,1000,0,0,161
66,-282.0,369,0,1,66
67,-732.0,902,0,1,149
68,-455.0,545,1,1,78
69,-478.0,604,0,1,105
70,-408.0,513,1,1,93
71,-399.0,513,0,1,93
72,-573.0,713,0,1,119
73,-601.0,742,0,1,120
74,-414.0,531,0,1,96
75,-678.0,849,0,1,150
76,-287.0,377,0,1,69
77,-579.0,700,0,1,100
78,-856.0,1000,0,0,144
79,-523.0,653,0,1,109
80,-816.0,990,0,1,153
81,-461.0,572,0,1,90
82,-573.0,700,0,1,106
83,-418.0,511,0,1,72
84,-389.0,501,0,1,91
85,-235.0,313,0,1,57
86,-456.0,552,0,1,75
87,-716.0,882,0,1,145
88,-181.0,242,0,1,40
89,-432.0,550,0,1,97
90,-543.0,674,0,1,110
91,-567.0,728,0,1,140
92,-499.0,623,0,1,103
93,-848.0,1000,0,0,152
94,-447.0,570,0,1,102
95,-534.0,677,0,1,122
96,-594.0,740,0,1,125
97,-377.0,477,0,1,79
98,-756.0,940,0,1,163
99,-523.0,649,0,1,105
100,-430.0,537,0,1,86
101,-371.0,471,0,1,79
102,-731.0,897,0,1,145
103,-529.0,657,1,1,116
104,-377.0,484,0,1,86
105,-786.0,968,0,1,161
106,-523.0,650,0,1,106
107,-291.0,382,0,1,70
108,-768.0,947,0,1,158
109,-836.0,1000,0,0,164
110,-822.0,997,0,1,154
111,-436.0,544,0,1,87
112,-449.0,553,0,1,83
113,-844.0,1000,0,0,156
114,-528.0,641,0,1,92
115,-850.0,1000,0,0,150
116,-626.0,773,0,1,126
117,-244.0,325,0,1,60
118,-665.0,832,0,1,146
119,-364.0,468,0,1,83
120,-851.0,1000,0,0,149
121,-849.0,1000,0,0,151
122,-848.0,1000,0,0,152
123,-779.0,959,0,1,159
124,-570.0,718,0,1,127
125,-849.0,1000,0,0,151
126,-195.0,267,0,1,51
127,-496.0,611,0,1,94
128,-320.0,409,0,1,68
129,-782.0,967,0,1,164
130,-578.0,717,0,1,118
131,-301.0,387,0,1,65
132,-433.0,547,0,1,93
133,-850.0,1000,0,0,150
134,-756.0,923,0,1,146
135,-446.0,555,0,1,88
136,-339.0,421,0,1,61
137,-277.0,370,0,1,72
138,-609.0,757,0,1,127
139,-469.0,563,1,1,82
140,-498.0,619,0,1,100
141,-788.0,958,0,1,149
142,-842.0,1000,0,0,158
143,-806.0,997,0,1,170
144,-538.0,670,0,1,111
145,-250.0,328,0,1,57
146,-278.0,370,0,1,71
147,-651.0,794,0,1,122
148,-762.0,940,0,1,157
149,-858.0,1000,0,0,142
150,-135.0,177,0,1,21
151,-705.0,860,0,1,134
152,-305.0,400,0,1,74
153,-455.0,575,0,1,99
154,-768.0,936,1,1,156
155,-766.0,943,0,1,156
156,-355.0,460,0,1,84
157,-375.0,465,0,1,69
158,-758.0,940,0,1,161
159,-193.0,262,0,1,48
160,-332.0,426,0,1,73
161,-495.0,597,0,1,81
162,-837.0,1000,0,0,163
163,-317.0,405,0,1,67
164,-648.0,824,0,1,155
165,-435.0,551,0,1,95
166,-397.0,513,0,1,95
167,-272.0,359,0,1,66
168,-750.0,911,0,1,140
169,-329.0,424,0,1,74
170,-438.0,543,0,1,84
171,-828.0,1000,0,0,172
172,-847.0,1000,0,0,153
173,-386.0,493,0,1,86
174,-834.0,1000,0,0,166
175,-831.0,1000,0,0,169
176,-469.0,576,0,1,86
177,-243.0,321,0,1,57
178,-767.0,948,0,1,160
179,-390.0,479,1,1,77
180,-556.0,709,0,1,132
181,-440.0,554,0,1,93
182,-214.0,291,0,1,56
183,-853.0,1000,0,0,147
184,-255.0,336,0,1,60
185,-269.0,357,0,1,67
186,-491.0,600,0,1,88
187,-843.0,1000,0,0,157
188,-532.0,658,0,1,105
189,-370.0,481,0,1,90
190,-834.0,1000,0,0,166
191,-685.0,839,0,1,133
192,-389.0,486,0,1,76
193,-692.0,860,0,1,147
194,-779.0,964,0,1,164
195,-405.0,506,0,1,80
196,-402.0,516,0,1,93
197,-855.0,1000,0,0,145
198,-261.0,351,0,1,69
199,-476.0,587,0,1,90
200,-844.0,1000,0,0,156
201,-841.0,1000,0,0,159
202,-805.0,988,0,1,162
203,-399.0,509,0,1,89
204,-542.0,666,0,1,103
205,-475.0,602,0,1,106
206,-438.0,556,0,1,97
207,-368.0,460,0,1,71
208,-422.0,529,0,1,86
209,-836.0,1000,0,0,164
210,-795.0,977,0,1,161
211,-580.0,699,0,1,98
212,-800.0,980,0,1,159
213,-795.0,968,0,1,152
214,-845.0,1000,0,0,155
215,-843.0,1000,1,0,166
216,-653.0,810,0,1,136
217,-282.0,374,0,1,71
218,-532.0,655,0,1,102
219,-320.0,422,0,1,81
220,-713.0,880,0,1,146
221,-804.0,972,0,1,147
222,-95.0,145,0,1,29
223,-378.0,489,0,1,90
224,-470.0,585,0,1,94
225,-346.0,465,0,1,98
226,-856.0,1000,0,0,144
227,-238.0,319,0,1,60
228,-348.0,433,1,1,73
229,-843.0,1000,0,0,157
230,-408.0,520,0,1,91
231,-322.0,422,0,1,79
232,-171.0,241,0,1,49
233,-871.0,1000,2,0,147
234,-402.0,507,0,1,84
235,-227.0,311,0,1,63
236,-360.0,472,0,1,91
237,-609.0,731,0,1,101
238,-866.0,1000,0,0,134
239,-597.0,741,1,1,132
240,-201.0,275,0,1,53
241,-474.0,572,0,1,77
242,-307.0,390,0,1,62
243,-588.0,713,1,1,113
244,-547.0,682,0,1,114
245,-507.0,631,0,1,103
246,-575.0,705,0,1,109
247,-575.0,712,0,1,116
248,-577.0,713,0,1,115
249,-338.0,433,0,1,74
250,-252.0,338,0,1,65
251,-588.0,714,0,1,105
252,-606.0,747,0,1,120
253,-661.0,826,0,1,144
254,-296.0,379,0,1,62
255,-423.0,531,0,1,87
256,-486.0,596,0,1,89
257,-490.0,611,0,1,100
258,-778.0,966,0,1,167
259,-436.0,549,0,1,92
260,-848.0,1000,0,0,152
261,-676.0,854,0,1,157
262,-645.0,806,0,1,140
263,-319.0,416,0,1,76
264,-235.0,317,0,1,61
265,-428.0,533,0,1,84
266,-451.0,556,0,1,84
267,-287.0,371,0,1,63
268,-533.0,676,0,1,122
269,-841.0,1000,0,0,159
270,-846.0,1000,0,0,154
271,-500.0,620,0,1,99
272,-409.0,512,0,1,82
273,-680.0,834,0,1,133
274,-695.0,861,0,1,145
275,-192.0,265,0,1,52
276,-317.0,397,0,1,59
277,-469.0,571,0,1,81
278,-395.0,497,0,1,81
279,-572.0,715,0,1,122
280,-475.0,599,0,1,103
281,-550.0,675,0,1,104
282,-651.0,785,0,1,113
283,-765.0,945,0,1,159
284,-614.0,746,1,1,120
285,-775.0,957,0,1,161
286,-715.0,883,0,1,147
287,-789.0,959,0,1,149
288,-527.0,648,0,1,100
289,-497.0,624,0,1,106
290,-536.0,667,0,1,110
291,-841.0,1000,0,0,159
292,-747.0,937,0,1,169
293,-437.0,558,0,1,100
294,-530.0,653,0,1,102
295,-475.0,592,0,1,96
296,-837.0,1000,0,0,163
297,-386.0,477,0,1,70
298,-427.0,544,0,1,96
299,-562.0,695,0,1,112
300,-485.0,619,0,1,113
301,-760.0,948,0,1,167
302,-867.0,1000,1,0,142
303,-842.0,1000,0,0,158
304,-830.0,1000,0,0,170
305,-263.0,351,0,1,67
306,-359.0,464,0,1,84
307,-838.0,1000,0,0,162
308,-305.0,394,0,1,68
309,-291.0,380,0,1,68
310,-268.0,347,0,1,58
311,-784.0,963,1,1,167
312,-474.0,585,0,1,90
313,-789.0,969,0,1,159
314,-812.0,991,0,1,158
315,-848.0,1000,0,0,152
316,-131.0,188,0,1,36
317,-729.0,900,0,1,150
318,-529.0,670,0,1,120
319,-759.0,939,0,1,159
320,-419.0,542,0,1,102
321,-267.0,357,0,1,69
322,-343.0,450,0,1,86
323,-679.0,844,1,1,153
324,-221.0,291,0,1,49
325,-457.0,568,0,1,90
326,-197.0,264,0,1,46
327,-394.0,508,0,1,93
328,-460.0,572,0,1,91
329,-510.0,660,0,1,129
330,-726.0,902,0,1,155
331,-326.0,417,0,1,70
332,-839.0,1000,0,0,161
333,-841.0,1000,0,0,159
334,-172.0,234,0,1,41
335,-839.0,1000,0,0,161
336,-783.0,931,0,1,127
337,-487.0,595,0,1,87
338,-557.0,701,0,1,123
339,-562.0,686,0,1,103
340,-287.0,370,0,1,62
341,-680.0,824,0,1,123
342,-358.0,463,0,1,84
343,-376.0,490,0,1,93
344,-188.0,250,1,1,50
345,-401.0,508,0,1,86
346,-576.0,710,0,1,113
347,-857.0,1000,1,0,152
348,-545.0,666,0,1,100
349,-847.0,1000,0,0,153
350,-378.0,472,1,1,82
351,-386.0,497,0,1,90
352,-739.0,902,0,1,142
353,-211.0,290,0,1,58
354,-544.0,656,0,1,91
355,-408.0,524,0,1,95
356,-851.0,1000,0,0,149
357,-373.0,497,0,1,103
358,-460.0,576,0,1,95
359,-302.0,383,0,1,60
360,-421.0,522,0,1,80
361,-507.0,629,0,1,101
362,-405.0,493,0,1,67
363,-873.0,1000,2,0,145
364,-762.0,938,0,1,155
365,-839.0,1000,0,0,161
366,-518.0,640,0,1,101
367,-768.0,940,0,1,151
368,-398.0,518,0,1,99
369,-478.0,612,0,1,113
370,-508.0,621,0,1,92
371,-279.0,363,0,1,63
372,-559.0,688,0,1,108
373,-318.0,420,0,1,81
374,-405.0,518,0,1,92
375,-847.0,1000,0,0,153
376,-256.0,346,0,1,69
377,-458.0,563,0,1,84
378,-277.0,367,0,1,69
379,-267.0,357,0,1,69
380,-339.0,437,0,1,77
381,-545.0,688,0,1,122
382,-747.0,923,0,1,155
383,-584.0,707,0,1,102
384,-451.0,568,0,1,96
385,-543.0,682,0,1,118
386,-685.0,845,0,1,139
387,-404.0,500,0,1,75
388,-558.0,679,0,1,100
389,-199.0,263,0,1,43
390,-446.0,551,0,1,84
391,-483.0,626,0,1,122
392,-525.0,661,0,1,115
393,-682.0,836,0,1,133
394,-136.0,194,0,1,37
395,-479.0,601,0,1,101
396,-410.0,525,0,1,94
397,-529.0,646,0,1,96
398,-452.0,543,2,1,88
399,-459.0,570,0,1,90
400,-478.0,580,1,1,90
401,-851.0,1000,0,0,149
402,-463.0,574,0,1,90
403,-105.0,157,0,1,31
404,-390.0,504,0,1,93
405,-461.0,572,0,1,90
406,-448.0,566,0,1,97
407,-840.0,1000,0,0,160
408,-507.0,633,0,1,105
409,-846.0,1000,0,0,154
410,-803.0,981,0,1,157
411,-624.0,761,1,1,125
412,-452.0,543,1,1,79
413,-816.0,1000,0,0,184
414,-317.0,404,0,1,66
415,-371.0,459,0,1,67
416,-791.0,972,0,1,160
417,-846.0,1000,0,0,154
418,-710.0,872,0,1,141
419,-702.0,832,0,1,109
420,-240.0,335,0,1,74
421,-402.0,500,0,1,77
422,-302.0,398,0,1,75
423,-855.0,1000,0,0,145
424,-632.0,781,0,1,128
425,-786.0,967,0,1,160
426,-843.0,1000,0,0,157
427,-637.0,784,0,1,126
428,-857.0,1000,0,0,143
429,-470.0,586,0,1,95
430,-415.0,518,0,1,82
431,-390.0,490,0,1,79
432,-122.0,167,0,1,24
433,-443.0,558,0,1,94
434,-637.0,784,0,1,126
435,-231.0,309,0,1,57
436,-628.0,787,0,1,138
437,-478.0,595,0,1,96
438,-244.0,332,0,1,67
439,-853.0,1000,0,0,147
440,-587.0,742,0,1,134
441,-420.0,509,0,1,68
442,-387.0,500,0,1,92
443,-527.0,651,0,1,103
444,-304.0,402,0,1,77
445,-229.0,304,0,1,54
446,-465.0,577,0,1,91
447,-749.0,916,0,1,146
448,-805.0,960,0,1,134
449,-411.0,521,0,1,89
450,-841.0,1000,0,0,159
451,-483.0,592,0,1,88
452,-853.0,1000,0,0,147
453,-835.0,1000,0,0,165
454,-837.0,1000,0,0,163
455,-251.0,320,0,1,48
456,-351.0,457,0,1,85
457,-378.0,466,0,1,67
458,-856.0,1000,0,0,144
459,-834.0,1000,0,0,166
460,-202.0,277,0,1,54
461,-508.0,621,0,1,92
462,-531.0,655,0,1,103
463,-635.0,791,0,1,135
464,-614.0,778,0,1,143
465,-486.0,601,0,1,94
466,-396.0,519,0,1,102
467,-798.0,999,0,1,180
468,-318.0,413,0,1,74
469,-484.0,591,0,1,86
470,-601.0,739,1,1,126
471,-682.0,854,0,1,151
472,-391.0,494,0,1,82
473,-839.0,1000,0,0,161
474,-509.0,621,1,1,100
475,-403.0,504,0,1,80
476,-568.0,707,0,1,118
477,-425.0,529,0,1,83
478,-637.0,781,0,1,123
479,-341.0,445,0,1,83
480,-507.0,588,2,1,78
481,-856.0,1000,0,0,144
482,-202.0,272,0,1,49
483,-348.0,454,0,1,85
484,-683.0,866,0,1,162
485,-443.0,554,0,1,90
486,-599.0,759,0,1,139
487,-562.0,674,1,1,100
488,-840.0,1000,0,0,160
489,-529.0,652,0,1,102
490,-847.0,1000,0,0,153
491,-331.0,420,0,1,68
492,-453.0,561,0,1,87
493,-335.0,435,0,1,79
494,-716.0,893,0,1,156
495,-735.0,881,0,1,125
496,-294.0,382,0,1,67
497,-834.0,1000,0,0,166
498,-422.0,525,0,1,82
499,-496.0,616,0,1,99
500,-847.0,1000,0,0,153
501,-402.0,495,0,1,72
