Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-724.0,880,1,1
1,-845.0,1000,0,0
2,-514.0,643,0,1
3,-551.0,669,0,1
4,-493.0,607,0,1
5,-244.0,328,0,1
6,-207.0,280,0,1
7,-576.0,708,0,1
8,-403.0,504,0,1
9,-839.0,1000,0,0
10,-82.0,126,0,1
11,-534.0,649,0,1
12,-837.0,1000,0,0
13,-742.0,914,0,1
14,-822.0,991,0,1
15,-861.0,1000,0,0
16,-376.0,488,0,1
17,-351.0,456,0,1
18,-733.0,914,0,1
19,-401.0,513,0,1
20,-666.0,837,0,1
21,-475.0,589,0,1
22,-310.0,390,0,1
23,-529.0,666,0,1
24,-841.0,1000,0,0
25,-497.0,617,0,1
26,-848.0,1000,1,0
27,-244.0,325,0,1
28,-771.0,935,0,1
29,-657.0,799,0,1
30,-315.0,405,0,1
31,-552.0,679,0,1
32,-842.0,1000,0,0
33,-217.0,289,0,1
34,-467.0,566,0,1
35,-186.0,254,0,1
36,-400.0,489,0,1
37,-538.0,667,0,1
38,-404.0,517,0,1
39,-604.0,720,0,1
40,-421.0,541,0,1
41,-337.0,427,0,1
42,-713.0,889,0,1
43,-848.0,1000,0,0
44,-426.0,533,0,1
45,-761.0,928,1,1
46,-603.0,766,0,1
47,-573.0,708,0,1
48,-367.0,450,0,1
49,-837.0,1000,0,0
50,-659.0,831,0,1
51,-335.0,431,0,1
52,-842.0,1000,1,0
53,-837.0,1000,0,0
54,-384.0,499,0,1
55,-479.0,608,0,1
56,-291.0,374,0,1
57,-470.0,598,0,1
58,-550.0,662,0,1
59,-436.0,540,0,1
60,-285.0,368,0,1
61,-466.0,591,0,1
62,-429.0,545,0,1
63,-571.0,710,0,1
64,-499.0,622,0,1
65,-303.0,389,0,1
66,-309.0,392,0,1
67,-599.0,746,0,1
68,-456.0,576,0,1
69,-902.0,1000,0,0
70,-304.0,390,0,1
71,-844.0,1000,0,0
72,-600.0,740,0,1
73,-433.0,552,0,1
74,-799.0,980,0,1
75,-693.0,837,0,1
76,-393.0,512,0,1
77,-717.0,903,0,1
78,-448.0,555,0,1
79,-856.0,1000,0,0
80,-615.0,760,0,1
81,-317.0,411,0,1
82,-688.0,851,0,1
83,-390.0,486,0,1
84,-491.0,613,0,1
85,-139.0,181,0,1
86,-841.0,1000,0,0
87,-848.0,1000,0,0
88,-297.0,380,0,1
89,-861.0,1000,0,0
90,-841.0,1000,0,0
91,-739.0,918,0,1
92,-807.0,986,0,1
93,-442.0,544,0,1
94,-482.0,589,0,1
95,-369.0,455,0,1
96,-387.0,500,0,1
97,-274.0,359,0,1
98,-570.0,689,0,1
99,-850.0,1000,0,0
100,-373.0,466,0,1
101,-661.0,803,0,1
102,-752.0,906,0,1
103,-553.0,675,0,1
104,-794.0,971,0,1
105,-516.0,639,0,1
106,-488.0,610,0,1
107,-283.0,375,0,1
108,-440.0,561,0,1
109,-803.0,986,0,1
