Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-1981.0,769,137,1,0
1,-2396.0,968,161,1,0
2,-1574.0,632,107,1,0
3,-627.0,234,46,1,0
4,-1412.0,569,96,1,0
5,-546.0,207,40,1,0
6,-427.0,187,29,1,0
7,-2514.0,969,174,1,0
8,-1418.0,611,92,1,0
9,-2260.0,1000,140,0,0
10,-1417.0,583,95,1,0
11,-1518.0,648,99,1,0
12,-2341.0,1000,149,0,0
13,-1506.0,582,105,1,0
14,-1815.0,810,114,1,0
15,-2386.0,1000,154,0,0
16,-1324.0,544,89,1,0
17,-1025.0,407,71,1,0
18,-2365.0,973,157,1,0
19,-868.0,358,59,1,0
20,-2194.0,874,149,1,0
21,-1072.0,481,68,1,0
22,-1038.0,447,68,1,0
23,-2236.0,898,151,1,0
24,-1941.0,756,134,1,0
25,-1585.0,679,103,1,0
26,-2080.0,832,141,1,0
27,-914.0,359,64,1,0
28,-2202.0,954,141,1,0
29,-1623.0,735,101,1,0
30,-1378.0,553,94,1,0
31,-2530.0,1000,170,0,0
32,-1872.0,831,118,1,0
33,-760.0,313,52,1,0
34,-1026.0,426,69,1,0
35,-1241.0,542,80,1,0
36,-2116.0,868,141,1,0
37,-1215.0,471,85,1,0
38,-2566.0,1000,174,0,0
39,-1385.0,551,95,1,0
40,-934.0,415,60,1,0
41,-966.0,366,69,1,0
42,-1070.0,461,70,1,0
43,-2404.0,1000,156,0,0
44,-1463.0,629,95,1,0
45,-2431.0,1000,159,0,0
46,-1584.0,660,105,1,0
47,-1397.0,581,93,1,0
48,-1632.0,699,106,1,0
49,-1669.0,673,113,1,0
50,-1307.0,563,85,1,0
51,-1292.0,539,86,1,0
52,-1540.0,634,103,1,0
53,-1738.0,787,108,1,0
54,-1143.0,399,85,1,0
55,-1576.0,607,110,1,0
56,-866.0,374,57,1,0
57,-1071.0,453,71,1,0
58,-2233.0,832,158,1,0
59,-954.0,408,63,1,0
60,-1497.0,636,98,1,0
61,-1534.0,601,106,1,0
