Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,CliffWalking-v0,-342.3561,419.1565,158.9190,98.9321,1.8529,3.2748,0.0000,0.0000,0.0000,0.0000
RollbackOnly,CliffWalking-v0,-155.6716,96.6636,157.4996,99.5613,0.0017,0.0412,0.0000,0.0000,1.9963,3.5850
ThresholdPeAgent,CliffWalking-v0,-352.1124,429.4392,161.7255,102.9376,1.9231,3.3404,0.0000,0.0000,0.0000,0.0000
Roll_Threshold,CliffWalking-v0,-155.4968,97.1186,156.3269,96.9008,0.0111,0.1363,0.0000,0.0000,1.9290,3.4511
Precedence_Th,CliffWalking-v0,-355.2122,435.6597,162.5087,105.1713,1.9465,3.3788,0.0000,0.0000,0.0000,0.0000
Precedence_R,CliffWalking-v0,-155.0774,96.9222,157.5210,101.3319,0.0012,0.0374,0.0000,0.0000,2.5624,5.0048
FullModel,CliffWalking-v0,-4.3257,2.6573,376.2532,60.2981,0.0000,0.0000,0.0000,0.0000,371.9275,59.7666
Baseline,Taxi-v3,-1602.0427,571.8492,656.3749,238.9861,107.0461,36.9048,0.8451,0.3618,0.0000,0.0000
RollbackOnly,Taxi-v3,-534.8211,208.3003,659.5957,238.8657,0.0309,0.1880,0.8371,0.3693,107.4736,36.8890
ThresholdPeAgent,Taxi-v3,-1607.3743,568.3842,658.9273,237.5360,107.3458,36.6809,0.8412,0.3655,0.0000,0.0000
Roll_Threshold,Taxi-v3,-532.4851,208.4893,656.5320,238.8116,0.0604,0.2626,0.8401,0.3665,106.9484,36.8012
Precedence_Th,Taxi-v3,-1633.5708,613.4296,671.0796,261.6271,108.7189,38.8246,0.7609,0.4265,0.0000,0.0000
Precedence_R,Taxi-v3,-548.6218,227.8723,673.7915,258.8396,0.0040,0.0662,0.7654,0.4237,109.1323,38.5369
FullModel,Taxi-v3,0.2858,3.6524,986.7689,80.9119,0.0000,0.0000,0.0356,0.1853,986.3071,81.1603
