Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
0,-1706.0,746,109,1
1,-2302.0,973,150,1
2,-920.0,392,61,1
3,-1960.0,928,117,1
4,-648.0,552,13,1
5,-517.0,475,7,1
6,-696.0,267,50,1
7,-1807.0,712,124,1
8,-1972.0,850,127,1
9,-1216.0,1000,24,0
10,-459.0,192,32,1
11,-697.0,574,16,1
12,-665.0,524,18,1
13,-1572.0,936,73,1
14,-589.0,340,30,1
15,-566.0,452,15,1
16,-1801.0,1000,89,0
17,-1297.0,1000,33,0
18,-267.0,234,6,1
19,12.0,9,0,1
20,-1375.0,937,51,1
21,-488.0,239,30,1
22,-597.0,330,32,1
23,-1166.0,719,52,1
24,-1520.0,902,71,1
25,-623.0,455,21,1
26,-404.0,299,14,1
27,-523.0,418,14,1
28,-413.0,317,13,1
29,-610.0,406,25,1
30,-722.0,536,23,1
31,-457.0,307,19,1
32,-1067.0,620,52,1
33,-150.0,126,5,1
34,-682.0,550,17,1
35,-399.0,321,11,1
36,-432.0,363,10,1
37,-472.0,403,10,1
38,-264.0,222,7,1
39,-207.0,165,7,1
40,-630.0,462,21,1
41,-290.0,248,7,1
42,-1175.0,674,58,1
43,-196.0,109,12,1
44,-581.0,422,20,1
45,-453.0,384,10,1
46,-645.0,513,17,1
47,-338.0,206,17,1
48,-888.0,648,29,1
49,-344.0,230,15,1
50,-1141.0,730,48,1
51,-419.0,269,19,1
52,-391.0,304,12,1
53,-266.0,242,5,1
54,-138.0,105,6,1
55,-494.0,362,17,1
56,-366.0,243,16,1
57,-42.0,54,1,1
58,-522.0,399,16,1
59,-963.0,633,39,1
60,-328.0,250,11,1
61,-405.0,354,8,1
62,-289.0,238,8,1
63,-575.0,371,25,1
64,-677.0,410,32,1
65,-122.0,143,0,1
66,-243.0,210,6,1
67,-564.0,360,25,1
68,-122.0,98,5,1
69,-219.0,177,7,1
70,-214.0,136,11,1
71,-426.0,222,25,1
72,-740.0,590,19,1
73,-421.0,289,17,1
74,-216.0,147,10,1
75,-264.0,177,12,1
76,-26.0,38,1,1
77,-583.0,433,19,1
78,-498.0,240,31,1
79,-614.0,347,32,1
80,-286.0,253,6,1
81,-540.0,300,29,1
82,-255.0,231,5,1
83,-128.0,122,3,1
84,-132.0,117,4,1
85,-68.0,71,2,1
86,-314.0,272,7,1
87,-345.0,231,15,1
88,3.0,18,0,1
89,-111.0,87,5,1
90,-89.0,74,4,1
91,-370.0,274,13,1
92,-186.0,171,4,1
93,-527.0,395,17,1
94,-276.0,216,9,1
95,-178.0,127,8,1
96,-892.0,526,43,1
97,-454.0,340,15,1
98,-413.0,272,18,1
99,-381.0,294,12,1
100,-185.0,134,8,1
101,-298.0,247,8,1
102,-451.0,328,16,1
103,-366.0,270,13,1
104,-251.0,200,8,1
105,-366.0,243,16,1
106,-263.0,167,13,1
107,-222.0,144,11,1
108,-285.0,198,12,1
109,-355.0,322,6,1
110,-92.0,59,6,1
111,-264.0,204,9,1
112,-152.0,92,9,1
113,-202.0,160,7,1
114,-379.0,301,11,1
115,-215.0,164,8,1
116,-313.0,181,17,1
117,-221.0,116,14,1
118,-189.0,147,7,1
119,5.0,16,0,1
120,-159.0,135,5,1
121,-505.0,364,18,1
122,-54.0,48,3,1
123,-311.0,251,9,1
124,-271.0,175,13,1
125,-210.0,159,8,1
126,12.0,9,0,1
127,-61.0,64,2,1
128,-306.0,264,7,1
129,-223.0,181,7,1
130,-128.0,104,5,1
131,-130.0,115,4,1
