Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
0,-819.0,1000,0,1,160
1,-846.0,1000,0,0,154
2,-309.0,394,0,1,64
3,-225.0,306,0,1,60
4,-401.0,516,0,1,94
5,-166.0,213,0,1,26
6,-202.0,281,0,1,58
7,-854.0,1000,0,0,146
8,-424.0,526,1,1,90
9,-852.0,1000,1,0,157
10,-386.0,494,0,1,87
11,-849.0,1000,0,0,151
12,-832.0,1000,0,0,168
13,-329.0,434,0,1,84
14,-843.0,1000,0,0,157
15,-663.0,827,0,1,143
16,-372.0,479,0,1,86
17,-284.0,379,0,1,74
18,-850.0,1000,0,0,150
19,-452.0,576,0,1,103
20,-792.0,975,0,1,162
21,-397.0,509,0,1,91
22,-292.0,385,0,1,72
23,-853.0,1000,0,0,147
24,-485.0,604,0,1,98
25,-840.0,1000,0,0,160
26,-844.0,1000,0,0,156
27,-231.0,305,0,1,53
28,-396.0,509,0,1,92
29,-847.0,1000,0,0,153
30,-416.0,519,0,1,82
31,-345.0,449,0,1,83
32,-471.0,591,0,1,99
33,-313.0,397,0,1,63
34,-851.0,1000,0,0,149
35,-368.0,463,0,1,74
36,-348.0,452,0,1,83
37,-828.0,998,0,1,149
38,-263.0,346,0,1,62
39,-416.0,535,0,1,98
40,-408.0,513,0,1,84
41,-86.0,132,0,1,25
42,-651.0,808,0,1,136
43,-865.0,1000,1,0,144
44,-450.0,579,0,1,108
45,-833.0,1000,0,0,167
46,-842.0,1000,0,0,158
47,-844.0,1000,0,0,156
48,-738.0,903,0,1,144
49,-643.0,791,0,1,127
50,-392.0,499,0,1,86
51,-401.0,512,0,1,90
52,-689.0,851,0,1,141
53,-854.0,1000,1,0,155
54,-240.0,311,0,1,50
55,-855.0,1000,0,0,145
56,-317.0,407,0,1,69
57,-300.0,386,0,1,65
58,-683.0,851,0,1,147
59,-387.0,491,0,1,83
60,-331.0,420,0,1,68
61,-864.0,1000,0,0,136
62,-754.0,949,0,1,174
63,-572.0,701,0,1,108
64,-844.0,1000,0,0,156
65,-866.0,1000,0,0,134
66,-180.0,250,0,1,49
67,-574.0,718,0,1,123
68,-365.0,469,0,1,83
69,-308.0,393,0,1,64
70,-283.0,377,0,1,73
71,-762.0,938,0,1,155
72,-567.0,691,1,1,112
73,-716.0,883,0,1,146
74,-722.0,885,0,1,142
75,-845.0,1000,0,0,155
76,-268.0,347,0,1,58
77,-610.0,757,0,1,126
78,-296.0,387,0,1,70
79,-577.0,707,0,1,109
